NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
009,3,1,4:03.713,0,,54.458,0,1:27.077,0,1:42.178,0,199.1,4:03.713,21:46:03.713,0:54.458,1:27.077,1:42.178,263.9,Roman de Angelis,0:00:16.479,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,54.458,87.077,102.178,21.531,21.531,13.975,35.506,18.952,54.458,36.975,1:31.433,4.796,1:36.229,26.769,2:02.998,18.537,2:21.535,6.844,2:28.379,39.704,3:08.083,17.956,3:26.039,17.461,3:43.500,10.716,3:54.216,6.140,4:00.356,3.357,4:03.713,
009,3,2,3:31.089,0,,32.453,0,1:21.323,0,1:37.313,0,232.4,7:34.802,21:49:34.802,0:32.453,1:21.323,1:37.313,333.5,Roman de Angelis,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.453,81.323,97.313,8.007,8.007,9.974,17.981,14.472,32.453,32.794,1:05.247,4.917,1:10.164,26.165,1:36.329,17.447,1:53.776,6.598,2:00.374,36.715,2:37.089,17.020,2:54.109,16.986,3:11.095,10.515,3:21.610,6.100,3:27.710,3.379,3:31.089,
009,3,3,3:24.876,0,,32.207,0,1:19.130,0,1:33.539,0,239.4,10:59.678,21:52:59.678,0:32.207,1:19.130,1:33.539,332.5,Roman de Angelis,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.207,79.130,93.539,8.021,8.021,9.838,17.859,14.348,32.207,32.382,1:04.589,4.733,1:09.322,25.148,1:34.470,16.867,1:51.337,6.347,1:57.684,36.175,2:33.859,16.668,2:50.527,14.770,3:05.297,10.237,3:15.534,5.956,3:21.490,3.386,3:24.876,
009,3,4,3:24.729,2,,32.113,2,1:19.129,2,1:33.487,2,239.6,14:24.407,21:56:24.407,0:32.113,1:19.129,1:33.487,333.5,Roman de Angelis,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.113,79.129,93.487,8.016,8.016,9.764,17.780,14.333,32.113,32.317,1:04.430,4.686,1:09.116,25.246,1:34.362,16.880,1:51.242,6.360,1:57.602,36.163,2:33.765,16.605,2:50.370,14.708,3:05.078,10.186,3:15.264,6.014,3:21.278,3.451,3:24.729,
009,3,5,3:40.381,0,B,32.347,0,1:20.239,0,1:47.795,0,222.6,18:04.788,22:00:04.788,0:32.347,1:20.239,1:47.795,333.5,Roman de Angelis,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,32.347,80.239,107.795,8.037,8.037,9.930,17.967,14.380,32.347,32.381,1:04.728,4.704,1:09.432,25.463,1:34.895,17.691,1:52.586,6.695,1:59.281,39.135,2:38.416,17.209,2:55.625,17.220,3:12.845,11.171,3:24.016,,,,3:40.381,
101,3,1,3:53.990,0,,50.307,0,1:24.760,0,1:38.923,0,207.4,3:53.990,21:45:53.990,0:50.307,1:24.760,1:38.923,304.5,Filipe Albuquerque,0:00:10.292,HYPERCAR,,Cadillac WTR,Cadillac,GF,50.307,84.760,98.923,15.394,15.394,15.343,30.737,19.570,50.307,36.056,1:26.363,4.864,1:31.227,26.571,1:57.798,17.269,2:15.067,6.893,2:21.960,37.864,2:59.824,16.954,3:16.778,16.312,3:33.090,10.869,3:43.959,6.560,3:50.519,3.471,3:53.990,
101,3,2,3:27.677,0,,33.636,0,1:19.343,0,1:34.698,0,236.2,7:21.667,21:49:21.667,0:33.636,1:19.343,1:34.698,338.7,Filipe Albuquerque,,HYPERCAR,,Cadillac WTR,Cadillac,GF,33.636,79.343,94.698,8.007,8.007,10.772,18.779,14.857,33.636,32.867,1:06.503,4.712,1:11.215,25.167,1:36.382,16.597,1:52.979,6.363,1:59.342,36.247,2:35.589,16.616,2:52.205,15.562,3:07.767,10.401,3:18.168,6.056,3:24.224,3.453,3:27.677,
101,3,3,3:24.437,0,,32.541,0,1:18.559,0,1:33.337,0,239.9,10:46.104,21:52:46.104,0:32.541,1:18.559,1:33.337,339.7,Filipe Albuquerque,,HYPERCAR,,Cadillac WTR,Cadillac,GF,32.541,78.559,93.337,8.007,8.007,10.125,18.132,14.409,32.541,32.349,1:04.890,4.695,1:09.585,25.004,1:34.589,16.511,1:51.100,6.299,1:57.399,35.854,2:33.253,16.523,2:49.776,15.059,3:04.835,10.202,3:15.037,5.929,3:20.966,3.471,3:24.437,
101,3,4,3:23.839,0,,32.325,2,1:18.406,0,1:33.108,0,240.6,14:09.943,21:56:09.943,0:32.325,1:18.406,1:33.108,339.7,Filipe Albuquerque,,HYPERCAR,,Cadillac WTR,Cadillac,GF,32.325,78.406,93.108,8.000,8.000,9.965,17.965,14.360,32.325,32.175,1:04.500,4.703,1:09.203,25.014,1:34.217,16.514,1:50.731,6.305,1:57.036,35.804,2:32.840,16.506,2:49.346,14.987,3:04.333,10.113,3:14.446,5.929,3:20.375,3.464,3:23.839,
101,3,5,3:23.778,2,,32.548,0,1:18.323,2,1:32.907,2,240.7,17:33.721,21:59:33.721,0:32.548,1:18.323,1:32.907,339.7,Filipe Albuquerque,,HYPERCAR,,Cadillac WTR,Cadillac,FF,32.548,78.323,92.907,7.997,7.997,10.108,18.105,14.443,32.548,32.175,1:04.723,4.692,1:09.415,24.981,1:34.396,16.475,1:50.871,6.319,1:57.190,35.804,2:32.994,16.510,2:49.504,14.825,3:04.329,10.128,3:14.457,5.887,3:20.344,3.434,3:23.778,
12,2,1,4:43.895,0,,1:40.972,0,1:24.163,0,1:38.760,0,170.9,4:43.895,21:46:43.895,1:40.972,1:24.163,1:38.760,298.7,William Stevens,0:01:03.750,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,100.972,84.163,98.760,1:09.093,1:09.093,14.133,1:23.226,17.746,1:40.972,35.677,2:16.649,4.821,2:21.470,26.332,2:47.802,17.333,3:05.135,7.055,3:12.190,37.897,3:50.087,16.995,4:07.082,16.411,4:23.493,10.650,4:34.143,6.316,4:40.459,3.436,4:43.895,
12,2,2,3:25.128,0,,32.753,0,1:18.824,0,1:33.551,0,239.1,8:09.023,21:50:09.023,0:32.753,1:18.824,1:33.551,336.6,William Stevens,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,32.753,78.824,93.551,8.013,8.013,10.123,18.136,14.617,32.753,32.440,1:05.193,4.709,1:09.902,25.044,1:34.946,16.631,1:51.577,6.293,1:57.870,35.891,2:33.761,16.635,2:50.396,15.032,3:05.428,10.233,3:15.661,6.139,3:21.800,3.328,3:25.128,
12,2,3,3:23.337,0,,32.190,0,1:18.341,0,1:32.806,2,241.2,11:32.360,21:53:32.360,0:32.190,1:18.341,1:32.806,337.6,William Stevens,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,32.190,78.341,92.806,7.945,7.945,9.796,17.741,14.449,32.190,32.151,1:04.341,4.708,1:09.049,24.949,1:33.998,16.533,1:50.531,6.288,1:56.819,35.656,2:32.475,16.556,2:49.031,14.810,3:03.841,10.156,3:13.997,5.987,3:19.984,3.353,3:23.337,
12,2,4,3:23.078,2,,31.929,3,1:18.271,2,1:32.878,0,241.5,14:55.438,21:56:55.438,0:31.929,1:18.271,1:32.878,338.7,William Stevens,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,GF,31.929,78.271,92.878,7.965,7.965,9.660,17.625,14.304,31.929,32.114,1:04.043,4.708,1:08.751,24.928,1:33.679,16.521,1:50.200,6.353,1:56.553,35.754,2:32.307,16.535,2:48.842,14.788,3:03.630,10.201,3:13.831,5.890,3:19.721,3.357,3:23.078,
12,2,5,3:48.869,0,B,32.246,0,1:23.576,0,1:53.047,0,214.3,18:44.307,22:00:44.307,0:32.246,1:23.576,1:53.047,264.5,William Stevens,,HYPERCAR,,Cadillac Hertz Team Jota,Cadillac,FF,32.246,83.576,113.047,7.951,7.951,9.706,17.657,14.589,32.246,34.430,1:06.676,4.673,1:11.349,25.793,1:37.142,18.680,1:55.822,7.088,2:02.910,39.086,2:41.996,18.678,3:00.674,18.285,3:18.959,12.736,3:31.695,,,,3:48.869,
15,3,1,3:38.593,0,,42.423,0,1:21.414,0,1:34.756,0,222.0,3:38.593,21:45:38.593,0:42.423,1:21.414,1:34.756,333.5,Dries Vanthoor,0:00:05.882,HYPERCAR,,BMW M Team WRT,BMW,GF,42.423,81.414,94.756,11.428,11.428,13.875,25.303,17.120,42.423,34.205,1:16.628,4.734,1:21.362,25.599,1:46.961,16.876,2:03.837,6.543,2:10.380,36.353,2:46.733,16.699,3:03.432,15.073,3:18.505,10.271,3:28.776,6.409,3:35.185,3.408,3:38.593,
15,3,2,3:22.745,0,,32.125,0,1:18.211,0,1:32.409,2,241.9,7:01.338,21:49:01.338,0:32.125,1:18.211,1:32.409,336.6,Dries Vanthoor,,HYPERCAR,,BMW M Team WRT,BMW,GF,32.125,78.211,92.409,7.999,7.999,9.720,17.719,14.406,32.125,32.085,1:04.210,4.679,1:08.889,24.906,1:33.795,16.541,1:50.336,6.300,1:56.636,35.690,2:32.326,16.539,2:48.865,14.612,3:03.477,10.049,3:13.526,5.753,3:19.279,3.466,3:22.745,
15,3,3,3:26.786,0,,32.056,2,1:18.394,0,1:36.336,0,237.2,10:28.124,21:52:28.124,0:32.056,1:18.394,1:36.336,337.6,Dries Vanthoor,,HYPERCAR,,BMW M Team WRT,BMW,GF,32.056,78.394,96.336,8.040,8.040,9.681,17.721,14.335,32.056,32.314,1:04.370,4.697,1:09.067,24.858,1:33.925,16.525,1:50.450,6.362,1:56.812,36.572,2:33.384,16.728,2:50.112,15.663,3:05.775,10.868,3:16.643,6.694,3:23.337,3.449,3:26.786,
15,3,4,3:22.564,3,,32.108,0,1:18.010,3,1:32.446,0,242.2,13:50.688,21:55:50.688,0:32.108,1:18.010,1:32.446,337.6,Dries Vanthoor,,HYPERCAR,,BMW M Team WRT,BMW,GF,32.108,78.010,92.446,8.006,8.006,9.704,17.710,14.398,32.108,32.098,1:04.206,4.678,1:08.884,24.826,1:33.710,16.408,1:50.118,6.279,1:56.397,35.621,2:32.018,16.465,2:48.483,14.696,3:03.179,10.079,3:13.258,5.885,3:19.143,3.421,3:22.564,
15,3,5,5:18.409,0,B,33.873,0,2:01.093,0,2:43.443,0,154.1,19:09.097,22:01:09.097,0:33.873,2:01.093,2:43.443,145.5,Dries Vanthoor,,HYPERCAR,,BMW M Team WRT,BMW,FF,33.873,121.093,163.443,7.995,7.995,10.562,18.557,15.316,33.873,44.728,1:18.601,7.047,1:25.648,40.093,2:05.741,29.225,2:34.966,8.655,2:43.621,1:01.656,3:45.277,29.516,4:14.793,24.650,4:39.443,20.200,4:59.643,,,,5:18.409,
17,1,1,3:50.027,0,B,46.342,0,1:20.564,0,1:43.121,0,211.0,3:50.027,21:45:50.027,0:46.342,1:20.564,1:43.121,332.5,Andre Lotterer,0:00:11.418,HYPERCAR,,Genesis Magma Racing,Genesis,GF,46.342,80.564,103.121,16.469,16.469,14.050,30.519,15.823,46.342,33.569,1:19.911,4.770,1:24.681,25.460,1:50.141,16.765,2:06.906,6.542,2:13.448,37.182,2:50.630,16.801,3:07.431,15.572,3:23.003,10.644,3:33.647,,,,3:50.027,
17,1,2,4:44.465,0,,1:42.461,0,1:21.852,0,1:40.152,0,172.4,8:34.492,21:50:34.492,1:42.461,1:21.852,1:40.152,331.5,Andre Lotterer,0:01:14.825,HYPERCAR,,Genesis Magma Racing,Genesis,GF,102.461,81.852,100.152,1:11.724,1:11.724,13.687,1:25.411,17.050,1:42.461,34.286,2:16.747,4.786,2:21.533,25.759,2:47.292,17.021,3:04.313,6.706,3:11.019,38.181,3:49.200,17.324,4:06.524,15.998,4:22.522,12.043,4:34.565,6.465,4:41.030,3.435,4:44.465,
17,1,3,3:40.306,0,,32.572,2,1:19.699,0,1:48.035,0,222.7,12:14.798,21:54:14.798,0:32.572,1:19.699,1:48.035,336.6,Andre Lotterer,,HYPERCAR,,Genesis Magma Racing,Genesis,GF,32.572,79.699,108.035,8.090,8.090,9.909,17.999,14.573,32.572,32.724,1:05.296,4.745,1:10.041,25.228,1:35.269,17.002,1:52.271,6.950,1:59.221,40.905,2:40.126,18.954,2:59.080,19.234,3:18.314,12.134,3:30.448,6.362,3:36.810,3.496,3:40.306,
