POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,117,Classified,9,47:42.786,-,-,8,4:56.891,165.2,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Pietro,Fantin,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,72,Classified,9,47:44.509,+1.723,+1.723,8,4:57.440,164.9,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Antonella,Bassani,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,Classified,9,47:45.310,+2.524,+0.801,8,4:57.572,164.8,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Miguel,Paludo,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,Classified,9,47:45.617,+2.831,+0.307,9,5:22.480,152.1,,ROOKIE,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Pipo,Massa,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,97,Classified,9,47:52.891,+10.105,+7.274,8,4:57.578,164.8,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jeff,Giassi,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,Classified,9,47:53.352,+10.566,+0.461,8,4:55.342,166.1,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Thiago,Vivacqua,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,888,Classified,9,48:00.857,+18.071,+7.505,8,5:01.247,162.8,,SPORT,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Lineu,Pires,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,77,Classified,9,48:03.056,+20.270,+2.199,9,5:24.199,151.3,,SPORT,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Francisco,Horta,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,Classified,9,48:04.834,+22.048,+1.778,4,5:24.313,151.3,,SPORT,M,,Porsche 911 GT3 Cup,,,,,,,,,,,,Carlos,Campos,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,45,Classified,9,48:05.472,+22.686,+0.638,6,5:24.850,151.0,,ROOKIE,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jose,Moura NET,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
