NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
10,1,1,4:40.234,0,,1:05.187,0,1:36.373,0,1:58.674,0,173.2,4:40.234,18:49:40.234,1:05.187,1:36.373,1:58.674,248.2,Antares AU,0:00:23.833,LMGT3,,Garage 59,McLaren,GF,65.187,96.373,118.674,29.845,29.845,14.963,44.808,20.379,1:05.187,41.125,1:46.312,5.640,1:51.952,30.113,2:22.065,19.495,2:41.560,7.595,2:49.155,42.548,3:31.703,22.761,3:54.464,20.207,4:14.671,14.111,4:28.782,7.583,4:36.365,3.869,4:40.234,
10,1,2,3:59.832,0,,37.687,0,1:32.223,0,1:49.922,0,204.5,8:40.066,18:53:40.066,0:37.687,1:32.223,1:49.922,287.6,Antares AU,,LMGT3,,Garage 59,McLaren,GF,37.687,92.223,109.922,9.566,9.566,11.142,20.708,16.979,37.687,37.991,1:15.678,5.512,1:21.190,29.262,1:50.452,19.458,2:09.910,6.931,2:16.841,41.744,2:58.585,19.848,3:18.433,18.593,3:37.026,12.342,3:49.368,6.652,3:56.020,3.812,3:59.832,
10,1,3,4:05.178,0,,38.366,0,1:32.522,0,1:54.290,0,200.1,12:45.244,18:57:45.244,0:38.366,1:32.522,1:54.290,287.6,Antares AU,,LMGT3,,Garage 59,McLaren,GF,38.366,92.522,114.290,9.519,9.519,11.881,21.400,16.966,38.366,38.103,1:16.469,5.493,1:21.962,29.432,1:51.394,19.494,2:10.888,7.155,2:18.043,42.554,3:00.597,20.540,3:21.137,19.285,3:40.422,14.186,3:54.608,6.748,4:01.356,3.822,4:05.178,
10,1,4,4:05.685,0,B,37.350,0,1:31.620,2,1:56.715,0,199.7,16:50.929,19:01:50.929,0:37.350,1:31.620,1:56.715,288.4,Antares AU,,LMGT3,,Garage 59,McLaren,GF,37.350,91.620,116.715,9.560,9.560,10.942,20.502,16.848,37.350,37.688,1:15.038,5.531,1:20.569,29.014,1:49.583,19.387,2:08.970,6.983,2:15.953,41.561,2:57.514,19.920,3:17.434,18.931,3:36.365,12.415,3:48.780,,,,4:05.685,
10,1,5,4:50.476,0,,1:22.468,0,1:36.667,0,1:51.341,0,168.9,21:41.405,19:06:41.405,1:22.468,1:36.667,1:51.341,247.7,Antares AU,0:00:51.939,LMGT3,,Garage 59,McLaren,GF,82.468,96.667,111.341,49.263,49.263,14.055,1:03.318,19.150,1:22.468,40.416,2:02.884,5.606,2:08.490,30.788,2:39.278,19.857,2:59.135,7.089,3:06.224,42.674,3:48.898,19.940,4:08.838,18.733,4:27.571,12.381,4:39.952,6.730,4:46.682,3.794,4:50.476,
10,1,6,3:57.662,2,,37.166,0,1:31.709,0,1:48.787,2,206.4,25:39.067,19:10:39.067,0:37.166,1:31.709,1:48.787,285.4,Antares AU,,LMGT3,,Garage 59,McLaren,GF,37.166,91.709,108.787,9.574,9.574,10.905,20.479,16.687,37.166,37.593,1:14.759,5.493,1:20.252,29.229,1:49.481,19.394,2:08.875,6.979,2:15.854,41.441,2:57.295,19.784,3:17.079,18.121,3:35.200,12.105,3:47.305,6.553,3:53.858,3.804,3:57.662,
10,1,7,3:58.385,0,,37.273,0,1:31.803,0,1:49.309,0,205.8,29:37.452,19:14:37.452,0:37.273,1:31.803,1:49.309,284.6,Antares AU,,LMGT3,,Garage 59,McLaren,GF,37.273,91.803,109.309,9.539,9.539,11.008,20.547,16.726,37.273,37.677,1:14.950,5.507,1:20.457,29.165,1:49.622,19.454,2:09.076,6.921,2:15.997,41.441,2:57.438,19.714,3:17.152,18.269,3:35.421,12.107,3:47.528,6.890,3:54.418,3.967,3:58.385,
10,1,8,3:58.046,0,,37.144,2,1:31.757,0,1:49.145,0,206.1,33:35.498,19:18:35.498,0:37.144,1:31.757,1:49.145,284.6,Antares AU,,LMGT3,,Garage 59,McLaren,FF,37.144,91.757,109.145,9.623,9.623,10.852,20.475,16.669,37.144,37.854,1:14.998,5.514,1:20.512,29.041,1:49.553,19.348,2:08.901,6.884,2:15.785,41.611,2:57.396,19.755,3:17.151,18.409,3:35.560,12.128,3:47.688,6.527,3:54.215,3.831,3:58.046,
13,1,1,5:21.741,0,,1:39.212,0,1:47.693,0,1:54.836,0,150.8,5:21.741,18:50:21.741,1:39.212,1:47.693,1:54.836,203.6,Orey Fidani,0:00:55.878,LMGT3,,13 Autosport,Corvette,GF,99.212,107.693,114.836,1:01.956,1:01.956,15.607,1:17.563,21.649,1:39.212,43.511,2:22.723,5.955,2:28.678,37.826,3:06.504,20.401,3:26.905,7.658,3:34.563,43.183,4:17.746,20.004,4:37.750,19.648,4:57.398,12.882,5:10.280,7.467,5:17.747,3.994,5:21.741,
13,1,2,4:00.327,0,,37.830,0,1:32.036,0,1:50.461,0,204.1,9:22.068,18:54:22.068,0:37.830,1:32.036,1:50.461,292.3,Orey Fidani,,LMGT3,,13 Autosport,Corvette,GF,37.830,92.036,110.461,9.566,9.566,11.191,20.757,17.073,37.830,37.760,1:15.590,5.583,1:21.173,29.287,1:50.460,19.406,2:09.866,7.057,2:16.923,41.434,2:58.357,19.892,3:18.249,18.920,3:37.169,12.399,3:49.568,6.768,3:56.336,3.991,4:00.327,
