POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,007,12,3:26.293,-,-,237.8,40,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,107473,6427,,6273,260,,,,ASTON MARTIN,,Harry,Tincknell,P,,GBR,,303,,,00:45:00,None,Thomas,Gamble,G,,GBR,,9549,,,00:45:00,None,Ross,Gunn,P,,GBR,,8402,,,,,,,,,,,,,,,,,,,,,,,
2,8,34,3:26.401,+0.108,+0.108,237.7,38,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,107474,7454,,6293,2,,,,TOYOTA RACING,,Sebastien,Buemi,P,,SUI,,138,,,00:45:00,None,Brendon,Hartley,P,,NZL,,152,,,00:45:00,None,Ryo,Hirakawa,P,,JPN,,8166,,,00:45:00,None,Esteban,Masson,G,,FRA,,11272,,,,,Michael,Conway,P,,GBR,,215,,,,,,,,,,,
3,12,12,3:26.853,+0.560,+0.452,237.1,45,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,107478,6429,,6203,4097,,,,CADILLAC HTJ,,Louis,Deletraz,G,,SUI,,9621,,,00:45:00,None,William,Stevens,P,,GBR,,1882,,,00:45:00,None,Norman,Nato,G,,FRA,,9032,,,00:45:00,None,Sebastien,Bourdais,P,,FRA,,98,,,,,Jack,Aitken,P,,GBR,,10508,,,,,,,,,,,
4,35,28,3:26.938,+0.645,+0.085,237.0,40,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,107498,7452,,6237,21,,,,ALPINE,,Antonio,Felix da Costa,P,,POR,FDC,9024,,,00:45:00,None,Charles,Milesi,P,,FRA,,9594,,,00:45:00,None,Ferdinand,Habsburg,G,,AUT,,10000,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
5,36,29,3:27.017,+0.724,+0.079,236.9,39,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,107499,7453,,6237,21,,,,ALPINE,,Frederic,Makowiecki,P,,FRA,,61,,,00:45:00,None,Jules,Gounon,P,,FRA,,9500,,,00:45:00,None,Victor,Martins,G,,FRA,MRS,11671,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
6,101,20,3:27.088,+0.795,+0.071,236.9,42,Cadillac WTR,HYPERCAR,,,Cadillac V-Series.R,M,107464,7457,,6203,4097,,,,CADILLAC WTR,,Ricky,Taylor,P,,USA,RTA,253,,,,,Jordan,Taylor,P,,USA,JTA,181,,,,,Filipe,Albuquerque,P,,POR,,306,,,,,,,,,,,,,,,,,,,,,,,
7,20,44,3:27.139,+0.846,+0.051,236.8,44,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,107484,6359,,6276,4354,,,,BMW M TEAM WRT,,Robin,Frijns,P,,NED,,9871,,,00:45:00,None,Rene,Rast,P,,GER,,307,,,00:45:00,None,Sheldon,van der Linde,P,,RSA,VDL,11274,,,00:45:00,None,Marco,Wittmann,P,,GER,,11369,,,,,Philipp,Eng,P,,AUT,,8194,,,,,,,,,,,
8,7,3,3:27.167,+0.874,+0.028,236.8,44,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,107472,7455,,6293,2,,,,TOYOTA RACING,,Michael,Conway,P,,GBR,,215,,,00:45:00,None,Kamui,Kobayashi,P,,JPN,,210,,,00:45:00,None,Nick,de Vries,P,,NED,DVR,9152,,,00:45:00,None,Esteban,Masson,G,,FRA,,11272,,,,,Sebastien,Buemi,P,,SUI,,138,,,,,,,,,,,
9,51,12,3:27.167,+0.874,+0.000,236.8,27,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,107506,6293,,6192,3,,,,FERRARI AF CORSE,,Alessandro,Pier Guidi,P,,ITA,PGU,340,,,00:45:00,None,James,Calado,P,,GBR,,300,,,00:45:00,None,Antonio,Giovinazzi,P,,ITA,,1976,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
10,19,41,3:27.174,+0.881,+0.007,236.8,41,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,107483,7119,,6291,4452,,,,GENESIS MAGMA,,Mathieu,Jaminet,P,,FRA,JMT,9415,,,00:45:00,None,Paul-Loup,Chatin,G,,FRA,,313,,,00:45:00,None,Daniel,Juncadella,P,,ESP,,11275,,,00:45:00,None,Jamie,Chadwick,S,,GBR,,10298,,,,,,,,,,,,,,,,,
