NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
14,3,1,4:16.422,0,,54.392,0,1:29.080,0,1:52.950,0,189.3,4:16.422,20:39:16.422,0:54.392,1:29.080,1:52.950,292.3,Kevin Estre,0:00:15.896,LMP2,P/A,TDS Racing,Oreca,GF,54.392,89.080,112.950,21.517,21.517,13.799,35.316,19.076,54.392,37.185,1:31.577,5.198,1:36.775,27.798,2:04.573,18.899,2:23.472,6.673,2:30.145,39.893,3:10.038,20.046,3:30.084,19.727,3:49.811,13.897,4:03.708,9.118,4:12.826,3.596,4:16.422,
14,3,2,3:36.602,0,,33.891,0,1:23.086,0,1:39.625,0,226.5,7:53.024,20:42:53.024,0:33.891,1:23.086,1:39.625,317.9,Kevin Estre,,LMP2,P/A,TDS Racing,Oreca,GF,33.891,83.086,99.625,8.753,8.753,10.096,18.849,15.042,33.891,33.858,1:07.749,5.063,1:12.812,26.329,1:39.141,17.836,1:56.977,6.580,2:03.557,38.087,2:41.644,17.974,2:59.618,15.682,3:15.300,10.958,3:26.258,6.767,3:33.025,3.577,3:36.602,
14,3,3,3:33.969,0,,33.967,0,1:22.544,2,1:37.458,0,229.3,11:26.993,20:46:26.993,0:33.967,1:22.544,1:37.458,319.8,Kevin Estre,,LMP2,P/A,TDS Racing,Oreca,GF,33.967,82.544,97.458,8.738,8.738,10.149,18.887,15.080,33.967,33.459,1:07.426,5.076,1:12.502,26.290,1:38.792,17.719,1:56.511,6.630,2:03.141,37.930,2:41.071,17.954,2:59.025,14.902,3:13.927,10.514,3:24.441,5.891,3:30.332,3.637,3:33.969,
14,3,4,3:33.715,2,,33.756,2,1:22.728,0,1:37.231,2,229.5,15:00.708,20:50:00.708,0:33.756,1:22.728,1:37.231,318.8,Kevin Estre,,LMP2,P/A,TDS Racing,Oreca,FF,33.756,82.728,97.231,8.773,8.773,9.983,18.756,15.000,33.756,33.537,1:07.293,5.113,1:12.406,26.292,1:38.698,17.786,1:56.484,6.456,2:02.940,37.733,2:40.673,17.941,2:58.614,14.960,3:13.574,10.555,3:24.129,5.882,3:30.011,3.704,3:33.715,
183,2,1,4:04.732,0,,50.739,0,1:29.307,0,1:44.686,0,198.3,4:04.732,20:39:04.732,0:50.739,1:29.307,1:44.686,258.9,Matthieu Vaxiviere,0:00:10.599,LMP2,P/A,AF Corse,Oreca,GF,50.739,89.307,104.686,16.508,16.508,15.219,31.727,19.012,50.739,38.088,1:28.827,5.196,1:34.023,27.584,2:01.607,18.439,2:20.046,6.808,2:26.854,39.325,3:06.179,18.940,3:25.119,16.381,3:41.500,11.533,3:53.033,8.074,4:01.107,3.625,4:04.732,
183,2,2,3:35.015,0,,33.954,0,1:23.187,0,1:37.874,2,228.1,7:39.747,20:42:39.747,0:33.954,1:23.187,1:37.874,318.8,Matthieu Vaxiviere,,LMP2,P/A,AF Corse,Oreca,GF,33.954,83.187,97.874,8.751,8.751,10.142,18.893,15.061,33.954,33.877,1:07.831,5.102,1:12.933,26.443,1:39.376,17.765,1:57.141,6.470,2:03.611,37.934,2:41.545,17.974,2:59.519,15.185,3:14.704,10.683,3:25.387,5.956,3:31.343,3.672,3:35.015,
183,2,3,3:34.692,2,,33.766,2,1:23.029,2,1:37.897,0,228.5,11:14.439,20:46:14.439,0:33.766,1:23.029,1:37.897,319.8,Matthieu Vaxiviere,,LMP2,P/A,AF Corse,Oreca,GF,33.766,83.029,97.897,8.764,8.764,10.074,18.838,14.928,33.766,33.850,1:07.616,5.070,1:12.686,26.356,1:39.042,17.753,1:56.795,6.508,2:03.303,37.808,2:41.111,17.914,2:59.025,15.152,3:14.177,10.731,3:24.908,6.074,3:30.982,3.710,3:34.692,
183,2,4,3:42.530,0,B,33.785,0,1:23.202,0,1:45.543,0,220.4,14:56.969,20:49:56.969,0:33.785,1:23.202,1:45.543,317.9,Matthieu Vaxiviere,,LMP2,P/A,AF Corse,Oreca,GF,33.785,83.202,105.543,8.781,8.781,9.996,18.777,15.008,33.785,33.855,1:07.640,5.092,1:12.732,26.446,1:39.178,17.809,1:56.987,6.509,2:03.496,38.030,2:41.526,17.961,2:59.487,15.472,3:14.959,10.990,3:25.949,,,,3:42.530,
21,3,1,4:25.885,0,,54.657,0,1:35.422,0,1:55.806,0,182.5,4:25.885,20:39:25.885,0:54.657,1:35.422,1:55.806,280.9,Alessio Rovera,0:00:11.651,LMGT3,,Vista AF Corse,Ferrari,GF,54.657,95.422,115.806,17.858,17.858,15.411,33.269,21.388,54.657,40.051,1:34.708,5.530,1:40.238,29.920,2:10.158,19.921,2:30.079,7.204,2:37.283,42.534,3:19.817,23.126,3:42.943,18.101,4:01.044,11.980,4:13.024,9.115,4:22.139,3.746,4:25.885,
21,3,2,3:53.552,0,,36.322,0,1:30.682,0,1:46.548,2,210.0,8:19.437,20:43:19.437,0:36.322,1:30.682,1:46.548,284.6,Alessio Rovera,,LMGT3,,Vista AF Corse,Ferrari,GF,36.322,90.682,106.548,9.455,9.455,10.550,20.005,16.317,36.322,37.047,1:13.369,5.433,1:18.802,28.851,1:47.653,19.351,2:07.004,6.653,2:13.657,40.661,2:54.318,19.606,3:13.924,17.487,3:31.411,11.893,3:43.304,6.496,3:49.800,3.752,3:53.552,
