NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
35,2,1,4:14.182,0,,1:06.038,0,1:24.106,0,1:44.038,0,190.9,4:14.182,21:09:14.182,1:06.038,1:24.106,1:44.038,314.2,Charles Milesi,0:00:27.390,HYPERCAR,,Alpine Endurance Team,Alpine,GF,66.038,84.106,104.038,33.426,33.426,14.626,48.052,17.986,1:06.038,35.625,1:41.663,4.875,1:46.538,26.414,2:12.952,17.192,2:30.144,6.761,2:36.905,38.333,3:15.238,18.452,3:33.690,15.583,3:49.273,12.194,4:01.467,9.255,4:10.722,3.460,4:14.182,
35,2,2,3:24.252,0,,32.519,0,1:18.599,0,1:33.134,0,240.2,7:38.434,21:12:38.434,0:32.519,1:18.599,1:33.134,340.8,Charles Milesi,,HYPERCAR,,Alpine Endurance Team,Alpine,GF,32.519,78.599,93.134,8.009,8.009,9.937,17.946,14.573,32.519,32.422,1:04.941,4.741,1:09.682,24.945,1:34.627,16.491,1:51.118,6.307,1:57.425,35.842,2:33.267,16.499,2:49.766,14.909,3:04.675,10.224,3:14.899,5.874,3:20.773,3.479,3:24.252,
35,2,3,3:30.793,0,B,32.382,0,1:18.425,0,1:39.986,0,232.7,11:09.227,21:16:09.227,0:32.382,1:18.425,1:39.986,341.9,Charles Milesi,,HYPERCAR,,Alpine Endurance Team,Alpine,GF,32.382,78.425,99.986,8.010,8.010,9.889,17.899,14.483,32.382,32.398,1:04.780,4.707,1:09.487,24.874,1:34.361,16.446,1:50.807,6.332,1:57.139,35.664,2:32.803,16.482,2:49.285,15.107,3:04.392,10.459,3:14.851,,,,3:30.793,
35,2,4,4:29.194,0,,1:27.593,0,1:23.912,0,1:37.689,0,182.2,15:38.421,21:20:38.421,1:27.593,1:23.912,1:37.689,323.6,Charles Milesi,0:01:01.108,HYPERCAR,,Alpine Endurance Team,Alpine,GF,87.593,83.912,97.689,58.190,58.190,12.906,1:11.096,16.497,1:27.593,34.683,2:02.276,4.828,2:07.104,27.047,2:34.151,17.354,2:51.505,6.517,2:58.022,37.719,3:35.741,17.280,3:53.021,15.120,4:08.141,10.753,4:18.894,6.897,4:25.791,3.403,4:29.194,
35,2,5,3:30.617,0,,36.848,0,1:19.745,0,1:34.024,0,232.9,19:09.038,21:24:09.038,0:36.848,1:19.745,1:34.024,335.6,Charles Milesi,,HYPERCAR,,Alpine Endurance Team,Alpine,GF,36.848,79.745,94.024,7.986,7.986,10.260,18.246,18.602,36.848,32.825,1:09.673,4.725,1:14.398,25.571,1:39.969,16.624,1:56.593,6.366,2:02.959,36.221,2:39.180,16.619,2:55.799,15.086,3:10.885,10.272,3:21.157,6.060,3:27.217,3.400,3:30.617,
35,2,6,3:23.018,3,,32.286,2,1:18.106,3,1:32.626,2,241.6,22:32.056,21:27:32.056,0:32.286,1:18.106,1:32.626,341.9,Charles Milesi,,HYPERCAR,,Alpine Endurance Team,Alpine,FF,32.286,78.106,92.626,7.994,7.994,9.780,17.774,14.512,32.286,32.196,1:04.482,4.666,1:09.148,24.788,1:33.936,16.456,1:50.392,6.282,1:56.674,35.576,2:32.250,16.462,2:48.712,14.830,3:03.542,10.202,3:13.744,5.866,3:19.610,3.408,3:23.018,
36,2,1,4:18.549,0,,1:07.192,0,1:24.144,0,1:47.213,0,187.7,4:18.549,21:09:18.549,1:07.192,1:24.144,1:47.213,326.5,Jules Gounon,0:00:28.478,HYPERCAR,,Alpine Endurance Team,Alpine,GF,67.192,84.144,107.213,34.260,34.260,14.360,48.620,18.572,1:07.192,35.501,1:42.693,4.826,1:47.519,26.455,2:13.974,17.362,2:31.336,6.664,2:38.000,39.495,3:17.495,18.140,3:35.635,15.922,3:51.557,14.576,4:06.133,9.027,4:15.160,3.389,4:18.549,
36,2,2,3:24.491,0,,32.352,0,1:18.475,2,1:33.664,0,239.9,7:43.040,21:12:43.040,0:32.352,1:18.475,1:33.664,339.7,Jules Gounon,,HYPERCAR,,Alpine Endurance Team,Alpine,GF,32.352,78.475,93.664,7.981,7.981,9.772,17.753,14.599,32.352,32.351,1:04.703,4.725,1:09.428,24.908,1:34.336,16.491,1:50.827,6.365,1:57.192,35.773,2:32.965,16.593,2:49.558,15.117,3:04.675,10.317,3:14.992,5.969,3:20.961,3.530,3:24.491,
36,2,3,3:31.522,0,B,32.505,0,1:18.737,0,1:40.280,0,231.9,11:14.562,21:16:14.562,0:32.505,1:18.737,1:40.280,339.7,Jules Gounon,,HYPERCAR,,Alpine Endurance Team,Alpine,GF,32.505,78.737,100.280,8.055,8.055,9.762,17.817,14.688,32.505,32.392,1:04.897,4.741,1:09.638,25.045,1:34.683,16.559,1:51.242,6.391,1:57.633,35.892,2:33.525,16.643,2:50.168,14.972,3:05.140,10.524,3:15.664,,,,3:31.522,
36,2,4,4:26.794,0,,1:24.793,0,1:22.983,0,1:39.018,0,183.9,15:41.356,21:20:41.356,1:24.793,1:22.983,1:39.018,331.5,Jules Gounon,0:00:58.293,HYPERCAR,,Alpine Endurance Team,Alpine,GF,84.793,82.983,99.018,55.308,55.308,12.732,1:08.040,16.753,1:24.793,34.459,1:59.252,4.820,2:04.072,26.369,2:30.441,17.335,2:47.776,6.517,2:54.293,37.340,3:31.633,17.032,3:48.665,15.517,4:04.182,11.519,4:15.701,7.760,4:23.461,3.333,4:26.794,
