NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
007,2,1,4:22.725,0,,1:04.784,0,1:25.720,0,1:52.221,0,184.7,4:22.725,19:34:22.725,1:04.784,1:25.720,1:52.221,286.9,Thomas Gamble,0:00:26.089,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,64.784,85.720,112.221,31.890,31.890,14.346,46.236,18.548,1:04.784,35.941,1:40.725,4.702,1:45.427,26.747,2:12.174,18.330,2:30.504,6.958,2:37.462,40.298,3:17.760,17.564,3:35.324,17.153,3:52.477,13.894,4:06.371,12.906,4:19.277,3.448,4:22.725,
007,2,2,3:24.163,0,,32.418,0,1:18.268,2,1:33.477,0,240.3,7:46.888,19:37:46.888,0:32.418,1:18.268,1:33.477,341.9,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.418,78.268,93.477,8.033,8.033,9.955,17.988,14.430,32.418,32.133,1:04.551,4.696,1:09.247,24.961,1:34.208,16.478,1:50.686,6.360,1:57.046,35.761,2:32.807,16.554,2:49.361,14.908,3:04.269,10.280,3:14.549,6.199,3:20.748,3.415,3:24.163,
007,2,3,3:41.267,0,,33.893,0,1:24.862,0,1:42.512,0,221.7,11:28.155,19:41:28.155,0:33.893,1:24.862,1:42.512,295.4,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.893,84.862,102.512,7.996,7.996,10.336,18.332,15.561,33.893,36.034,1:09.927,5.055,1:14.982,25.678,1:40.660,18.095,1:58.755,7.081,2:05.836,42.168,2:48.004,16.835,3:04.839,15.947,3:20.786,10.616,3:31.402,6.548,3:37.950,3.317,3:41.267,
007,2,4,3:24.348,0,,32.307,0,1:18.730,0,1:33.311,0,240.0,14:52.503,19:44:52.503,0:32.307,1:18.730,1:33.311,336.6,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.307,78.730,93.311,8.006,8.006,9.895,17.901,14.406,32.307,32.263,1:04.570,4.701,1:09.271,25.136,1:34.407,16.630,1:51.037,6.444,1:57.481,35.750,2:33.231,16.610,2:49.841,14.744,3:04.585,10.221,3:14.806,6.116,3:20.922,3.426,3:24.348,
007,2,5,3:36.765,0,B,32.825,0,1:21.027,0,1:42.913,0,226.3,18:29.268,19:48:29.268,0:32.825,1:21.027,1:42.913,302.8,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.825,81.027,102.913,8.059,8.059,10.036,18.095,14.730,32.825,33.838,1:06.663,4.668,1:11.331,25.505,1:36.836,17.016,1:53.852,6.586,2:00.438,36.702,2:37.140,16.749,2:53.889,15.566,3:09.455,10.458,3:19.913,,,,3:36.765,
007,2,6,4:18.170,0,,1:17.631,0,1:23.287,0,1:37.252,0,190.0,22:47.438,19:52:47.438,1:17.631,1:23.287,1:37.252,323.6,Thomas Gamble,0:00:49.241,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,77.631,83.287,97.252,46.378,46.378,13.954,1:00.332,17.299,1:17.631,35.185,1:52.816,4.758,1:57.574,26.136,2:23.710,17.208,2:40.918,6.736,2:47.654,37.110,3:24.764,16.827,3:41.591,15.598,3:57.189,10.546,4:07.735,7.107,4:14.842,3.328,4:18.170,
007,2,7,3:23.906,2,,32.101,2,1:18.690,0,1:33.115,2,240.6,26:11.344,19:56:11.344,0:32.101,1:18.690,1:33.115,333.5,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.101,78.690,93.115,8.022,8.022,9.844,17.866,14.235,32.101,32.215,1:04.316,4.690,1:09.006,25.109,1:34.115,16.676,1:50.791,6.328,1:57.119,35.847,2:32.966,16.599,2:49.565,14.658,3:04.223,10.173,3:14.396,6.067,3:20.463,3.443,3:23.906,
007,2,8,4:02.239,0,B,34.828,0,1:40.327,0,1:47.084,0,202.5,30:13.583,20:00:13.583,0:34.828,1:40.327,1:47.084,283.9,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,34.828,100.327,107.084,8.059,8.059,10.485,18.544,16.284,34.828,40.480,1:15.308,6.896,1:22.204,33.886,1:56.090,19.065,2:15.155,6.683,2:21.838,36.868,2:58.706,17.231,3:15.937,16.733,3:32.670,11.832,3:44.502,,,,4:02.239,
009,1,1,4:20.893,0,,1:03.647,0,1:26.185,0,1:51.061,0,186.0,4:20.893,19:34:20.893,1:03.647,1:26.185,1:51.061,253.4,Alexander Riberas,0:00:24.738,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,63.647,86.185,111.061,30.866,30.866,13.984,44.850,18.797,1:03.647,36.737,1:40.384,4.751,1:45.135,26.346,2:11.481,18.351,2:29.832,6.889,2:36.721,39.844,3:16.565,17.925,3:34.490,15.983,3:50.473,14.873,4:05.346,12.153,4:17.499,3.394,4:20.893,
009,1,2,3:33.075,0,,32.651,0,1:20.894,0,1:39.530,0,230.2,7:53.968,19:37:53.968,0:32.651,1:20.894,1:39.530,336.6,Alexander Riberas,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.651,80.894,99.530,8.038,8.038,10.078,18.116,14.535,32.651,32.744,1:05.395,4.817,1:10.212,25.243,1:35.455,18.090,1:53.545,7.080,2:00.625,39.385,2:40.010,17.478,2:57.488,15.782,3:13.270,10.270,3:23.540,6.070,3:29.610,3.465,3:33.075,
009,1,3,3:24.235,0,,32.316,0,1:18.601,0,1:33.318,0,240.2,11:18.203,19:41:18.203,0:32.316,1:18.601,1:33.318,336.6,Alexander Riberas,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.316,78.601,93.318,8.076,8.076,9.916,17.992,14.324,32.316,32.331,1:04.647,4.741,1:09.388,25.012,1:34.400,16.517,1:50.917,6.313,1:57.230,36.052,2:33.282,16.698,2:49.980,14.758,3:04.738,10.033,3:14.771,5.950,3:20.721,3.514,3:24.235,
009,1,4,3:45.640,0,B,36.466,0,1:22.199,0,1:46.975,0,217.4,15:03.843,19:45:03.843,0:36.466,1:22.199,1:46.975,329.5,Alexander Riberas,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.466,82.199,106.975,8.119,8.119,10.952,19.071,17.395,36.466,33.014,1:09.480,4.686,1:14.166,27.730,1:41.896,16.769,1:58.665,7.207,2:05.872,39.968,2:45.840,16.726,3:02.566,15.627,3:18.193,10.765,3:28.958,,,,3:45.640,
009,1,5,4:54.324,0,,1:50.844,0,1:22.261,0,1:41.219,0,166.7,19:58.167,19:49:58.167,1:50.844,1:22.261,1:41.219,327.5,Alexander Riberas,0:01:19.026,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,110.844,82.261,101.219,1:17.629,1:17.629,15.225,1:32.854,17.990,1:50.844,34.300,2:25.144,4.745,2:29.889,25.969,2:55.858,17.247,3:13.105,6.535,3:19.640,40.055,3:59.695,17.539,4:17.234,16.270,4:33.504,10.767,4:44.271,6.640,4:50.911,3.413,4:54.324,
009,1,6,3:23.777,2,,32.220,2,1:18.546,2,1:33.011,2,240.7,23:21.944,19:53:21.944,0:32.220,1:18.546,1:33.011,336.6,Alexander Riberas,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.220,78.546,93.011,8.038,8.038,9.889,17.927,14.293,32.220,32.288,1:04.508,4.703,1:09.211,25.038,1:34.249,16.517,1:50.766,6.383,1:57.149,35.752,2:32.901,16.567,2:49.468,14.714,3:04.182,10.051,3:14.233,5.983,3:20.216,3.561,3:23.777,
009,1,7,4:02.080,0,,36.960,0,1:26.982,0,1:58.138,0,202.6,27:24.024,19:57:24.024,0:36.960,1:26.982,1:58.138,264.5,Alexander Riberas,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.960,86.982,118.138,8.181,8.181,11.907,20.088,16.872,36.960,37.331,1:14.291,4.809,1:19.100,26.821,1:45.921,18.021,2:03.942,7.093,2:11.035,38.821,2:49.856,28.446,3:18.302,20.192,3:38.494,12.075,3:50.569,8.092,3:58.661,3.419,4:02.080,
009,1,8,3:46.617,0,B,33.181,0,1:24.480,0,1:48.956,0,216.5,31:10.641,20:01:10.641,0:33.181,1:24.480,1:48.956,315.1,Alexander Riberas,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,33.181,84.480,108.956,8.073,8.073,9.971,18.044,15.137,33.181,33.970,1:07.151,4.721,1:11.872,25.596,1:37.468,20.193,1:57.661,7.051,2:04.712,37.753,2:42.465,17.674,3:00.139,16.648,3:16.787,11.570,3:28.357,,,,3:46.617,
101,2,1,4:17.384,0,,1:01.555,0,1:27.694,0,1:48.135,0,188.6,4:17.384,19:34:17.384,1:01.555,1:27.694,1:48.135,241.6,Jordan Taylor,0:00:18.471,HYPERCAR,,Cadillac WTR,Cadillac,GF,61.555,87.694,108.135,25.242,25.242,16.389,41.631,19.924,1:01.555,37.184,1:38.739,4.875,1:43.614,27.652,2:11.266,17.983,2:29.249,6.930,2:36.179,38.894,3:15.073,17.460,3:32.533,16.815,3:49.348,13.978,4:03.326,10.561,4:13.887,3.497,4:17.384,
101,2,2,3:25.122,0,,32.816,0,1:18.433,0,1:33.873,0,239.1,7:42.506,19:37:42.506,0:32.816,1:18.433,1:33.873,343.0,Jordan Taylor,,HYPERCAR,,Cadillac WTR,Cadillac,GF,32.816,78.433,93.873,8.047,8.047,10.044,18.091,14.725,32.816,32.303,1:05.119,4.709,1:09.828,24.966,1:34.794,16.455,1:51.249,6.335,1:57.584,35.910,2:33.494,16.604,2:50.098,15.252,3:05.350,10.282,3:15.632,6.080,3:21.712,3.410,3:25.122,
101,2,3,3:24.428,0,,32.376,0,1:18.486,0,1:33.566,0,240.0,11:06.934,19:41:06.934,0:32.376,1:18.486,1:33.566,343.0,Jordan Taylor,,HYPERCAR,,Cadillac WTR,Cadillac,GF,32.376,78.486,93.566,8.023,8.023,9.869,17.892,14.484,32.376,32.373,1:04.749,4.712,1:09.461,24.946,1:34.407,16.455,1:50.862,6.311,1:57.173,35.836,2:33.009,16.649,2:49.658,15.121,3:04.779,10.207,3:14.986,5.952,3:20.938,3.490,3:24.428,
101,2,4,3:31.657,0,B,32.368,0,1:18.366,0,1:40.923,0,231.8,14:38.591,19:44:38.591,0:32.368,1:18.366,1:40.923,344.1,Jordan Taylor,,HYPERCAR,,Cadillac WTR,Cadillac,GF,32.368,78.366,100.923,8.039,8.039,9.756,17.795,14.573,32.368,32.359,1:04.727,4.698,1:09.425,24.860,1:34.285,16.449,1:50.734,6.303,1:57.037,35.834,2:32.871,16.594,2:49.465,15.321,3:04.786,10.679,3:15.465,,,,3:31.657,
101,2,5,5:03.213,0,,1:59.995,0,1:24.113,0,1:39.105,0,161.8,19:41.804,19:49:41.804,1:59.995,1:24.113,1:39.105,324.5,Jordan Taylor,0:01:29.387,HYPERCAR,,Cadillac WTR,Cadillac,GF,119.995,84.113,99.105,1:26.814,1:26.814,14.429,1:41.243,18.752,1:59.995,35.668,2:35.663,4.837,2:40.500,26.277,3:06.777,17.331,3:24.108,6.752,3:30.860,37.631,4:08.491,17.139,4:25.630,16.259,4:41.889,10.736,4:52.625,7.135,4:59.760,3.453,5:03.213,
101,2,6,3:28.634,0,,35.481,0,1:19.346,0,1:33.807,0,235.1,23:10.438,19:53:10.438,0:35.481,1:19.346,1:33.807,339.7,Jordan Taylor,,HYPERCAR,,Cadillac WTR,Cadillac,GF,35.481,79.346,93.807,8.025,8.025,9.968,17.993,17.488,35.481,32.993,1:08.474,4.719,1:13.193,25.105,1:38.298,16.529,1:54.827,6.312,2:01.139,36.062,2:37.201,16.609,2:53.810,15.139,3:08.949,10.207,3:19.156,6.031,3:25.187,3.447,3:28.634,
101,2,7,3:23.323,2,,32.137,0,1:18.205,2,1:32.981,2,241.3,26:33.761,19:56:33.761,0:32.137,1:18.205,1:32.981,341.9,Jordan Taylor,,HYPERCAR,,Cadillac WTR,Cadillac,GF,32.137,78.205,92.981,8.018,8.018,9.676,17.694,14.443,32.137,32.198,1:04.335,4.691,1:09.026,24.850,1:33.876,16.466,1:50.342,6.281,1:56.623,35.677,2:32.300,16.561,2:48.861,14.935,3:03.796,10.181,3:13.977,5.827,3:19.804,3.519,3:23.323,
