POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,35,6,3:23.018,-,-,241.6,6,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,107126,7452,,6237,21,,,,ALPINE,,Antonio,Felix da Costa,P,,POR,FDC,9024,,,00:45:00,None,Charles,Milesi,P,,FRA,,9594,,,00:45:00,None,Ferdinand,Habsburg,G,,AUT,,10000,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
2,38,6,3:23.091,+0.073,+0.073,241.5,6,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,107124,6429,,6203,4097,,,,CADILLAC HTJ,,Sebastien,Bourdais,P,,FRA,,98,,,00:45:00,None,Earl,Bamber,P,,NZL,,1290,,,00:45:00,None,Jack,Aitken,P,,GBR,,10508,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
3,17,5,3:23.126,+0.108,+0.035,241.5,6,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,107130,7119,,6291,4452,,,,GENESIS MAGMA,,Andre,Lotterer,P,,GER,,7,,,00:45:00,None,Luis,Felipe Derani,P,,BRA,,524,,,00:45:00,None,Mathys,Jaubert,S,,FRA,,10748,,,01:45:00,None,,,,,,,,,,,,,,,,,,,
4,101,6,3:23.191,+0.173,+0.065,241.4,6,Cadillac WTR,HYPERCAR,,,Cadillac V-Series.R,M,107174,7457,,6203,4097,,,,CADILLAC WTR,,Ricky,Taylor,P,,USA,RTA,253,,,,,Jordan,Taylor,P,,USA,JTA,181,,,,,Filipe,Albuquerque,P,,POR,,306,,,,,,,,,,,,,,,,,,,,,,,
5,20,5,3:23.246,+0.228,+0.055,241.3,6,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,107129,6359,,6276,4354,,,,BMW M TEAM WRT,,Robin,Frijns,P,,NED,,9871,,,00:45:00,None,Rene,Rast,P,,GER,,307,,,00:45:00,None,Sheldon,van der Linde,P,,RSA,VDL,11274,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
6,15,6,3:23.280,+0.262,+0.034,241.3,6,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,107128,6359,,6276,4354,,,,BMW M TEAM WRT,,Kevin,Magnussen,P,,DEN,,10211,,,00:45:00,None,Raffaele,Marciello,P,,SUI,,44013,,,00:45:00,None,Dries,Vanthoor,P,,BEL,VAT,8292,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
7,51,6,3:23.406,+0.388,+0.126,241.2,6,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,107131,6293,,6192,3,,,,FERRARI AF CORSE,,Alessandro,Pier Guidi,P,,ITA,PGU,340,,,00:45:00,None,James,Calado,P,,GBR,,300,,,00:45:00,None,Antonio,Giovinazzi,P,,ITA,,1976,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
8,19,5,3:23.643,+0.625,+0.237,240.9,5,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,107136,7119,,6291,4452,,,,GENESIS MAGMA,,Mathieu,Jaminet,P,,FRA,JMT,9415,,,00:45:00,None,Paul-Loup,Chatin,G,,FRA,,313,,,00:45:00,None,Daniel,Juncadella,P,,ESP,,11275,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
9,12,5,3:23.728,+0.710,+0.085,240.8,6,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,107123,6429,,6203,4097,,,,CADILLAC HTJ,,Louis,Deletraz,G,,SUI,,9621,,,00:45:00,None,William,Stevens,P,,GBR,,1882,,,00:45:00,None,Norman,Nato,G,,FRA,,9032,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
10,009,5,3:23.991,+0.973,+0.263,240.5,6,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,107125,6427,,6273,260,,,,ASTON MARTIN,,Alexander,Riberas,G,,ESP,,10376,,,00:45:00,None,Marco,Sorensen,P,,DEN,,7812,,,00:45:00,None,Roman,de Angelis,G,,CAN,DAN,44006,,,,,,,,,,,,,,,,,,,,,,,
