NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
007,3,1,4:58.881,0,B,1:44.717,0,1:25.896,0,1:48.268,0,162.4,4:58.881,12:04:58.881,1:44.717,1:25.896,1:48.268,304.5,Ross Gunn,0:01:05.417,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,104.717,85.896,108.268,1:10.895,1:10.895,15.182,1:26.077,18.640,1:44.717,36.014,2:20.731,4.789,2:25.520,27.227,2:52.747,17.866,3:10.613,7.132,3:17.745,38.359,3:56.104,17.107,4:13.211,17.866,4:31.077,11.165,4:42.242,,,,4:58.881,
007,3,2,5:47.451,0,,2:39.580,0,1:26.018,0,1:41.853,0,141.2,10:46.332,12:10:46.332,2:39.580,1:26.018,1:41.853,302.8,Ross Gunn,0:02:06.910,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,159.580,86.018,101.853,2:04.900,2:04.900,15.263,2:20.163,19.417,2:39.580,36.571,3:16.151,4.939,3:21.090,27.067,3:48.157,17.441,4:05.598,7.193,4:12.791,39.874,4:52.665,17.099,5:09.764,16.936,5:26.700,10.884,5:37.584,6.396,5:43.980,3.471,5:47.451,
007,3,3,3:31.805,0,,33.699,0,1:20.846,0,1:37.260,0,231.6,14:18.137,12:14:18.137,0:33.699,1:20.846,1:37.260,335.6,Ross Gunn,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.699,80.846,97.260,8.084,8.084,10.383,18.467,15.232,33.699,33.534,1:07.233,4.746,1:11.979,25.728,1:37.707,16.838,1:54.545,6.599,2:01.144,36.657,2:37.801,16.855,2:54.656,15.569,3:10.225,10.951,3:21.176,7.142,3:28.318,3.487,3:31.805,
007,3,4,3:28.800,2,,33.223,2,1:20.258,2,1:35.319,2,234.9,17:46.937,12:17:46.937,0:33.223,1:20.258,1:35.319,333.5,Ross Gunn,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,33.223,80.258,95.319,8.093,8.093,10.195,18.288,14.935,33.223,33.142,1:06.365,4.738,1:11.103,25.557,1:36.660,16.821,1:53.481,6.445,1:59.926,36.643,2:36.569,16.824,2:53.393,15.377,3:08.770,10.461,3:19.231,6.115,3:25.346,3.454,3:28.800,
009,2,1,7:00.328,0,,3:52.539,0,1:27.194,0,1:40.595,0,115.5,7:00.328,12:07:00.328,3:52.539,1:27.194,1:40.595,301.2,Marco Sorensen,0:03:11.753,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,232.539,87.194,100.595,3:17.654,3:17.654,15.462,3:33.116,19.423,3:52.539,37.251,4:29.790,4.961,4:34.751,27.195,5:01.946,17.787,5:19.733,7.108,5:26.841,38.738,6:05.579,17.183,6:22.762,16.461,6:39.223,10.923,6:50.146,6.634,6:56.780,3.548,7:00.328,
009,2,2,3:33.191,0,,35.063,0,1:21.881,0,1:36.247,0,230.1,10:33.519,12:10:33.519,0:35.063,1:21.881,1:36.247,333.5,Marco Sorensen,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.063,81.881,96.247,8.173,8.173,11.135,19.308,15.755,35.063,33.975,1:09.038,4.796,1:13.834,26.085,1:39.919,17.025,1:56.944,6.609,2:03.553,37.002,2:40.555,16.848,2:57.403,15.623,3:13.026,10.468,3:23.494,6.232,3:29.726,3.465,3:33.191,
009,2,3,3:28.941,2,,33.083,0,1:20.120,2,1:35.738,2,234.8,14:02.460,12:14:02.460,0:33.083,1:20.120,1:35.738,331.5,Marco Sorensen,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.083,80.120,95.738,8.104,8.104,10.202,18.306,14.777,33.083,33.044,1:06.127,4.742,1:10.869,25.495,1:36.364,16.839,1:53.203,6.529,1:59.732,36.609,2:36.341,16.868,2:53.209,15.439,3:08.648,10.524,3:19.172,6.279,3:25.451,3.490,3:28.941,
009,2,4,3:29.940,0,,33.044,2,1:20.682,0,1:36.214,0,233.7,17:32.400,12:17:32.400,0:33.044,1:20.682,1:36.214,333.5,Marco Sorensen,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,33.044,80.682,96.214,8.090,8.090,10.212,18.302,14.742,33.044,33.107,1:06.151,4.764,1:10.915,25.734,1:36.649,17.077,1:53.726,6.623,2:00.349,36.907,2:37.256,16.867,2:54.123,15.462,3:09.585,10.501,3:20.086,6.352,3:26.438,3.502,3:29.940,
10,3,1,5:47.294,0,,2:15.121,0,1:39.191,0,1:52.982,1,139.7,5:47.294,12:05:47.294,2:15.121,1:39.191,1:52.982,237.9,Marvin Kirchhofer,0:01:33.136,LMGT3,,Garage 59,McLaren,GF,135.121,99.191,112.982,1:39.862,1:39.862,15.442,1:55.304,19.817,2:15.121,41.465,2:56.586,5.631,3:02.217,31.694,3:33.911,20.401,3:54.312,7.244,4:01.556,42.765,4:44.321,20.514,5:04.835,18.983,5:23.818,12.417,5:36.235,7.046,5:43.281,4.013,5:47.294,
10,3,2,4:05.510,0,B,37.833,2,1:32.526,2,1:55.151,0,199.8,9:52.804,12:09:52.804,0:37.833,1:32.526,1:55.151,283.9,Marvin Kirchhofer,,LMGT3,,Garage 59,McLaren,GF,37.833,92.526,115.151,9.704,9.704,11.315,21.019,16.814,37.833,38.017,1:15.850,5.555,1:21.405,29.407,1:50.812,19.547,2:10.359,6.918,2:17.277,41.424,2:58.701,19.831,3:18.532,18.379,3:36.911,12.216,3:49.127,,,,4:05.510,
