POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,17,36,3:28.738,+1.727,+0.008,235.0,37,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,107482,7119,,6291,4452,,,,GENESIS MAGMA,,Andre,Lotterer,P,,GER,,7,,,00:45:00,None,Luis,Felipe Derani,P,,BRA,,524,,,00:45:00,None,Mathys,Jaubert,S,,FRA,,10748,,,01:45:00,None,Jamie,Chadwick,S,,GBR,,10298,,,,,,,,,,,,,,,,,
12,51,31,3:28.774,+1.763,+0.036,235.0,31,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,107506,6293,,6192,3,,,,FERRARI AF CORSE,,Alessandro,Pier Guidi,P,,ITA,PGU,340,,,00:45:00,None,James,Calado,P,,GBR,,300,,,00:45:00,None,Antonio,Giovinazzi,P,,ITA,,1976,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
13,38,6,3:28.825,+1.814,+0.051,234.9,34,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,107501,6429,,6203,4097,,,,CADILLAC HTJ,,Sebastien,Bourdais,P,,FRA,,98,,,00:45:00,None,Earl,Bamber,P,,NZL,,1290,,,00:45:00,None,Jack,Aitken,P,,GBR,,10508,,,00:45:00,None,William,Stevens,P,,GBR,,1882,,,,,Norman,Nato,G,,FRA,,9032,,,,,,,,,,,
14,83,28,3:28.896,+1.885,+0.071,234.8,28,AF Corse,HYPERCAR,,,Ferrari 499P,M,107518,16,,6192,3,,,HWC,AF CORSE,,Yifei,Ye,G,,CHN,,10068,,,00:45:00,None,Robert,Kubica,P,,POL,,8438,,,00:45:00,None,Philip,Hanson,G,,GBR,HSO,1946,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
15,93,13,3:29.271,+2.260,+0.375,234.4,36,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,107461,6151,,6112,4014,,,,PEUGEOT TE,,Paul,di Resta,P,,GBR,DIR,9293,,,00:45:00,None,Stoffel,Vandoorne,P,,BEL,,9520,,,00:45:00,None,Nicholas,Cassidy,P,,NZL,CAY,9714,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
16,94,25,3:29.285,+2.274,+0.014,234.4,30,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,107462,6151,,6112,4014,,,,PEUGEOT TE,,Loic,Duval,P,,FRA,,14,,,00:45:00,None,Malthe,Jakobsen,G,,DEN,,9610,,,00:45:00,None,Theo,Pourchaire,P,,FRA,,11672,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
17,36,9,3:29.390,+2.379,+0.105,234.3,25,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,107499,7453,,6237,21,,,,ALPINE,,Frederic,Makowiecki,P,,FRA,,61,,,00:45:00,None,Jules,Gounon,P,,FRA,,9500,,,00:45:00,None,Victor,Martins,G,,FRA,MRS,11671,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
18,19,25,3:29.988,+2.977,+0.598,233.6,30,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,107483,7119,,6291,4452,,,,GENESIS MAGMA,,Mathieu,Jaminet,P,,FRA,JMT,9415,,,00:45:00,None,Paul-Loup,Chatin,G,,FRA,,313,,,00:45:00,None,Daniel,Juncadella,P,,ESP,,11275,,,00:45:00,None,Jamie,Chadwick,S,,GBR,,10298,,,,,,,,,,,,,,,,,
19,183,12,3:35.526,+8.515,+5.538,227.6,30,AF Corse,LMP2,P/A,,Oreca 07 - Gibson,G,107466,16,,5626,256,,,,AF CORSE,,Francois,Perrodo,B,,FRA,,260,,,,,Matthieu,Vaxiviere,G,,FRA,,7798,,,,,Benjamin,Barnicoat,P,,GBR,BAN,9429,,,,,,,,,,,,,,,,,,,,,,,
20,43,34,3:35.992,+8.981,+0.466,227.1,34,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,107502,402,,5626,256,,,,INTER EUROPOL,,Jakub,Smiechowski,S,,POL,,1670,,,,,Thomas,Dillmann,G,,FRA,,1352,,,,,Nicholas,Yelloly,P,,GBR,,8790,,,,,,,,,,,,,,,,,,,,,,,
