POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,10,Classified,64,2:40:44.167,-,-,49,1:51.788,209.8,Konica Minolta Acura ARX-05,DPi,,,Acura DPi,M,948,81,27,65,7641,3,17,13531,,,Ricky,Taylor,Platinum,,USA,,608,1,Platinum,,,Filipe,Albuquerque,Platinum,,PRT,,1194,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,02,Classified,64,2:40:45.630,+1.463,+1.463,9,1:51.636,210.1,Cadillac Racing,DPi,,,Cadillac DPi,M,1549,339,27,49,7646,3,35,13534,,,Earl,Bamber,Platinum,,NZL,,651,1,Platinum,,,Alex,Lynn,Platinum,,GBR,,1313,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01,Classified,64,2:40:46.148,+1.981,+0.518,12,1:52.079,209.3,Cadillac Racing,DPi,,,Cadillac DPi,M,943,339,27,49,7646,3,29,13533,,,Renger,van der Zande,Gold,,NLD,,1998,1,Gold,,,Sebastien,Bourdais,Platinum,,FRA,,602,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,60,Classified,64,2:40:47.986,+3.819,+1.838,51,1:52.333,208.8,Meyer Shank Racing W/Curb-Agajanian,DPi,,,Acura DPi,M,947,3,27,65,7641,3,23,13532,,,Oliver,Jarvis,Platinum,,GBR,,1999,1,Platinum,,,Tom,Blomqvist,Platinum,,MCO,,1718,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Classified,64,2:40:51.170,+7.003,+3.184,38,1:51.996,209.4,JDC Miller MotorSports,DPi,,,Cadillac DPi,M,758,270,27,49,7646,3,11,13530,,,Tristan,Vautier,Gold,,FRA,,635,1,Gold,,,Richard,Westbrook,Platinum,,GBR,,2688,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31,Classified,64,2:40:51.356,+7.189,+0.186,49,1:52.576,208.3,Whelen Engineering Racing,DPi,,,Cadillac DPi,M,741,159,27,49,7646,3,5,13529,,,Olivier,Pla,Platinum,,FRA,,2931,1,Platinum,,,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18,Classified,64,2:41:03.809,+19.642,+12.453,40,1:54.418,205.0,Era Motorsport,LMP2,,,ORECA LMP2 07,M,761,291,28,85,7637,3,47,13536,,,Dwight,Merriman,Bronze,,USA,,1930,1,Bronze,,,Ryan,Dalziel,Gold,,GBR,,192,3,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Classified,64,2:41:04.525,+20.358,+0.716,39,1:53.875,206.0,Tower Motorsport,LMP2,,,ORECA LMP2 07,M,973,352,28,85,7637,3,65,13539,,,John,Farano,Bronze,,CAN,,441,1,Bronze,,,Louis,Deletraz,Gold,,CHE,,2701,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,Classified,64,2:41:05.314,+21.147,+0.789,54,1:55.263,203.5,High Class Racing,LMP2,,,ORECA LMP2 07,M,968,348,28,85,7637,3,41,13535,,,Dennis,Andersen,Bronze,,DNK,,2737,1,Bronze,,,Fabio,Scherer,Gold,,CHE,,2738,3,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Classified,64,2:41:06.111,+21.944,+0.797,50,1:54.909,204.1,PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,1556,16,28,85,7637,3,53,13537,,,Steven,Thomas,Bronze,,USA,,1919,1,Bronze,,,Tristan,Nunez,Gold,,USA,,169,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
