POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,17,5,1:56.438,-,-,166.6,7,CLX Motorsport,LMP3,,,Ligier JS P325 - Toyota,M,106397,6421,6,6268,258,219,,,CLX MOTORSPORT,,Alexander,Jacoby,S,,USA,,12102,66,,00:40:00,None,Kevin,Rabin,S,,SUI,,11685,219,,00:40:00,None,Paul,Lanchere,B,,FRA,,11556,70,,01:45:00,None,,,,,,,,,,,,,,,,,,,
2,94,5,1:57.080,+0.642,+0.642,165.7,8,High Class Racing,LMP3,,,Ligier JS P325 - Toyota,M,106431,5578,6,6268,258,57,,,HIGH CLASS,,Tim,Whale,B,,GBR,,11050,188,,01:45:00,None,Philip,Lindberg,S,,DEN,,11853,57,,00:40:00,None,Callum,Voisin,S,,GBR,,12134,188,,00:40:00,None,,,,,,,,,,,,,,,,,,,
3,13,5,1:58.080,+1.642,+1.000,164.3,7,Inter Europol Competition,LMP3,,,Ligier JS P325 - Toyota,M,106395,402,6,6268,258,181,,,INTER EUROPOL,,Alexander,Bukhantsov,B,,KNA,,10453,198,,01:45:00,None,Chun,Ting Chou,S,,TPE,,11059,227,,00:40:00,None,Henry,Cubides,S,,COL,,11857,46,,00:40:00,None,,,,,,,,,,,,,,,,,,,
4,26,6,1:58.607,+2.169,+0.527,163.6,7,Bretton Racing,LMP3,,,Ligier JS P325 - Toyota,M,106403,6354,6,6268,258,193,,,BRETTON RACING,,Jacek,Zielonka,B,,POL,,11217,181,,01:45:00,None,Lenny,Ried,S,,GER,,12180,5,,00:40:00,None,Lucas,Fluxa,S,,ESP,,12181,64,,00:40:00,None,,,,,,,,,,,,,,,,,,,
5,29,7,1:58.666,+2.228,+0.059,163.5,8,Forestier Racing by VPS,LMP3,,,Ligier JS P325 - Toyota,M,106405,6431,6,6268,258,70,,,FORESTIER BY VPS,,Nicholas,Adcock,B,,GBR,,9534,188,,01:45:00,None,Lucas,Fecury,S,,BRA,,12133,32,,00:40:00,None,Luciano,Morano,S,,FRA,,11842,70,,00:40:00,None,,,,,,,,,,,,,,,,,,,
6,23,8,1:58.775,+2.337,+0.109,163.4,8,23Events Racing,LMP3,,,Ligier JS P325 - Toyota,M,106401,6435,6,6268,258,70,,,23EVENTS RACING,,Louis,Stern,B,,FRA,,11451,70,,01:45:00,None,Matteo,Quintarelli,S,,ITA,,11638,119,,00:40:00,None,Isaac,Barashi,S,,GBR,,12140,188,,00:40:00,None,,,,,,,,,,,,,,,,,,,
7,71,7,1:59.234,+2.796,+0.459,162.7,7,23Events Racing,LMP3,,,Ligier JS P325 - Toyota,M,106423,6435,6,6268,258,70,,,23EVENTS RACING,,Terrence,Woodward,B,,GBR,,1764,188,,01:45:00,None,Matus,Ryba,S,,SVK,,12171,213,,00:40:00,None,Ibrahim,Badawy,S,,EGY,,12172,60,,00:40:00,None,,,,,,,,,,,,,,,,,,,
8,85,8,1:59.355,+2.917,+0.121,162.6,8,R-ACE GP,LMP3,,,Duqueine D09 - Toyota,M,106426,6357,6,6289,4407,70,,,R-ACE GP,,Danial,Frost,S,,SGP,,11237,212,,00:40:00,None,Shahan,Sarkissian,B,,LBN,,10974,133,,01:45:00,None,Lena,Bulher,S,,SUI,,11641,219,,00:40:00,None,,,,,,,,,,,,,,,,,,,
9,1,5,2:01.009,+4.571,+1.654,160.4,7,Team Virage,LMP3,,,Ligier JS P325 - Toyota,M,106386,5892,6,6268,258,181,,,TEAM VIRAGE,,Ajith,Kumar,B,,IND,,12105,112,,00:50:00,None,Narain,Karthikeyan,G,,IND,,820,112,,00:40:00,01:00:00,Julien,Gerbi,B,,ESP,,9862,64,,00:50:00,None,,,,,,,,,,,,,,,,,,,
,8,6,1:56.801,,,166.1,8,Team Virage,LMP3,,,Ligier JS P325 - Toyota,M,106391,5892,6,6268,258,181,,,TEAM VIRAGE,,Romain,Vozniak,B,,FRA,,9638,70,,01:45:00,None,Vic,Stevens,S,,BEL,,11847,,,00:40:00,None,Aditya,Patel,S,,IND,,12176,,,00:40:00,None,,,,,,,,,,,,,,,,,,,
