team,unique_drivers,total_events,series_count,total_laps,first_year,last_year,last_class,last_series
Vasser Sullivan,12,17,1,9403,2021,2024,GTDPRO,imsa
Akkodis ASP Team,13,16,1,5550,2024,2025,LMGT3,wec
Alpine Endurance Team,8,16,1,6916,2024,2025,HYPERCAR,wec
DragonSpeed,17,16,1,6652,2024,2026,GTD,imsa
Lone Star Racing,12,16,1,5761,2019,2026,GTD,imsa
Vista AF Corse,6,16,1,5993,2024,2025,LMGT3,wec
Hertz Team JOTA,9,15,1,4974,2023,2024,HYPERCAR,wec
WTM by Rinaldi Racing,4,15,1,1840,2023,2025,LMP3,elms
AO by TF,6,14,2,2076,2024,2025,LMP2 Pro/Am,elms
CETILAR RACING,7,14,1,5475,2023,2025,GTD,imsa
Ford Chip Ganassi Racing,5,14,1,2813,2018,2019,GTLM,imsa
Heart Of Racing Team,4,14,1,2818,2020,2021,GTD,imsa
Jr III Racing,10,14,1,2852,2021,2023,LMP3,imsa
Meyer Shank Racing w/ Curb-Agajanian,6,14,1,1849,2018,2019,GTD,imsa
Meyer Shank Racing w/Curb-Agajanian,7,14,1,2968,2020,2021,DPi,imsa
Richard Mille AF Corse,8,14,3,2548,2024,2025,LMGT3,elms
GR Racing,5,13,2,1490,2024,2025,LMGT3,elms
Iron Lynx - Proton,4,13,2,1708,2024,2025,LMP2,elms
JMW Motorsport,10,13,2,1290,2024,2025,LMGT3,elms
Kessel Racing,9,13,2,2070,2024,2025,LMGT3,elms
Prema Racing,11,13,2,3616,2022,2023,LMP2,wec
Spirit of Race,6,13,2,1463,2024,2025,LMGT3,elms
Tower Motorsport,9,13,1,4773,2021,2022,LMP2,imsa
BHK Motorsport,3,12,1,1458,2021,2022,LMP2,elms
Glickenhaus Racing,9,12,1,3695,2021,2023,HYPERCAR,wec
Kellymoss with Riley,9,12,1,6009,2023,2024,GTD,imsa
Lamborghini Iron Lynx,6,12,2,2994,2024,2024,GTP,imsa
Mazda Motorsports,4,12,1,3270,2020,2021,DPi,imsa
RLR MSport,8,12,1,1632,2021,2022,LMP3,elms
Rick Ware Racing,7,12,1,1905,2022,2023,LMP2,imsa
Vasser Sullivan Racing,11,12,1,5789,2025,2026,GTDPRO,imsa
Wayne Taylor Racing,11,12,1,4858,2025,2026,GTD,imsa
Cadillac Whelen,5,11,2,3231,2025,2026,GTP,imsa
DXDT Racing,8,11,1,2293,2025,2026,GTD,imsa
MDK Motorsports,9,11,1,4690,2023,2024,GTD,imsa
Porsche Penske Motorsports,10,11,1,10095,2023,2024,GTP,imsa
Richard Mille Racing Team,8,11,1,2395,2021,2022,LMP2,wec
Wayne Taylor Racing with Andretti,13,11,1,11390,2024,2024,GTD,imsa
Acura Meyer Shank Racing w/Curb Agajanian,10,10,1,6021,2025,2026,GTP,imsa
Af Corse,19,10,1,7610,2021,2025,GTD,imsa
Forte Racing Powered by USRT,4,10,1,1455,2023,2023,GTD,imsa
Korthoff/Preston Motorsports,4,10,1,3739,2024,2024,GTD,imsa
Magnus with Archangel,4,10,1,2243,2021,2021,GTD,imsa
Meyer Shank Racing W/Curb-Agajanian,5,10,1,3151,2022,2022,DPi,imsa
