driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
ryan dalziel,2022-05-15 14:10:00,Mid-Ohio,imsa,LMP2,1607,9,59,1178,Gold
steven thomas,2022-05-15 14:10:00,Mid-Ohio,imsa,LMP2,1295,44,56,1006,Bronze
william stevens,2022-05-15 14:10:00,Mid-Ohio,imsa,LMP2,1734,-93,63,601,Platinum
alessio rovera,2022-06-11 16:00:00,Le Mans,wec,LMP2,1625,114,136,338,Platinum
alex brundle,2022-06-11 16:00:00,Le Mans,wec,LMP2,1631,-5,136,734,Gold
alexander lynn,2022-06-11 16:00:00,Le Mans,wec,LMP2,1718,-56,129,299,Platinum
alexandre cougnaud,2022-06-11 16:00:00,Le Mans,wec,LMP2,1413,0,116,116,Silver
antonio felix da costa,2022-06-11 16:00:00,Le Mans,wec,LMP2,1845,-61,129,778,Platinum
benjamin hanley,2022-06-11 16:00:00,Le Mans,wec,LMP2,1586,13,151,949,Gold
bent viscaal,2022-06-11 16:00:00,Le Mans,wec,LMP2,1685,51,131,264,Gold
charles milesi,2022-06-11 16:00:00,Le Mans,wec,LMP2,1723,-28,140,729,Platinum
christophe cresp,2022-06-11 16:00:00,Le Mans,wec,LMP2,1424,0,106,106,Bronze
dane cameron,2022-06-11 16:00:00,Le Mans,wec,LMP2,1711,79,131,224,Platinum
david droux,2022-06-11 16:00:00,Le Mans,wec,LMP2,1537,-24,157,253,Gold
david heinemeier hansson,2022-06-11 16:00:00,Le Mans,wec,LMP2,1520,90,97,182,Silver
dries vanthoor,2022-06-11 16:00:00,Le Mans,wec,LMP2,1668,0,121,121,Platinum
edward jones,2022-06-11 16:00:00,Le Mans,wec,LMP2,1611,33,100,237,Gold
emmanuel collard,2022-06-11 16:00:00,Le Mans,wec,LMP2,1526,5,96,186,Silver
eric trouillet,2022-06-11 16:00:00,Le Mans,wec,LMP2,1276,201,96,170,Bronze
esteban gutierrez,2022-06-11 16:00:00,Le Mans,wec,LMP2,1634,131,129,207,Platinum
fabio scherer,2022-06-11 16:00:00,Le Mans,wec,LMP2,1596,24,137,876,Gold
felipe nasr,2022-06-11 16:00:00,Le Mans,wec,LMP2,1793,27,141,379,Platinum
ferdinand habsburg,2022-06-11 16:00:00,Le Mans,wec,LMP2,1754,-34,144,985,Gold
filipe albuquerque,2022-06-11 16:00:00,Le Mans,wec,LMP2,1791,-109,145,715,Platinum
francois heriau,2022-06-11 16:00:00,Le Mans,wec,LMP2,1266,134,107,514,Bronze
francois perrodo,2022-06-11 16:00:00,Le Mans,wec,LMP2,1419,-11,91,250,Bronze
guillermo rojas,2022-06-11 16:00:00,Le Mans,wec,LMP2,1349,-140,98,194,Gold
jack aitken,2022-06-11 16:00:00,Le Mans,wec,LMP2,1655,-58,145,230,Platinum
jakub smiechowski,2022-06-11 16:00:00,Le Mans,wec,LMP2,1369,35,99,539,Silver
james allen,2022-06-11 16:00:00,Le Mans,wec,LMP2,1575,31,133,730,Gold
jean glorieux,2022-06-11 16:00:00,Le Mans,wec,LMP2,1412,0,92,92,Bronze
jean-baptiste lahaye,2022-06-11 16:00:00,Le Mans,wec,LMP2,1465,-15,100,536,Silver
job van uitert,2022-06-11 16:00:00,Le Mans,wec,LMP2,1714,-12,143,792,Gold
john falb,2022-06-11 16:00:00,Le Mans,wec,LMP2,1341,-1,91,548,Bronze
jonathan aberdein,2022-06-11 16:00:00,Le Mans,wec,LMP2,1625,-155,140,371,Gold
joshua pierson,2022-06-11 16:00:00,Le Mans,wec,LMP2,1533,45,97,592,Silver
julien canal,2022-06-11 16:00:00,Le Mans,wec,LMP2,1580,-47,97,573,Silver
laurents horr,2022-06-11 16:00:00,Le Mans,wec,LMP2,1586,0,153,153,Gold
lilou wadoux,2022-06-11 16:00:00,Le Mans,wec,LMP2,1521,210,100,200,Silver
lorenzo colombo,2022-06-11 16:00:00,Le Mans,wec,LMP2,1648,-10,130,315,Silver
louis deletraz,2022-06-11 16:00:00,Le Mans,wec,LMP2,1649,-43,107,1136,Gold
mathias beche,2022-06-11 16:00:00,Le Mans,wec,LMP2,1695,-49,134,388,Gold
matthew bell,2022-06-11 16:00:00,Le Mans,wec,LMP2,1516,88,120,368,Gold
matthieu lahaye,2022-06-11 16:00:00,Le Mans,wec,LMP2,1450,-15,126,507,Silver
michael jensen,2022-06-11 16:00:00,Le Mans,wec,LMP2,1247,0,88,88,Bronze
mirko bortolotti,2022-06-11 16:00:00,Le Mans,wec,LMP2,1681,0,129,129,Platinum
miroslav konopka,2022-06-11 16:00:00,Le Mans,wec,LMP2,914,196,91,544,Bronze
nick de vries,2022-06-11 16:00:00,Le Mans,wec,LMP2,1846,-26,135,628,Platinum
nicklas nielsen,2022-06-11 16:00:00,Le Mans,wec,LMP2,1578,-54,134,303,Platinum
nico müller,2022-06-11 16:00:00,Le Mans,wec,LMP2,1677,125,131,198,Platinum
nicolas jamin,2022-06-11 16:00:00,Le Mans,wec,LMP2,1651,-108,125,447,Gold
niklas kruetten,2022-06-11 16:00:00,Le Mans,wec,LMP2,1621,-12,98,179,Silver
norman nato,2022-06-11 16:00:00,Le Mans,wec,LMP2,1683,-2,106,722,Gold
oliver jarvis,2022-06-11 16:00:00,Le Mans,wec,LMP2,1728,-36,142,367,Platinum
oliver rasmussen,2022-06-11 16:00:00,Le Mans,wec,LMP2,1620,18,128,407,Gold
patrick pilet,2022-06-11 16:00:00,Le Mans,wec,LMP2,1688,6,125,558,Platinum
paul lafargue,2022-06-11 16:00:00,Le Mans,wec,LMP2,1457,48,102,555,Silver
paul loup chatin,2022-06-11 16:00:00,Le Mans,wec,LMP2,1713,11,139,1185,Gold
philip hanson,2022-06-11 16:00:00,Le Mans,wec,LMP2,1657,27,121,1212,Gold
pietro fittipaldi,2022-06-11 16:00:00,Le Mans,wec,LMP2,1633,4,129,269,Platinum
rene binder,2022-06-11 16:00:00,Le Mans,wec,LMP2,1572,-30,134,660,Gold
rene rast,2022-06-11 16:00:00,Le Mans,wec,LMP2,1731,-48,105,413,Platinum
reshad de gerus,2022-06-11 16:00:00,Le Mans,wec,LMP2,1628,-71,113,201,Gold
richard bradley,2022-06-11 16:00:00,Le Mans,wec,LMP2,1553,99,110,413,Gold
ricky taylor,2022-06-11 16:00:00,Le Mans,wec,LMP2,1685,178,148,295,Platinum
robert kubica,2022-06-11 16:00:00,Le Mans,wec,LMP2,1713,-58,132,703,Platinum
roberto gonzalez,2022-06-11 16:00:00,Le Mans,wec,LMP2,1525,20,98,557,Silver
robin frijns,2022-06-11 16:00:00,Le Mans,wec,LMP2,1841,-83,81,782,Platinum
rodrigo sales,2022-06-11 16:00:00,Le Mans,wec,LMP2,1285,143,91,169,Bronze
rolf ineichen,2022-06-11 16:00:00,Le Mans,wec,LMP2,1505,0,116,116,Silver
rui andrade,2022-06-11 16:00:00,Le Mans,wec,LMP2,1528,18,110,600,Silver
ryan cullen,2022-06-11 16:00:00,Le Mans,wec,LMP2,1460,84,98,364,Silver
sean gelael,2022-06-11 16:00:00,Le Mans,wec,LMP2,1620,-57,99,710,Silver
sebastien bourdais,2022-06-11 16:00:00,Le Mans,wec,LMP2,1675,23,125,159,Platinum
sophia floersch,2022-06-11 16:00:00,Le Mans,wec,LMP2,1521,-50,123,749,Silver
steven palette,2022-06-11 16:00:00,Le Mans,wec,LMP2,1346,0,136,136,Silver
steven thomas,2022-06-11 16:00:00,Le Mans,wec,LMP2,1282,-13,96,1102,Bronze
sébastien ogier,2022-06-11 16:00:00,Le Mans,wec,LMP2,1532,204,125,222,Platinum
sébastien page,2022-06-11 16:00:00,Le Mans,wec,LMP2,1233,102,90,162,Bronze
tijmen van der helm,2022-06-11 16:00:00,Le Mans,wec,LMP2,1585,15,99,448,Gold
tristan vautier,2022-06-11 16:00:00,Le Mans,wec,LMP2,1603,0,137,137,Gold
william owen,2022-06-11 16:00:00,Le Mans,wec,LMP2,1619,-35,98,425,Silver
william stevens,2022-06-11 16:00:00,Le Mans,wec,LMP2,1718,-16,141,742,Platinum
yifei ye,2022-06-11 16:00:00,Le Mans,wec,LMP2,1744,-42,121,654,Gold
anders fjordbach,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1428,59,66,874,Silver
ben keating,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1361,-27,41,802,Bronze
dennis andersen,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1183,22,41,862,Bronze
dwight merriman,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1065,29,41,933,Bronze
dylan murry,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1727,69,55,371,Silver
fabio scherer,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1614,18,52,928,Gold
frits van eerd,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1086,-10,41,791,Bronze
giedo van der garde,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1780,-23,63,985,Platinum
henrik hedman,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1031,-12,41,665,Bronze
john farano,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1128,-8,41,862,Bronze
jonathan bomarito,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1459,10,48,524,Gold
joshua pierson,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1479,-54,69,661,Silver
juan pablo montoya,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1597,26,55,713,Gold
kyle tilley,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1273,-84,60,901,Silver
louis deletraz,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1687,38,67,1203,Gold
mikkel jensen,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1687,11,49,1171,Gold
rui pinto de andrade,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1526,23,51,305,Silver
ryan dalziel,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1598,-9,56,1234,Gold
scott huffaker,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1640,-9,69,924,Silver
sebastian montoya,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1636,-104,62,102,Silver
steven thomas,2022-06-26 10:40:00,Watkins Glen,imsa,LMP2,1287,5,41,1143,Bronze
alessio rovera,2022-07-03 11:30:00,Monza,elms,LMP2,1657,33,51,389,Platinum
alexander peroni,2022-07-03 11:30:00,Monza,elms,LMP2,1654,61,37,121,Gold
benjamin hanley,2022-07-03 11:30:00,Monza,elms,LMP2,1608,23,53,1002,Gold
bent viscaal,2022-07-03 11:30:00,Monza,elms,LMP2,1665,-20,80,344,Gold
charlie eastwood,2022-07-03 11:30:00,Monza,elms,LMP2,1756,56,37,297,Gold
david droux,2022-07-03 11:30:00,Monza,elms,LMP2,1585,48,51,304,Gold
david heinemeier hansson,2022-07-03 11:30:00,Monza,elms,LMP2,1520,0,32,214,Silver
duncan tappy,2022-07-03 11:30:00,Monza,elms,LMP2,1557,-28,32,241,Silver
eric trouillet,2022-07-03 11:30:00,Monza,elms,LMP2,1215,-61,32,202,Bronze
fabio scherer,2022-07-03 11:30:00,Monza,elms,LMP2,1581,-34,37,965,Gold
ferdinand habsburg,2022-07-03 11:30:00,Monza,elms,LMP2,1739,-15,32,1017,Gold
francesco dracone,2022-07-03 11:30:00,Monza,elms,LMP2,1262,92,32,254,Silver
francois perrodo,2022-07-03 11:30:00,Monza,elms,LMP2,1395,-24,32,282,Bronze
gabriel aubry,2022-07-03 11:30:00,Monza,elms,LMP2,1671,-28,37,1157,Gold
jack aitken,2022-07-03 11:30:00,Monza,elms,LMP2,1662,7,52,282,Platinum
james allen,2022-07-03 11:30:00,Monza,elms,LMP2,1576,1,52,782,Gold
jazeman jaafar,2022-07-03 11:30:00,Monza,elms,LMP2,1518,-152,51,185,Gold
job van uitert,2022-07-03 11:30:00,Monza,elms,LMP2,1689,-25,51,843,Gold
john falb,2022-07-03 11:30:00,Monza,elms,LMP2,1340,-2,32,580,Bronze
julien canal,2022-07-03 11:30:00,Monza,elms,LMP2,1580,1,32,605,Silver
lorenzo colombo,2022-07-03 11:30:00,Monza,elms,LMP2,1723,75,38,353,Silver
louis deletraz,2022-07-03 11:30:00,Monza,elms,LMP2,1703,16,51,1254,Gold
markus pommer,2022-07-03 11:30:00,Monza,elms,LMP2,1344,13,52,473,Silver
mathias beche,2022-07-03 11:30:00,Monza,elms,LMP2,1703,8,52,440,Gold
matthew bell,2022-07-03 11:30:00,Monza,elms,LMP2,1515,-2,36,404,Gold
matthias kaiser,2022-07-03 11:30:00,Monza,elms,LMP2,1479,8,32,111,Silver
memo rojas,2022-07-03 11:30:00,Monza,elms,LMP2,1478,9,10,249,Silver
nicklas nielsen,2022-07-03 11:30:00,Monza,elms,LMP2,1659,81,37,340,Platinum
nicolas jamin,2022-07-03 11:30:00,Monza,elms,LMP2,1682,31,38,485,Gold
nicolas lapierre,2022-07-03 11:30:00,Monza,elms,LMP2,1683,-7,38,728,Platinum
niklas kruetten,2022-07-03 11:30:00,Monza,elms,LMP2,1586,-35,32,211,Silver
patrick pilet,2022-07-03 11:30:00,Monza,elms,LMP2,1728,40,37,595,Platinum
paul lafargue,2022-07-03 11:30:00,Monza,elms,LMP2,1456,-1,32,587,Silver
paul loup chatin,2022-07-03 11:30:00,Monza,elms,LMP2,1741,29,52,1237,Gold
philip hanson,2022-07-03 11:30:00,Monza,elms,LMP2,1629,-28,52,1264,Gold
philippe cimadomo,2022-07-03 11:30:00,Monza,elms,LMP2,1056,26,32,96,Bronze
pietro fittipaldi,2022-07-03 11:30:00,Monza,elms,LMP2,1583,-51,52,321,Platinum
rob hodes,2022-07-03 11:30:00,Monza,elms,LMP2,1098,61,32,150,Bronze
rodrigo sales,2022-07-03 11:30:00,Monza,elms,LMP2,1291,7,32,201,Bronze
salih yoluc,2022-07-03 11:30:00,Monza,elms,LMP2,1364,19,32,492,Silver
sergio campana,2022-07-03 11:30:00,Monza,elms,LMP2,1389,-14,36,388,Gold
sophia floersch,2022-07-03 11:30:00,Monza,elms,LMP2,1513,-8,41,790,Silver
sébastien page,2022-07-03 11:30:00,Monza,elms,LMP2,1075,-159,36,198,Bronze
thomas laurent,2022-07-03 11:30:00,Monza,elms,LMP2,1562,-116,51,128,Gold
tijmen van der helm,2022-07-03 11:30:00,Monza,elms,LMP2,1571,-13,36,484,Gold
tom gamble,2022-07-03 11:30:00,Monza,elms,LMP2,1802,-12,37,453,Gold
ugo de wilde,2022-07-03 11:30:00,Monza,elms,LMP2,1514,64,38,126,Gold
yifei ye,2022-07-03 11:30:00,Monza,elms,LMP2,1740,-4,51,705,Gold
alessio rovera,2022-07-10 12:00:00,Monza,wec,LMP2,1658,1,43,432,Platinum
alex brundle,2022-07-10 12:00:00,Monza,wec,LMP2,1600,-30,89,823,Gold
alexander lynn,2022-07-10 12:00:00,Monza,wec,LMP2,1699,-19,55,354,Platinum
antonio felix da costa,2022-07-10 12:00:00,Monza,wec,LMP2,1831,-14,45,823,Platinum
charles milesi,2022-07-10 12:00:00,Monza,wec,LMP2,1714,-9,52,781,Platinum
edward jones,2022-07-10 12:00:00,Monza,wec,LMP2,1658,47,65,302,Gold
esteban gutierrez,2022-07-10 12:00:00,Monza,wec,LMP2,1654,19,65,272,Platinum
ferdinand habsburg,2022-07-10 12:00:00,Monza,wec,LMP2,1783,44,115,1132,Gold
filipe albuquerque,2022-07-10 12:00:00,Monza,wec,LMP2,1781,-10,67,782,Platinum
francois heriau,2022-07-10 12:00:00,Monza,wec,LMP2,1264,-2,34,548,Bronze
francois perrodo,2022-07-10 12:00:00,Monza,wec,LMP2,1333,-62,34,316,Bronze
jakub smiechowski,2022-07-10 12:00:00,Monza,wec,LMP2,1384,15,34,573,Silver
james allen,2022-07-10 12:00:00,Monza,wec,LMP2,1573,-4,115,897,Gold
jean-baptiste lahaye,2022-07-10 12:00:00,Monza,wec,LMP2,1476,11,93,629,Silver
jonathan aberdein,2022-07-10 12:00:00,Monza,wec,LMP2,1692,67,87,458,Gold
joshua pierson,2022-07-10 12:00:00,Monza,wec,LMP2,1478,-2,41,702,Silver
lilou wadoux,2022-07-10 12:00:00,Monza,wec,LMP2,1507,-15,55,255,Silver
lorenzo colombo,2022-07-10 12:00:00,Monza,wec,LMP2,1696,-27,47,400,Silver
louis deletraz,2022-07-10 12:00:00,Monza,wec,LMP2,1747,44,99,1353,Gold
mathias beche,2022-07-10 12:00:00,Monza,wec,LMP2,1686,-17,89,529,Gold
matthieu lahaye,2022-07-10 12:00:00,Monza,wec,LMP2,1446,-5,60,567,Silver
miroslav konopka,2022-07-10 12:00:00,Monza,wec,LMP2,911,-2,33,577,Bronze
nicklas nielsen,2022-07-10 12:00:00,Monza,wec,LMP2,1741,82,110,450,Platinum
nico müller,2022-07-10 12:00:00,Monza,wec,LMP2,1714,37,86,284,Platinum
norman nato,2022-07-10 12:00:00,Monza,wec,LMP2,1699,17,42,764,Gold
oliver jarvis,2022-07-10 12:00:00,Monza,wec,LMP2,1749,20,92,459,Platinum
oliver rasmussen,2022-07-10 12:00:00,Monza,wec,LMP2,1640,20,34,441,Gold
paul loup chatin,2022-07-10 12:00:00,Monza,wec,LMP2,1730,-11,37,1274,Gold
philip hanson,2022-07-10 12:00:00,Monza,wec,LMP2,1646,17,51,1315,Gold
rene binder,2022-07-10 12:00:00,Monza,wec,LMP2,1597,25,43,703,Gold
rene rast,2022-07-10 12:00:00,Monza,wec,LMP2,1720,-11,44,457,Platinum
robert kubica,2022-07-10 12:00:00,Monza,wec,LMP2,1708,-5,42,745,Platinum
roberto gonzalez,2022-07-10 12:00:00,Monza,wec,LMP2,1473,-52,44,601,Silver
robin frijns,2022-07-10 12:00:00,Monza,wec,LMP2,1795,-46,50,832,Platinum
rui andrade,2022-07-10 12:00:00,Monza,wec,LMP2,1553,26,31,631,Silver
ryan cullen,2022-07-10 12:00:00,Monza,wec,LMP2,1515,55,34,398,Silver
sean gelael,2022-07-10 12:00:00,Monza,wec,LMP2,1572,-48,84,794,Silver
sebastien bourdais,2022-07-10 12:00:00,Monza,wec,LMP2,1699,24,68,227,Platinum
steven thomas,2022-07-10 12:00:00,Monza,wec,LMP2,1219,-68,29,1172,Bronze
tijmen van der helm,2022-07-10 12:00:00,Monza,wec,LMP2,1584,13,64,548,Gold
william owen,2022-07-10 12:00:00,Monza,wec,LMP2,1646,26,59,484,Silver
william stevens,2022-07-10 12:00:00,Monza,wec,LMP2,1707,-11,99,841,Platinum
dennis andersen,2022-08-07 10:40:00,Road America,imsa,LMP2,1184,0,16,878,Bronze
dwight merriman,2022-08-07 10:40:00,Road America,imsa,LMP2,1078,13,16,949,Bronze
fabio scherer,2022-08-07 10:40:00,Road America,imsa,LMP2,1561,-19,48,1013,Gold
henrik hedman,2022-08-07 10:40:00,Road America,imsa,LMP2,1043,12,16,681,Bronze
john farano,2022-08-07 10:40:00,Road America,imsa,LMP2,1104,-24,16,878,Bronze
joshua pierson,2022-08-07 10:40:00,Road America,imsa,LMP2,1494,17,48,750,Gold
juan pablo montoya,2022-08-07 10:40:00,Road America,imsa,LMP2,1617,20,48,761,Platinum
louis deletraz,2022-08-07 10:40:00,Road America,imsa,LMP2,1729,-17,48,1401,Gold
patrick kelly,2022-08-07 10:40:00,Road America,imsa,LMP2,1353,23,16,304,Bronze
ryan dalziel,2022-08-07 10:40:00,Road America,imsa,LMP2,1597,-1,48,1282,Gold
steven thomas,2022-08-07 10:40:00,Road America,imsa,LMP2,1214,-5,18,1190,Bronze
tristan nunez,2022-08-07 10:40:00,Road America,imsa,LMP2,1679,-4,46,640,Gold
alessio rovera,2022-08-28 11:45:00,Barcelona,elms,LMP2,1653,-5,40,472,Platinum
alexander peroni,2022-08-28 11:45:00,Barcelona,elms,LMP2,1574,-80,40,161,Gold
anders fjordbach,2022-08-28 11:45:00,Barcelona,elms,LMP2,1446,18,46,920,Silver
benjamin hanley,2022-08-28 11:45:00,Barcelona,elms,LMP2,1628,20,40,1042,Gold
bent viscaal,2022-08-28 11:45:00,Barcelona,elms,LMP2,1627,-38,70,414,Gold
charlie eastwood,2022-08-28 11:45:00,Barcelona,elms,LMP2,1623,-133,44,341,Gold
david heinemeier hansson,2022-08-28 11:45:00,Barcelona,elms,LMP2,1476,-44,33,247,Silver
duncan tappy,2022-08-28 11:45:00,Barcelona,elms,LMP2,1542,-15,47,288,Silver
fabio scherer,2022-08-28 11:45:00,Barcelona,elms,LMP2,1583,22,45,1058,Gold
ferdinand habsburg,2022-08-28 11:45:00,Barcelona,elms,LMP2,1826,42,47,1179,Gold
francesco dracone,2022-08-28 11:45:00,Barcelona,elms,LMP2,1280,17,46,300,Silver
francois perrodo,2022-08-28 11:45:00,Barcelona,elms,LMP2,1292,-41,42,358,Bronze
gabriel aubry,2022-08-28 11:45:00,Barcelona,elms,LMP2,1539,-132,64,1221,Gold
ian rodriguez,2022-08-28 11:45:00,Barcelona,elms,LMP2,1394,0,33,33,Silver
jack aitken,2022-08-28 11:45:00,Barcelona,elms,LMP2,1673,12,43,325,Platinum
james allen,2022-08-28 11:45:00,Barcelona,elms,LMP2,1607,34,48,945,Gold
job van uitert,2022-08-28 11:45:00,Barcelona,elms,LMP2,1713,24,39,882,Gold
john falb,2022-08-28 11:45:00,Barcelona,elms,LMP2,1303,-37,43,623,Bronze
julien canal,2022-08-28 11:45:00,Barcelona,elms,LMP2,1621,40,47,652,Silver
lorenzo colombo,2022-08-28 11:45:00,Barcelona,elms,LMP2,1691,-5,46,446,Silver
louis deletraz,2022-08-28 11:45:00,Barcelona,elms,LMP2,1751,22,39,1440,Gold
markus pommer,2022-08-28 11:45:00,Barcelona,elms,LMP2,1360,16,36,509,Silver
mathias beche,2022-08-28 11:45:00,Barcelona,elms,LMP2,1709,23,52,581,Gold
matthew bell,2022-08-28 11:45:00,Barcelona,elms,LMP2,1533,18,45,449,Gold
matthias kaiser,2022-08-28 11:45:00,Barcelona,elms,LMP2,1414,-66,46,157,Silver
memo rojas,2022-08-28 11:45:00,Barcelona,elms,LMP2,1431,-47,46,295,Silver
nicklas nielsen,2022-08-28 11:45:00,Barcelona,elms,LMP2,1774,33,49,499,Platinum
nicolas jamin,2022-08-28 11:45:00,Barcelona,elms,LMP2,1727,45,46,531,Gold
nicolas lapierre,2022-08-28 11:45:00,Barcelona,elms,LMP2,1711,28,45,773,Platinum
niklas kruetten,2022-08-28 11:45:00,Barcelona,elms,LMP2,1710,124,47,258,Silver
patrick pilet,2022-08-28 11:45:00,Barcelona,elms,LMP2,1720,-8,43,638,Platinum
paul lafargue,2022-08-28 11:45:00,Barcelona,elms,LMP2,1487,31,46,633,Silver
paul loup chatin,2022-08-28 11:45:00,Barcelona,elms,LMP2,1733,2,41,1315,Gold
philip hanson,2022-08-28 11:45:00,Barcelona,elms,LMP2,1661,15,39,1354,Gold
philippe cimadomo,2022-08-28 11:45:00,Barcelona,elms,LMP2,970,-85,37,133,Bronze
pietro fittipaldi,2022-08-28 11:45:00,Barcelona,elms,LMP2,1638,56,47,368,Platinum
richard bradley,2022-08-28 11:45:00,Barcelona,elms,LMP2,1508,-45,39,452,Gold
rob hodes,2022-08-28 11:45:00,Barcelona,elms,LMP2,963,-136,32,182,Bronze
rodrigo sales,2022-08-28 11:45:00,Barcelona,elms,LMP2,1251,-40,46,247,Bronze
salih yoluc,2022-08-28 11:45:00,Barcelona,elms,LMP2,1382,18,43,535,Silver
sergio campana,2022-08-28 11:45:00,Barcelona,elms,LMP2,1405,16,46,434,Gold
sophia floersch,2022-08-28 11:45:00,Barcelona,elms,LMP2,1524,11,60,850,Silver
thomas laurent,2022-08-28 11:45:00,Barcelona,elms,LMP2,1524,-38,39,167,Gold
tijmen van der helm,2022-08-28 11:45:00,Barcelona,elms,LMP2,1573,-11,41,589,Gold
tom gamble,2022-08-28 11:45:00,Barcelona,elms,LMP2,1694,-108,45,498,Gold
ugo de wilde,2022-08-28 11:45:00,Barcelona,elms,LMP2,1580,66,46,172,Gold
yifei ye,2022-08-28 11:45:00,Barcelona,elms,LMP2,1757,17,40,745,Gold
alessio rovera,2022-09-11 11:00:00,Fuji,wec,LMP2,1607,-46,54,526,Platinum
alex brundle,2022-09-11 11:00:00,Fuji,wec,LMP2,1558,-43,54,877,Gold
alexander lynn,2022-09-11 11:00:00,Fuji,wec,LMP2,1829,130,117,471,Platinum
antonio felix da costa,2022-09-11 11:00:00,Fuji,wec,LMP2,1862,31,56,879,Platinum
charles milesi,2022-09-11 11:00:00,Fuji,wec,LMP2,1715,1,53,834,Platinum
dries vanthoor,2022-09-11 11:00:00,Fuji,wec,LMP2,1888,220,54,175,Platinum
edward jones,2022-09-11 11:00:00,Fuji,wec,LMP2,1712,54,54,356,Gold
esteban gutierrez,2022-09-11 11:00:00,Fuji,wec,LMP2,1526,-128,129,401,Platinum
ferdinand habsburg,2022-09-11 11:00:00,Fuji,wec,LMP2,1818,-8,54,1233,Gold
filipe albuquerque,2022-09-11 11:00:00,Fuji,wec,LMP2,1803,22,118,900,Platinum
francois heriau,2022-09-11 11:00:00,Fuji,wec,LMP2,1209,-55,53,601,Bronze
francois perrodo,2022-09-11 11:00:00,Fuji,wec,LMP2,1216,-76,38,396,Bronze
jakub smiechowski,2022-09-11 11:00:00,Fuji,wec,LMP2,1354,-30,39,612,Silver
james allen,2022-09-11 11:00:00,Fuji,wec,LMP2,1572,-35,54,999,Gold
jean-baptiste lahaye,2022-09-11 11:00:00,Fuji,wec,LMP2,1456,-20,58,687,Silver
jonathan aberdein,2022-09-11 11:00:00,Fuji,wec,LMP2,1778,86,106,564,Gold
joshua pierson,2022-09-11 11:00:00,Fuji,wec,LMP2,1524,30,53,803,Silver
lilou wadoux,2022-09-11 11:00:00,Fuji,wec,LMP2,1549,42,53,308,Silver
lorenzo colombo,2022-09-11 11:00:00,Fuji,wec,LMP2,1735,44,56,502,Silver
louis deletraz,2022-09-11 11:00:00,Fuji,wec,LMP2,1756,5,113,1553,Gold
matthieu lahaye,2022-09-11 11:00:00,Fuji,wec,LMP2,1421,-24,110,677,Silver
nicklas nielsen,2022-09-11 11:00:00,Fuji,wec,LMP2,1748,-26,131,630,Platinum
norman nato,2022-09-11 11:00:00,Fuji,wec,LMP2,1764,65,122,886,Gold
oliver jarvis,2022-09-11 11:00:00,Fuji,wec,LMP2,1758,10,54,513,Platinum
oliver rasmussen,2022-09-11 11:00:00,Fuji,wec,LMP2,1662,22,64,505,Gold
paul loup chatin,2022-09-11 11:00:00,Fuji,wec,LMP2,1682,-51,117,1432,Gold
philip hanson,2022-09-11 11:00:00,Fuji,wec,LMP2,1669,8,54,1408,Gold
rene binder,2022-09-11 11:00:00,Fuji,wec,LMP2,1464,-133,90,793,Gold
renger van der zande,2022-09-11 11:00:00,Fuji,wec,LMP2,1647,-14,54,426,Platinum
robert kubica,2022-09-11 11:00:00,Fuji,wec,LMP2,1714,5,55,800,Platinum
roberto gonzalez,2022-09-11 11:00:00,Fuji,wec,LMP2,1533,59,53,654,Silver
robin frijns,2022-09-11 11:00:00,Fuji,wec,LMP2,1855,60,117,949,Platinum
rui andrade,2022-09-11 11:00:00,Fuji,wec,LMP2,1553,0,48,679,Silver
ryan cullen,2022-09-11 11:00:00,Fuji,wec,LMP2,1513,-2,53,451,Silver
sean gelael,2022-09-11 11:00:00,Fuji,wec,LMP2,1619,48,53,847,Silver
sebastien bourdais,2022-09-11 11:00:00,Fuji,wec,LMP2,1690,-9,116,343,Platinum
steven thomas,2022-09-11 11:00:00,Fuji,wec,LMP2,1132,-82,54,1244,Bronze
william owen,2022-09-11 11:00:00,Fuji,wec,LMP2,1614,-32,52,536,Silver
william stevens,2022-09-11 11:00:00,Fuji,wec,LMP2,1752,45,115,956,Platinum
