driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
patrick kelly,2020-07-18 17:35:00,Sebring,imsa,LMP2,1536,178,28,58,Bronze
ryan dalziel,2020-07-18 17:35:00,Sebring,imsa,LMP2,1406,0,28,28,Gold
spencer pigot,2020-07-18 17:35:00,Sebring,imsa,LMP2,1693,0,53,53,Gold
benjamin hanley,2020-08-02 11:05:00,Road America,imsa,LMP2,1614,0,35,35,Gold
cameron cassels,2020-08-02 11:05:00,Road America,imsa,LMP2,1404,-75,29,231,Bronze
dwight merriman,2020-08-02 11:05:00,Road America,imsa,LMP2,1345,14,27,50,Bronze
henrik hedman,2020-08-02 11:05:00,Road America,imsa,LMP2,1473,-39,24,45,Bronze
james french,2020-08-02 11:05:00,Road America,imsa,LMP2,1430,-127,30,78,Silver
kyle tilley,2020-08-02 11:05:00,Road America,imsa,LMP2,1360,-10,32,89,Silver
patrick kelly,2020-08-02 11:05:00,Road America,imsa,LMP2,1655,120,29,87,Bronze
simon trummer,2020-08-02 11:05:00,Road America,imsa,LMP2,1567,0,25,25,Gold
patrick kelly,2020-11-01 13:05:00,Laguna Seca,imsa,LMP2,1655,0,0,87,Bronze
simon trummer,2020-11-01 13:05:00,Laguna Seca,imsa,LMP2,1567,0,0,25,Gold
antonio fuoco,2021-01-24 14:05:00,Daytona,imsa,LMP2,1525,0,37,37,Gold
ben keating,2021-01-24 14:05:00,Daytona,imsa,LMP2,1444,0,13,13,Bronze
cody ware,2021-01-24 14:05:00,Daytona,imsa,LMP2,1221,0,34,34,Silver
dennis andersen,2021-01-24 14:05:00,Daytona,imsa,LMP2,1545,0,13,13,Bronze
devlin defrancesco,2021-01-24 14:05:00,Daytona,imsa,LMP2,1365,0,32,32,Silver
dwight merriman,2021-01-24 14:05:00,Daytona,imsa,LMP2,1259,-86,12,62,Bronze
eric lux,2021-01-24 14:05:00,Daytona,imsa,LMP2,1492,72,16,48,Bronze
ferdinand habsburg-lothringen,2021-01-24 14:05:00,Daytona,imsa,LMP2,1670,0,37,37,Gold
frits van eerd,2021-01-24 14:05:00,Daytona,imsa,LMP2,1523,0,13,13,Bronze
gabriel aubry,2021-01-24 14:05:00,Daytona,imsa,LMP2,1580,0,37,37,Gold
garett grist,2021-01-24 14:05:00,Daytona,imsa,LMP2,1438,0,37,37,Silver
giedo van der garde,2021-01-24 14:05:00,Daytona,imsa,LMP2,1601,0,37,37,Platinum
john farano,2021-01-24 14:05:00,Daytona,imsa,LMP2,1389,-33,13,32,Bronze
mikkel jensen,2021-01-24 14:05:00,Daytona,imsa,LMP2,1677,0,37,37,Silver
paul loup chatin,2021-01-24 14:05:00,Daytona,imsa,LMP2,1648,0,37,37,Gold
rob hodes,2021-01-24 14:05:00,Daytona,imsa,LMP2,1442,0,13,13,Bronze
roberto lacorte,2021-01-24 14:05:00,Daytona,imsa,LMP2,1555,0,13,13,Bronze
salih yoluc,2021-01-24 14:05:00,Daytona,imsa,LMP2,1526,0,15,15,Bronze
steven thomas,2021-01-24 14:05:00,Daytona,imsa,LMP2,1242,0,28,28,Bronze
tristan nunez,2021-01-24 14:05:00,Daytona,imsa,LMP2,1565,0,20,20,Gold
andrea belicchi,2021-01-30 15:40:00,Daytona,imsa,LMP2,1360,0,162,162,Gold
antonio fuoco,2021-01-30 15:40:00,Daytona,imsa,LMP2,1666,141,215,252,Gold
austin dillon,2021-01-30 15:40:00,Daytona,imsa,LMP2,1105,0,195,195,Gold
ben keating,2021-01-30 15:40:00,Daytona,imsa,LMP2,1440,-4,145,158,Bronze
benjamin hanley,2021-01-30 15:40:00,Daytona,imsa,LMP2,1580,-34,13,48,Gold
christopher mies,2021-01-30 15:40:00,Daytona,imsa,LMP2,1607,0,251,251,Platinum
cody ware,2021-01-30 15:40:00,Daytona,imsa,LMP2,1187,-33,207,241,Silver
dennis andersen,2021-01-30 15:40:00,Daytona,imsa,LMP2,1431,-114,55,68,Bronze
devlin defrancesco,2021-01-30 15:40:00,Daytona,imsa,LMP2,1615,250,207,239,Silver
dwight merriman,2021-01-30 15:40:00,Daytona,imsa,LMP2,1148,-111,150,212,Bronze
eric lux,2021-01-30 15:40:00,Daytona,imsa,LMP2,1416,-76,164,212,Bronze
fabian schiller,2021-01-30 15:40:00,Daytona,imsa,LMP2,1545,0,161,161,Silver
frits van eerd,2021-01-30 15:40:00,Daytona,imsa,LMP2,1439,-84,56,69,Bronze
gabriel aubry,2021-01-30 15:40:00,Daytona,imsa,LMP2,1775,195,285,322,Gold
giedo van der garde,2021-01-30 15:40:00,Daytona,imsa,LMP2,1562,-39,7,44,Platinum
