series_code,year,event,event_date,car,class,team,chassis,manufacturer,driver_a,license_a,laps_a,best_lap_a,avg_lap_a,q1_pct_a,driver_b,license_b,laps_b,best_lap_b,avg_lap_b,q1_pct_b
elms,2021,Barcelona,2021-04-18 11:00:00,15,LMP3,RLR MSport,Ligier JS P320 - Nissan,Ligier,alex kapadia,Silver,36,103.402,107.837,NULL,malthe jakobsen,Gold,34,103.732,107.608,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,15,LMP3,RLR MSport,Ligier JS P320 - Nissan,Ligier,alex kapadia,Silver,36,103.402,107.837,NULL,michael benham,Bronze,63,103.216,109.724,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,15,LMP3,RLR MSport,Ligier JS P320 - Nissan,Ligier,malthe jakobsen,Gold,34,103.732,107.608,NULL,michael benham,Bronze,63,103.216,109.724,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,dwight merriman,Bronze,29,99.847,107.285,NULL,kyle tilley,Silver,52,99.189,104.58,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,dwight merriman,Bronze,29,99.847,107.285,NULL,ryan dalziel,Gold,58,97.750,102.933,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,kyle tilley,Silver,52,99.189,104.58,NULL,ryan dalziel,Gold,58,97.750,102.933,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,18,LMP3,1 AIM Villorba Corse,Ligier JS P320 - Nissan,Ligier,alessandro bressan,Silver,35,102.704,108.464,NULL,andreas laskaratos,Bronze,63,104.645,109.572,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,18,LMP3,1 AIM Villorba Corse,Ligier JS P320 - Nissan,Ligier,alessandro bressan,Silver,35,102.704,108.464,NULL,damiano fioravanti,Silver,35,104.210,108.169,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,18,LMP3,1 AIM Villorba Corse,Ligier JS P320 - Nissan,Ligier,andreas laskaratos,Bronze,63,104.645,109.572,NULL,damiano fioravanti,Silver,35,104.210,108.169,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,matthew bell,Gold,30,104.634,109.2,NULL,nicolas maulini,Silver,69,102.925,108.614,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,matthew bell,Gold,30,104.634,109.2,NULL,niklas kruetten,Silver,34,104.018,108.258,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,nicolas maulini,Silver,69,102.925,108.614,NULL,niklas kruetten,Silver,34,104.018,108.258,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,edouard cauhaupe,Silver,31,103.212,107.986,NULL,robert wheldon,Bronze,63,102.419,123.422,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,edouard cauhaupe,Silver,31,103.212,107.986,NULL,wayne boyd,Gold,31,103.318,107.269,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,robert wheldon,Bronze,63,102.419,123.422,NULL,wayne boyd,Gold,31,103.318,107.269,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,20,LMP3,Team Virage,Ligier JS P320 - Nissan,Ligier,charles crews,Bronze,31,104.911,109.225,NULL,garett grist,Gold,74,102.929,107.19,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,20,LMP3,Team Virage,Ligier JS P320 - Nissan,Ligier,charles crews,Bronze,31,104.911,109.225,NULL,rob hodes,Bronze,27,105.082,115.419,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,20,LMP3,Team Virage,Ligier JS P320 - Nissan,Ligier,garett grist,Gold,74,102.929,107.19,NULL,rob hodes,Bronze,27,105.082,115.419,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,22,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,jonathan aberdein,Gold,27,97.470,103.563,NULL,philip hanson,Gold,57,95.964,102.774,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,22,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,jonathan aberdein,Gold,27,97.470,103.563,NULL,tom gamble,Gold,57,97.039,102.679,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,22,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,philip hanson,Gold,57,95.964,102.774,NULL,tom gamble,Gold,57,97.039,102.679,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,24,LMP2,Algarve Pro Racing,Oreca 07 - Gibson,ORECA,diego menchaca,Silver,52,97.363,104.709,NULL,ferdinand habsburg,Gold,35,98.173,103.279,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,24,LMP2,Algarve Pro Racing,Oreca 07 - Gibson,ORECA,diego menchaca,Silver,52,97.363,104.709,NULL,richard bradley,Gold,52,98.613,104.216,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,24,LMP2,Algarve Pro Racing,Oreca 07 - Gibson,ORECA,ferdinand habsburg,Gold,35,98.173,103.279,NULL,richard bradley,Gold,52,98.613,104.216,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,25,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,john falb,Bronze,27,97.148,105.587,NULL,pietro fittipaldi,Platinum,55,98.228,102.871,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,25,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,john falb,Bronze,27,97.148,105.587,NULL,rui andrade,Silver,58,97.379,103.078,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,25,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,pietro fittipaldi,Platinum,55,98.228,102.871,NULL,rui andrade,Silver,58,97.379,103.078,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,26,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,franco colapinto,Silver,57,96.689,102.391,NULL,nick de vries,Platinum,56,97.100,102.593,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,26,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,franco colapinto,Silver,57,96.689,102.391,NULL,roman rusinov,Gold,28,95.797,104.645,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,26,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,nick de vries,Platinum,56,97.100,102.593,NULL,roman rusinov,Gold,28,95.797,104.645,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,28,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,patrick pilet,Platinum,29,97.461,102.018,NULL,paul lafargue,Silver,53,97.112,106.195,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,28,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,patrick pilet,Platinum,29,97.461,102.018,NULL,paul loup chatin,Gold,58,96.749,102.037,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,28,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,paul lafargue,Silver,53,97.112,106.195,NULL,paul loup chatin,Gold,58,96.749,102.037,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,29,LMP2,Ultimate,Oreca 07 - Gibson,ORECA,francois heriau,Bronze,30,97.863,105.309,NULL,jean-baptiste lahaye,Silver,58,97.935,102.387,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,29,LMP2,Ultimate,Oreca 07 - Gibson,ORECA,francois heriau,Bronze,30,97.863,105.309,NULL,matthieu lahaye,Silver,52,97.697,102.65,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,29,LMP2,Ultimate,Oreca 07 - Gibson,ORECA,jean-baptiste lahaye,Silver,58,97.935,102.387,NULL,matthieu lahaye,Silver,52,97.697,102.65,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,3,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,andrew bentley,Bronze,36,104.584,109.886,NULL,duncan tappy,Silver,62,103.363,108.557,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,3,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,andrew bentley,Bronze,36,104.584,109.886,NULL,james mcguire,Bronze,33,108.899,114.189,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,3,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,duncan tappy,Silver,62,103.363,108.557,NULL,james mcguire,Bronze,33,108.899,114.189,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,30,LMP2,Duqueine Team,Oreca 07 - Gibson,ORECA,memo rojas,Silver,29,97.012,104.658,NULL,rene binder,Gold,57,97.696,102.976,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,30,LMP2,Duqueine Team,Oreca 07 - Gibson,ORECA,memo rojas,Silver,29,97.012,104.658,NULL,tristan gommendy,Platinum,54,97.836,102.782,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,30,LMP2,Duqueine Team,Oreca 07 - Gibson,ORECA,rene binder,Gold,57,97.696,102.976,NULL,tristan gommendy,Platinum,54,97.836,102.782,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,32,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,job van uitert,Gold,27,97.339,101.598,NULL,manuel maldonado,Silver,58,97.667,103.092,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,32,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,job van uitert,Gold,27,97.339,101.598,NULL,nicolas jamin,Gold,54,96.431,105.906,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,32,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,manuel maldonado,Silver,58,97.667,103.092,NULL,nicolas jamin,Gold,54,96.431,105.906,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,34,LMP2,Racing Team Turkey,Oreca 07 - Gibson,ORECA,charlie eastwood,Gold,26,97.803,103.076,NULL,harry tincknell,Platinum,49,97.387,150.85,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,34,LMP2,Racing Team Turkey,Oreca 07 - Gibson,ORECA,charlie eastwood,Gold,26,97.803,103.076,NULL,salih yoluc,Silver,41,97.608,108.102,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,34,LMP2,Racing Team Turkey,Oreca 07 - Gibson,ORECA,harry tincknell,Platinum,49,97.387,150.85,NULL,salih yoluc,Silver,41,97.608,108.102,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,35,LMP2,BHK Motorsport,Oreca 07 - Gibson,ORECA,francesco dracone,Silver,43,97.925,106.353,NULL,markus pommer,Silver,45,98.537,104.168,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,35,LMP2,BHK Motorsport,Oreca 07 - Gibson,ORECA,francesco dracone,Silver,43,97.925,106.353,NULL,sergio campana,Gold,50,98.008,103.324,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,35,LMP2,BHK Motorsport,Oreca 07 - Gibson,ORECA,markus pommer,Silver,45,98.537,104.168,NULL,sergio campana,Gold,50,98.008,103.324,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,37,LMP2,COOL Racing,Oreca 07 - Gibson,ORECA,alexandre coigny,Bronze,41,100.079,106.826,NULL,antonin borga,Gold,57,96.622,103.343,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,37,LMP2,COOL Racing,Oreca 07 - Gibson,ORECA,alexandre coigny,Bronze,41,100.079,106.826,NULL,nicolas lapierre,Platinum,41,97.450,102.25,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,37,LMP2,COOL Racing,Oreca 07 - Gibson,ORECA,antonin borga,Gold,57,96.622,103.343,NULL,nicolas lapierre,Platinum,41,97.450,102.25,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,39,LMP2,Graff,Oreca 07 - Gibson,ORECA,arnold robin,Bronze,49,97.914,106.516,NULL,maxime robin,Silver,30,99.845,105.522,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,39,LMP2,Graff,Oreca 07 - Gibson,ORECA,arnold robin,Bronze,49,97.914,106.516,NULL,vincent capillaire,Silver,57,99.793,106.663,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,39,LMP2,Graff,Oreca 07 - Gibson,ORECA,maxime robin,Silver,30,99.845,105.522,NULL,vincent capillaire,Silver,57,99.793,106.663,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,4,LMP3,DKR Engineering,Duqueine M30 - D08 - Nissan,Duqueine,alain berg,Bronze,61,106.476,111.597,NULL,laurents horr,Gold,72,101.441,106.967,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,41,LMP2,Team WRT,Oreca 07 - Gibson,ORECA,louis deletraz,Gold,58,95.805,102.239,NULL,robert kubica,Platinum,27,97.702,102.653,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,41,LMP2,Team WRT,Oreca 07 - Gibson,ORECA,louis deletraz,Gold,58,95.805,102.239,NULL,yifei ye,Gold,56,96.555,102.071,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,41,LMP2,Team WRT,Oreca 07 - Gibson,ORECA,robert kubica,Platinum,27,97.702,102.653,NULL,yifei ye,Gold,56,96.555,102.071,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,5,LMP3,MV2S Racing,Ligier JS P320 - Nissan,Ligier,adrien chila,Bronze,37,104.844,110.628,NULL,christophe cresp,Bronze,28,106.097,114.25,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,5,LMP3,MV2S Racing,Ligier JS P320 - Nissan,Ligier,adrien chila,Bronze,37,104.844,110.628,NULL,fabien lavergne,Silver,57,103.442,114.609,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,5,LMP3,MV2S Racing,Ligier JS P320 - Nissan,Ligier,christophe cresp,Bronze,28,106.097,114.25,NULL,fabien lavergne,Silver,57,103.442,114.609,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,6,LMP3,Nielsen Racing,Ligier JS P320 - Nissan,Ligier,austin mccusker,Silver,35,104.726,108.92,NULL,max koebolt,Silver,34,102.905,107.52,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,6,LMP3,Nielsen Racing,Ligier JS P320 - Nissan,Ligier,austin mccusker,Silver,35,104.726,108.92,NULL,nicholas adcock,Bronze,64,104.923,110.241,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,6,LMP3,Nielsen Racing,Ligier JS P320 - Nissan,Ligier,max koebolt,Silver,34,102.905,107.52,NULL,nicholas adcock,Bronze,64,104.923,110.241,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,65,LMP2,Panis Racing,Oreca 07 - Gibson,ORECA,gabriel aubry,Gold,27,98.252,102.251,NULL,julien canal,Silver,59,96.250,103.162,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,65,LMP2,Panis Racing,Oreca 07 - Gibson,ORECA,gabriel aubry,Gold,27,98.252,102.251,NULL,william stevens,Platinum,55,96.914,101.678,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,65,LMP2,Panis Racing,Oreca 07 - Gibson,ORECA,julien canal,Silver,59,96.250,103.162,NULL,william stevens,Platinum,55,96.914,101.678,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,7,LMP3,Nielsen Racing,Ligier JS P320 - Nissan,Ligier,anthony wells,Bronze,61,104.728,112.879,NULL,colin noble,Gold,71,102.900,107.333,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,8,LMP3,Graff,Ligier JS P320 - Nissan,Ligier,david droux,Gold,54,103.855,119.014,NULL,eric trouillet,Bronze,37,104.837,110.963,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,8,LMP3,Graff,Ligier JS P320 - Nissan,Ligier,david droux,Gold,54,103.855,119.014,NULL,"sébastien page",Bronze,36,105.708,110.677,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,8,LMP3,Graff,Ligier JS P320 - Nissan,Ligier,eric trouillet,Bronze,37,104.837,110.963,NULL,"sébastien page",Bronze,36,105.708,110.677,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,9,LMP3,Graff,Ligier JS P320 - Nissan,Ligier,matthias kaiser,Silver,46,104.422,109.323,NULL,rory penttinen,Bronze,73,103.431,129.55,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,11,LMP3,Eurointernational,Ligier JS P320 - Nissan,Ligier,andrea dromedari,Bronze,40,89.013,95.832,NULL,cem bolukbasi,Silver,70,87.774,105.946,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,11,LMP3,Eurointernational,Ligier JS P320 - Nissan,Ligier,andrea dromedari,Bronze,40,89.013,95.832,NULL,joey alders,Gold,33,94.024,99.529,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,11,LMP3,Eurointernational,Ligier JS P320 - Nissan,Ligier,cem bolukbasi,Silver,70,87.774,105.946,NULL,joey alders,Gold,33,94.024,99.529,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,12,LMP3,Racing Experience,Duqueine M30 - D08 - Nissan,Duqueine,david hauser,Silver,20,88.289,100.201,NULL,tom cloet,Bronze,73,88.950,94.497,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,martin hippe,Bronze,62,88.640,107.58,NULL,ugo de wilde,Gold,38,94.133,100.173,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,martin hippe,Bronze,62,88.640,107.58,NULL,ulysse de pauw,Gold,42,87.267,94.693,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,ugo de wilde,Gold,38,94.133,100.173,NULL,ulysse de pauw,Gold,42,87.267,94.693,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,gustas grinbergas,Silver,35,94.407,100.234,NULL,mateusz kaprzyk,Silver,24,89.093,134.721,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,gustas grinbergas,Silver,35,94.407,100.234,NULL,mattia pasini,Bronze,83,87.745,93.089,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,mateusz kaprzyk,Silver,24,89.093,134.721,NULL,mattia pasini,Bronze,83,87.745,93.089,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,dwight merriman,Bronze,34,85.814,94.469,NULL,kyle tilley,Silver,49,87.194,115.987,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,dwight merriman,Bronze,34,85.814,94.469,NULL,ryan dalziel,Gold,63,84.061,88.693,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,kyle tilley,Silver,49,87.194,115.987,NULL,ryan dalziel,Gold,63,84.061,88.693,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,matthew bell,Gold,33,94.556,99.417,NULL,nicolas maulini,Silver,82,87.396,92.883,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,matthew bell,Gold,33,94.556,99.417,NULL,niklas kruetten,Silver,28,88.538,129.88,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,nicolas maulini,Silver,82,87.396,92.883,NULL,niklas kruetten,Silver,28,88.538,129.88,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,edouard cauhaupe,Silver,24,89.104,134.287,NULL,robert wheldon,Bronze,82,87.452,92.732,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,edouard cauhaupe,Silver,24,89.104,134.287,NULL,wayne boyd,Gold,36,93.803,101.592,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,robert wheldon,Bronze,82,87.452,92.732,NULL,wayne boyd,Gold,36,93.803,101.592,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,21,LMP2,DragonSpeed USA,Oreca 07 - Gibson,ORECA,benjamin hanley,Gold,52,86.670,112.954,NULL,gustavo menezes,Platinum,46,83.752,92.915,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,21,LMP2,DragonSpeed USA,Oreca 07 - Gibson,ORECA,benjamin hanley,Gold,52,86.670,112.954,NULL,henrik hedman,Bronze,48,86.274,91.466,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,21,LMP2,DragonSpeed USA,Oreca 07 - Gibson,ORECA,gustavo menezes,Platinum,46,83.752,92.915,NULL,henrik hedman,Bronze,48,86.274,91.466,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,22,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,jonathan aberdein,Gold,33,83.293,87.705,NULL,philip hanson,Gold,65,82.390,89.37,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,22,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,jonathan aberdein,Gold,33,83.293,87.705,NULL,tom gamble,Gold,50,85.780,115.77,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,22,LMP2,United Autosports,Oreca 07 - Gibson,ORECA,philip hanson,Gold,65,82.390,89.37,NULL,tom gamble,Gold,50,85.780,115.77,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,24,LMP2,Algarve Pro Racing,Oreca 07 - Gibson,ORECA,diego menchaca,Silver,65,83.710,90.075,NULL,ferdinand habsburg,Gold,50,86.683,113.772,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,24,LMP2,Algarve Pro Racing,Oreca 07 - Gibson,ORECA,diego menchaca,Silver,65,83.710,90.075,NULL,richard bradley,Gold,33,84.731,89.359,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,24,LMP2,Algarve Pro Racing,Oreca 07 - Gibson,ORECA,ferdinand habsburg,Gold,50,86.683,113.772,NULL,richard bradley,Gold,33,84.731,89.359,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,25,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,john falb,Bronze,31,83.026,93.532,NULL,roberto merhi,Platinum,52,85.736,112.597,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,25,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,john falb,Bronze,31,83.026,93.532,NULL,rui andrade,Silver,66,84.092,87.688,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,25,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,roberto merhi,Platinum,52,85.736,112.597,NULL,rui andrade,Silver,66,84.092,87.688,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,26,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,franco colapinto,Silver,49,87.094,114.468,NULL,nick de vries,Platinum,67,83.032,86.953,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,26,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,franco colapinto,Silver,49,87.094,114.468,NULL,roman rusinov,Gold,33,83.064,92.015,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,26,LMP2,G-Drive Racing,Aurus 01 - Gibson,Aurus,nick de vries,Platinum,67,83.032,86.953,NULL,roman rusinov,Gold,33,83.064,92.015,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,28,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,patrick pilet,Platinum,45,86.945,105.839,NULL,paul lafargue,Silver,66,83.337,89.869,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,28,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,patrick pilet,Platinum,45,86.945,105.839,NULL,paul loup chatin,Gold,37,83.576,102.231,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,28,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,paul lafargue,Silver,66,83.337,89.869,NULL,paul loup chatin,Gold,37,83.576,102.231,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,29,LMP2,Ultimate,Oreca 07 - Gibson,ORECA,francois heriau,Bronze,32,83.927,92.867,NULL,jean-baptiste lahaye,Silver,66,83.324,87.924,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,29,LMP2,Ultimate,Oreca 07 - Gibson,ORECA,francois heriau,Bronze,32,83.927,92.867,NULL,matthieu lahaye,Silver,50,87.147,114.033,NULL
elms,2021,Spielberg,2021-05-16 11:00:00,29,LMP2,Ultimate,Oreca 07 - Gibson,ORECA,jean-baptiste lahaye,Silver,66,83.324,87.924,NULL,matthieu lahaye,Silver,50,87.147,114.033,NULL
