series_code,year,event,event_date,car,class,team,chassis,manufacturer,driver_a,license_a,laps_a,best_lap_a,avg_lap_a,q1_pct_a,driver_b,license_b,laps_b,best_lap_b,avg_lap_b,q1_pct_b
elms,2021,Barcelona,2021-04-18 11:00:00,11,LMP3,Eurointernational,Ligier JS P320 - Nissan,Ligier,andrea dromedari,Bronze,62,106.852,112.253,NULL,mateusz kaprzyk,Silver,69,102.440,109.271,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,12,LMP3,Racing Experience,Duqueine M30 - D08 - Nissan,Duqueine,david hauser,Silver,37,104.019,155.624,NULL,gary hauser,Silver,36,104.121,108.53,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,12,LMP3,Racing Experience,Duqueine M30 - D08 - Nissan,Duqueine,david hauser,Silver,37,104.019,155.624,NULL,tom cloet,Bronze,42,104.828,113.642,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,12,LMP3,Racing Experience,Duqueine M30 - D08 - Nissan,Duqueine,gary hauser,Silver,36,104.121,108.53,NULL,tom cloet,Bronze,42,104.828,113.642,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,julien falchero,Silver,31,103.641,109.831,NULL,martin hippe,Bronze,68,103.744,108.815,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,julien falchero,Silver,31,103.641,109.831,NULL,ugo de wilde,Gold,34,102.359,108.237,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,martin hippe,Bronze,68,103.744,108.815,NULL,ugo de wilde,Gold,34,102.359,108.237,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,alessandro bracalente,Silver,31,104.303,111.696,NULL,julius adomavicius,Silver,31,104.677,109.279,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,alessandro bracalente,Silver,31,104.303,111.696,NULL,mattia pasini,Bronze,70,103.548,108.515,NULL
elms,2021,Barcelona,2021-04-18 11:00:00,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,julius adomavicius,Silver,31,104.677,109.279,NULL,mattia pasini,Bronze,70,103.548,108.515,NULL
