event_id,series_code,year,event_name,track,track_country,start_date,race_duration_minutes,race_type,avg_temp_f,track_temp_f,had_rain,rain_pct,total_laps,cars,drivers,classes,avg_pace,fastest_lap,fcy_laps,fcy_pct,wet_laps,class_list
imsa-2023-watkins-glen,imsa,2023,Watkins Glen International,Watkins Glen,United States,2023-06-23,364,Ultra-Endurance,69.0,75.7,false,0.0,9606,56,150,5,104.07,93.028,1145,11.9,9606,"GTD, GTDPRO, GTP, LMP2, LMP3"
imsa-2023-laguna-seca,imsa,2023,Weathertech Raceway Laguna Seca,Laguna Seca,United States,2023-05-12,162,Sprint,65.2,97.3,false,0.0,3469,38,73,4,83.032,76.421,879,25.3,0,"GTD, GTDPRO, GTP, LMP2"
imsa-2023-laguna-seca,imsa,2023,Weathertech Raceway Laguna Seca,Laguna Seca,United States,2023-05-12,162,Sprint,65.2,97.3,false,0.0,3469,38,73,4,83.032,76.421,879,25.3,0,"GTD, GTDPRO, GTP, LMP2"
imsa-2023-long-beach,imsa,2023,Long Beach Street Circuit,Long Beach,United States,2023-04-14,103,Sprint,62.0,91.4,false,0.0,1844,25,50,3,77.673,71.503,124,6.7,1844,"GTD, GTDPRO, GTP"
imsa-2023-sebring,imsa,2023,Sebring Prologue,Sebring,United States,2023-02-15,723,Ultra-Endurance,76.0,68.7,false,0.0,15196,53,159,5,119.748,108.311,3107,20.4,0,"GTD, GTDPRO, GTP, LMP2, LMP3"
imsa-2023-sebring,imsa,2023,Sebring International Raceway,Sebring,United States,2023-02-15,723,Ultra-Endurance,76.0,68.7,false,0.0,15196,53,159,5,119.748,108.311,3107,20.4,0,"GTD, GTDPRO, GTP, LMP2, LMP3"
imsa-2023-daytona,imsa,2023,Daytona International Speedway,Daytona,United States,2023-01-20,1440,Ultra-Endurance,65.7,83.1,false,0.0,39736,61,229,5,105.23,95.616,4468,11.2,0,"GTD, GTDPRO, GTP, LMP2, LMP3"
imsa-2022-road-atlanta,imsa,2022,Road Atlanta,Road Atlanta,United States,2022-09-29,601,Ultra-Endurance,67.0,67.6,false,0.0,15303,43,123,5,78.488,69.664,2468,16.1,0,"DPi, GTD, GTDPRO, LMP2, LMP3"
imsa-2022-vir,imsa,2022,VIRginia International Raceway,VIR,United States,2022-08-26,162,Sprint,87.1,97.5,false,0.0,1462,18,35,2,107.254,105.455,71,4.9,0,"GTD, GTDPRO"
imsa-2022-road-america,imsa,2022,Road America,Road America,United States,2022-08-05,161,Sprint,77.1,90.5,false,0.0,2258,37,74,5,123.847,111.636,622,27.5,0,"DPi, GTD, GTDPRO, LMP2, LMP3"
imsa-2022-lime-rock,imsa,2022,Lime Rock Park,Lime Rock,United States,2022-07-15,161,Sprint,80.5,115.3,false,0.0,2343,15,29,2,53.095,51.733,104,4.4,0,"GTD, GTDPRO"
imsa-2022-mosport,imsa,2022,Canadian Tire Motorsport Park,Mosport,Canada,2022-07-01,161,Sprint,73.3,75.6,false,0.0,2604,24,47,4,73.956,65.987,308,11.8,0,"DPi, GTD, GTDPRO, LMP3"
imsa-2022-watkins-glen,imsa,2022,Watkins Glen International,Watkins Glen,United States,2022-06-24,372,Ultra-Endurance,77.2,95.5,false,0.0,6698,48,129,5,102.834,90.790,1143,17.1,0,"DPi, GTD, GTDPRO, LMP2, LMP3"
imsa-2022-belle-isle,imsa,2022,Belle Isle Street Course,Belle Isle,United States,2022-06-03,102,Sprint,72.6,99.8,false,0.0,1050,16,31,2,86.191,78.877,0,0.0,0,"DPi, GTD"
imsa-2022-mid-ohio,imsa,2022,Mid-Ohio Sports Car Course,Mid-Ohio,United States,2022-05-13,162,Sprint,75.9,103.1,false,0.0,3524,31,62,4,79.283,72.264,210,6.0,0,"DPi, GTD, LMP2, LMP3"
imsa-2022-laguna-seca,imsa,2022,Weathertech Raceway Laguna Seca,Laguna Seca,United States,2022-04-29,162,Sprint,59.9,87.3,false,0.0,3258,32,62,4,83.208,75.546,235,7.2,0,"DPi, GTD, GTDPRO, LMP2"
imsa-2022-long-beach,imsa,2022,Long Beach Street Circuit,Long Beach,United States,2022-04-08,102,Sprint,83.4,119.4,false,0.0,1685,26,51,3,78.048,70.317,255,15.1,0,"DPi, GTD, GTDPRO"
