event_id,series_code,year,event_number,event_name,track,track_id,track_official_name,track_country,track_lat,track_lon,start_date,end_date,session_count,race_count,race_duration_minutes,race_type,avg_air_temp_f,avg_track_temp_f,avg_humidity_pct,had_rain,dry,is_race
imsa-2023-watkins-glen,imsa,2023,12,Watkins Glen International,Watkins Glen,watkins-glen,Watkins Glen International,United States,42.3369,-76.9272,2023-06-23,2023-06-25,5,9606,364,Ultra-Endurance,69.0,75.7,85.2,false,true,true
imsa-2023-laguna-seca,imsa,2023,20,Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2023-05-12,2023-05-14,5,3469,162,Sprint,65.2,97.3,71.8,false,true,true
imsa-2023-laguna-seca,imsa,2023,10,Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2023-05-12,2023-05-14,5,3469,162,Sprint,65.2,97.3,71.8,false,true,true
imsa-2023-long-beach,imsa,2023,08,Long Beach Street Circuit,Long Beach,long-beach,Acura Grand Prix of Long Beach,United States,33.7598,-118.189,2023-04-14,2023-04-15,4,1844,103,Sprint,62.0,91.4,63.6,false,true,true
imsa-2023-sebring,imsa,2023,07,Sebring International Raceway,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2023-02-15,2023-03-18,12,15196,723,Ultra-Endurance,76.0,68.7,60.3,false,true,true
imsa-2023-sebring,imsa,2023,06,Sebring Prologue,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2023-02-15,2023-03-18,12,15196,723,Ultra-Endurance,76.0,68.7,60.3,false,true,true
imsa-2023-daytona,imsa,2023,02,Daytona International Speedway,Daytona,daytona,Daytona International Speedway,United States,29.1851,-81.0707,2023-01-20,2023-01-28,13,39736,1440,Ultra-Endurance,65.7,83.1,60.8,false,true,true
imsa-2022-road-atlanta,imsa,2022,19,Road Atlanta,Road Atlanta,road-atlanta,Michelin Raceway Road Atlanta,United States,34.1413,-83.8173,2022-09-29,2022-10-01,6,15303,601,Ultra-Endurance,67.0,67.6,54.3,false,true,true
imsa-2022-vir,imsa,2022,17,VIRginia International Raceway,VIR,virginia-international-raceway,Virginia International Raceway,United States,36.5618,-79.2046,2022-08-26,2022-08-28,5,1462,162,Sprint,87.1,97.5,63.1,false,true,true
imsa-2022-road-america,imsa,2022,16,Road America,Road America,road-america,Road America,United States,43.7918,-87.9897,2022-08-05,2022-08-07,4,2258,161,Sprint,77.1,90.5,79.4,false,true,true
