POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,9,14,2:06.279,+1.440,+0.134,199.7,48,Prema Racing,LMP2,,,Oreca 07 - Gibson,G,65239,6180,3,5626,256,119,,,,,Juan Manuel,CORREA,S,,UNI,,,,,,,Ferdinand,HABSBURG,G,,AUT,,10000,17,,,Min 01:00:00,Louis,DELETRAZ,G,,CHE,,9621,219,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
12,21,16,2:06.368,+1.529,+0.089,199.5,44,Mühlner Motorsport,LMP2,,,Oreca 07 - Gibson,G,65248,6015,3,5626,256,23,,,,,Matthias,KAISER,S,,CHE,,9546,219,,,Min 01:00:00,Thomas,LAURENT,G,,FRA,,1824,70,,,Min 01:00:00,Ugo,DE WILDE,G,,BEL,,9811,23,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
13,43,42,2:06.568,+1.729,+0.200,199.2,45,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,65261,402,3,5626,256,181,,,,,David,HEINEMEIER-HANSSON,S,,DNK,,1182,57,,,Min 01:00:00,Pietro,FITTIPALDI,G,,BRA,,9171,32,,,Min 01:00:00,Fabio,SCHERER,G,,CHE,,9870,219,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
14,24,23,2:07.248,+2.409,+0.680,198.1,40,Nielsen Racing,LMP2,P/A,,Oreca 07 - Gibson,G,65250,5670,3,5626,256,188,,,,,Rodrigo,SALES,B,,USA,,9754,66,,,Min 01:00:00,Matthew,BELL,S,,GBR,,204,188,,,Min 01:00:00,Ben,HANLEY,G,,GBR,,1972,188,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
15,88,28,2:08.436,+3.597,+1.188,196.3,36,AF Corse,LMP2,P/A,,Oreca 07 - Gibson,G,65272,4230,3,5626,256,119,,,,,François,PERRODO,B,,FRA,,260,70,,,Min 01:00:00,Nicklas,NIELSEN,G,,DNK,,9432,57,,,Min 01:00:00,Alessio,ROVERA,G,,ITA,,9837,119,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
16,35,13,2:09.002,+4.163,+0.566,195.5,20,BHK Motorsport,LMP2,,,Oreca 07 - Gibson,G,65258,5784,3,5626,256,188,,,,,Francesco,DRACONE,S,,ITA,,8884,119,,,Min 01:00:00,Sergio,CAMPANA,G,,ITA,,9420,119,,,Min 01:00:00,Markus,POMMER,S,,DEU,,10105,5,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
17,17,25,2:12.384,+7.545,+3.382,190.5,37,COOL Racing,LMP3,,,Ligier JS P320 - Nissan,M,65245,5790,6,6102,,219,,,,,Maurice,SMITH,B,,USA,,9399,66,,,Min 00:50:00,Michael,BENHAM,B,,GBR,,8796,188,,,Min 00:50:00,Malthe,JAKOBSEN,S,,DNK,,9611,57,,,None,,,,,,,,,,,,,,,,,,,
18,10,34,2:12.858,+8.019,+0.474,189.8,46,Eurointernational,LMP3,,,Ligier JS P320 - Nissan,M,65240,512,6,5981,258,119,,,,,Xavier,LLOVERAS,S,,ESP,,10438,64,,,None,Miguel,CRISTÓVÃO,B,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,36,2:13.001,+8.162,+0.143,189.6,44,DKR Engineering,LMP3,,,Duqueine M30 - D08 - Nissan,M,65235,49,6,5979,4408,138,,,,,Sebastian,ALVAREZ,S,,MEX,,10425,151,,,None,Alexander,BUKHANTSOV,B,,ARE,,10453,61,,,Min 01:45:00,Tom,VAN ROMPUY,S,,BEL,,10426,23,,,None,,,,,,,,,,,,,,,,,,,
20,2,32,2:13.150,+8.311,+0.149,189.4,45,United Autosports,LMP3,,,Ligier JS P320 - Nissan,M,65233,532,6,6102,,188,,,,,Joshua,CAYGILL,B,,GBR,,10424,188,,,Min 01:45:00,Bailey,VOISIN,S,,GBR,,10510,188,,,None,Finn,GEHRSITZ,S,,DEU,,10113,5,,,None,,,,,,,,,,,,,,,,,,,
