POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
15,74,Classified,154,6:11:36.447,8 Laps,4 Laps,144,1:40.617,195.8,Riley Motorsports,LMP3,,,Ligier JS P320,M,1677,35,36,96,7650,3,,12906,,,Gar,Robinson,Silver,,USA,,861,1,Silver,,,Felipe,Fraga,Gold,,BRA,,1750,2,Gold,,,Kay,van Berlo,Silver,,NLD,,1759,3,Silver,,,,,,,,,,,,,,,,,,,,,
16,54,Classified,153,6:10:35.020,9 Laps,1 Lap,150,1:40.492,196.0,CORE Autosport,LMP3,,,Ligier JS P320,M,1674,174,36,96,7650,3,,12903,,,Jon,Bennett,Bronze,,USA,,60,1,Bronze,,,Colin,Braun,Gold,,USA,,61,2,Gold,,,George,Kurtz,Bronze,,USA,,1612,3,Bronze,,,,,,,,,,,,,,,,,,,,,
17,38,Classified,153,6:10:43.436,9 Laps,+1.648,145,1:41.425,194.2,Performance Tech Motorsports,LMP3,,,Ligier JS P320,M,1678,289,36,96,7650,3,,12907,,,Dan,Goldburg,Bronze,,USA,,1915,1,Bronze,,,Rasmus,Lindh,Silver,,SWE,,2101,2,Silver,,,Cameron,Shields,Silver,,AUS,,2696,4,Silver,,,,,,,,,,,,,,,,,,,,,
18,40,Classified,151,6:10:54.556,11 Laps,2 Laps,144,1:41.544,194.0,FastMD Racing,LMP3,,,Duqueine D08,M,1729,267,36,105,7665,3,,12911,,,Nico,Varrone,Silver,,ESP,,2932,1,Silver,,,Max,Hanratty,Silver,,USA,,980,4,Silver,,,James,Vance,Silver,,CAN,,486,3,Silver,,,,,,,,,,,,,,,,,,,,,
19,27,Classified,148,6:12:08.698,14 Laps,+3.117,46,1:47.116,183.9,Heart of Racing Team,GTD,,,Aston Martin Vantage GT3,M,1510,294,4,18,73,3,,12928,,,Roman,De Angelis,Silver,,CAN,,1379,1,Silver,,,Maxime,Martin,Platinum,,BEL,,360,3,Platinum,,,Ian,James,Silver,,USA,,453,2,Silver,,,,,,,,,,,,,,,,,,,,,
20,70,Classified,147,6:10:22.282,15 Laps,1 Lap,54,1:47.405,183.4,inception racing,GTD,,,McLaren 720S GT3,M,1520,388,4,81,7651,3,,12932,,,Jordan,Pepper,Gold,,ZAF,,2716,4,Gold,,,Ollie,Millroy,Silver,,GBR,,2755,3,Silver,,,Brendan,Iribe,Bronze,,USA,,2622,1,Bronze,,,,,,,,,,,,,,,,,,,,,
21,96,Classified,147,6:10:25.598,15 Laps,+3.316,92,1:47.189,183.8,Turner Motorsport,GTD,,,BMW M4 GT3,M,1553,38,4,111,74,3,,12924,,,Michael,Dinan,Silver,,USA,,2775,3,Silver,,,Robby,Foley,Silver,,USA,,1302,2,Silver,,,Bill,Auberlen,Gold,,USA,,39,1,Gold,,,,,,,,,,,,,,,,,,,,,
22,23,Classified,147,6:10:26.914,15 Laps,+0.646,33,1:46.738,184.5,Heart of Racing Team,GTDPRO,,,Aston Martin Vantage GT3,M,1559,294,41,18,73,3,,12916,,,Ross,Gunn,Gold,,GBR,,1905,1,Gold,,,Alex,Riberas,Gold,,ESP,,2006,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,47,Classified,147,6:10:28.293,15 Laps,+1.379,138,1:46.242,185.4,Cetilar Racing,GTD,,,Ferrari 488 GT3,M,1560,337,4,16,106,3,,12927,,,Roberto,Lacorte,Bronze,,ITA,,2452,1,Bronze,,,Giorgio,Sernagiotto,Silver,,ITA,,2767,2,Silver,,,Antonio,Fuoco,Platinum,,ITA,,2766,3,Platinum,,,,,,,,,,,,,,,,,,,,,
24,62,Classified,147,6:10:43.471,15 Laps,+15.178,140,1:46.947,184.2,Risi Competizione,GTDPRO,,,Ferrari 488 GT3,M,1579,26,41,16,106,3,,12919,,,Daniel,Serra,Platinum,,BRA,,687,1,Platinum,,,Davide,Rigon,Platinum,,ITA,,679,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
