POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,50,5,2:02.955,-,-,205.1,38,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,106981,6293,,6192,3,,,,FERRARI AF CORSE,,Antonio,Fuoco,P,,ITA,,10091,,,00:45:00,None,Miguel,Molina,P,,ESP,,8526,,,00:45:00,None,Nicklas,Nielsen,P,,DEN,,9432,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
2,009,16,2:03.519,+0.564,+0.564,204.1,36,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,106965,6427,,6273,260,,,,ASTON MARTIN,,Alexander,Riberas,G,,ESP,,10376,,,00:45:00,None,Marco,Sorensen,P,,DEN,,7812,,,00:45:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
3,36,6,2:03.523,+0.568,+0.004,204.1,27,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,106979,6360,,6237,21,,,,ALPINE,,Frederic,Makowiecki,P,,FRA,,61,,,00:45:00,None,Jules,Gounon,P,,FRA,,9500,,,00:45:00,None,Victor,Martins,G,,FRA,,11671,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
4,83,4,2:03.650,+0.695,+0.127,203.9,38,AF Corse,HYPERCAR,,,Ferrari 499P,M,106990,16,,6192,3,,,HWC,AF CORSE,,Yifei,Ye,G,,CHN,,10068,,,00:45:00,None,Robert,Kubica,P,,POL,,8438,,,00:45:00,None,Philip,Hanson,G,,GBR,,1946,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
5,35,16,2:03.712,+0.757,+0.062,203.8,35,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,106978,6360,,6237,21,,,,ALPINE,,Antonio,Felix da Costa,P,,POR,FDC,9024,,,00:45:00,None,Charles,Milesi,G,,FRA,,9594,,,00:45:00,None,Ferdinand,Habsburg,G,,AUT,,10000,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
6,20,22,2:04.149,+1.194,+0.437,203.1,32,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,106971,6359,,6276,4354,,,,BMW M TEAM WRT,,Robin,Frijns,P,,NED,,9871,,,00:45:00,None,Rene,Rast,P,,GER,,307,,,00:45:00,None,Sheldon,van der Linde,P,,RSA,,11274,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
7,15,22,2:04.207,+1.252,+0.058,203.0,38,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,106968,6359,,6276,4354,,,,BMW M TEAM WRT,,Kevin,Magnussen,P,,DEN,,10211,,,00:45:00,None,Raffaele,Marciello,P,,SUI,,10402,,,00:45:00,None,Dries,Vanthoor,P,,BEL,,8292,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
8,007,6,2:04.317,+1.362,+0.110,202.8,30,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,106962,6427,,6273,260,,,,ASTON MARTIN,,Harry,Tincknell,P,,GBR,,303,,,00:45:00,None,Thomas,Gamble,G,,GBR,,9549,,,00:45:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
9,94,4,2:04.444,+1.489,+0.127,202.6,35,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,106996,6151,,6112,4014,,,,PEUGEOT TE,,Loic,Duval,P,,FRA,,14,,,00:45:00,None,Malthe,Jakobsen,G,,DEN,,9610,,,00:45:00,None,Theo,Pourchaire,P,,FRA,,11672,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
10,51,5,2:04.445,+1.490,+0.001,202.6,33,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,106982,6293,,6192,3,,,,FERRARI AF CORSE,,Alessandro,Pier Guidi,P,,ITA,PGU,340,,,00:45:00,None,James,Calado,P,,GBR,,300,,,00:45:00,None,Antonio,Giovinazzi,P,,ITA,,1976,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
