POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,28,Classified,10,48:59.472,-,-,7,4:03.292,201.6,MARTINET BY ALMERAS,992,992,,992 GT3 Cup,,,,,,,,,,,,Jean,Glorieux,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47,Classified,10,49:03.873,+4.401,+4.401,7,4:03.190,201.7,HRT PERFORMANCE,992,992,,992 GT3 Cup,,,,,,,,,,,,Axel,Sartingen,,,GEU,,,,,,,Kim André,Hauschild,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,94,Classified,10,49:09.478,+10.006,+5.605,9,4:05.509,199.8,SPEED LOVER,992,992,,992 GT3 Cup,,,,,,,,,,,,John,de Wilde,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,77,Classified,10,49:11.639,+12.167,+2.161,7,4:05.848,199.5,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Bruce,Belloeil,,,FRA,,,,,,,Tugdual,Rabreau,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,Classified,10,49:13.292,+13.820,+1.653,10,4:05.875,199.5,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Jean Philippe,Gambaro,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36,Classified,10,49:13.580,+14.108,+0.288,8,4:05.292,200.0,MANTHEY RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Alexander,Schwarzer,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,100,Classified,10,49:16.687,+17.215,+3.107,8,4:05.901,199.5,PORSCHE LORIENT RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Ludovic,Loeul,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,89,Classified,10,49:22.707,+23.235,+6.020,9,4:06.177,199.3,PARKER RACING,R,R,,991 GT3 R,,,,,,,,,,,,Nick,Jones,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,88,Classified,10,49:22.736,+23.264,+0.029,9,4:05.932,199.5,CLRT,992,992,,992 GT3 Cup,,,,,,,,,,,,Franck,Leherpeur,,,FRA,,,,,,,Olivier,Baharian,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,34,Classified,10,49:29.453,+29.981,+6.717,2,4:07.767,198.0,MANTHEY RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Gabriele,Rindone,,,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,84,Classified,10,49:29.718,+30.246,+0.265,10,4:07.517,198.2,HUBER RACING,992,992,,992 GT3 Cup,,,,,,,,,,,,Kai,Pfister,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
