POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,7,34,3:29.896,-,-,233.7,54,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,62814,380,4169,6054,2,121,,,,,Mike,CONWAY,,,GBR,,215,188,,,,Kamui,KOBAYASHI,,,JPN,,210,121,,,,Jose Maria,LOPEZ,,,ARG,,8418,13,,,,Ryo,HIRAKAWA,,,JPN,,8166,121,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,,,,,,,
2,708,4,3:30.104,+0.208,+0.208,233.5,51,Glickenhaus Racing,HYPERCAR,,,Glickenhaus 007 LMH,M,62846,6064,4169,6045,4418,66,,,,,Olivier,PLA,,,FRA,,38,70,,,,Romain,DUMAS,,,FRA,,1,70,,,,Luis Felipe,DERANI,,,BRA,,524,32,,,,,,,,,,,,,,,,,,,,,,
3,8,32,3:30.490,+0.594,+0.386,233.0,53,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,62815,380,4169,6054,2,121,,,,,Sébastien,BUEMI,,,CHE,,138,219,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,Ryo,HIRAKAWA,,,JPN,,8166,121,,,,Mike,CONWAY,,,GBR,,215,188,,,,Kamui,KOBAYASHI,,,JPN,,210,121,,,,,,,,,,
4,709,36,3:30.822,+0.926,+0.332,232.7,40,Glickenhaus Racing,HYPERCAR,,,Glickenhaus 007 LMH,M,62848,6064,4169,6045,4418,66,,,,,Ryan,BRISCOE,,,USA,,231,66,,,,Richard,WESTBROOK,,,GBR,,182,188,,,,Franck,MAILLEUX,,,FRA,,34,70,,,,,,,,,,,,,,,,,,,,,,
5,22,40,3:32.099,+2.203,+1.277,231.3,48,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,62819,6078,3,5626,256,66,,,,,Philip,HANSON,,,GBR,,1946,188,,,,Filipe,ALBUQUERQUE,,,PRT,,306,184,,,,Will,OWEN,,,USA,,8390,66,,,,,,,,,,,,,,,,,,,,,,
6,38,20,3:32.382,+2.486,+0.283,231.0,45,JOTA,LMP2,,,Oreca 07 - Gibson,G,62827,27,3,5626,256,188,,,,,Roberto,GONZALEZ,,,MEX,,8268,151,,,,Antonio,FELIX DA COSTA,,,PRT,,9024,184,,,,William,STEVENS,,,GBR,,1882,188,,,,,,,,,,,,,,,,,,,,,,
7,36,35,3:32.420,+2.524,+0.038,230.9,43,Alpine ELF Team,HYPERCAR,,,Alpine A480 - Gibson,M,62826,6150,4169,6065,21,70,,,,,André,NEGRÃO,,,BRA,,8480,32,,,,Nicolas,LAPIERRE,,,FRA,,96,70,,,,Matthieu,VAXIVIERE,,,FRA,,7798,70,,,,,,,,,,,,,,,,,,,,,,
8,23,34,3:32.879,+2.983,+0.459,230.4,43,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,62820,6078,3,5626,256,66,,,,,Alexander,LYNN,,,GBR,,8316,188,,,,Oliver,JARVIS,,,GBR,,93,188,,,,Joshua,PIERSON,,,USA,,10331,66,,,,Paul,DI RESTA,,,GBR,,9293,188,,,,,,,,,,,,,,,,
9,41,45,3:32.958,+3.062,+0.079,230.3,51,Realteam by WRT,LMP2,,,Oreca 07 - Gibson,G,62828,6157,3,5626,256,219,,,,,Rui,ANDRADE,,,PRT,,9873,184,,,,Ferdinand,HABSBURG,,,AUT,,10000,17,,,,Norman,NATO,,,FRA,,9032,70,,,,René,RAST,,,DEU,,307,5,,,,Mirko,BORTOLOTTI,,,ITA,,10543,119,,,,,,,,,,
10,48,41,3:33.088,+3.192,+0.130,230.2,42,IDEC Sport,LMP2,,,Oreca 07 - Gibson,G,62858,522,3,5626,256,70,,,,,Paul,LAFARGUE,,,FRA,,1552,70,,,,Paul Loup,CHATIN,,,FRA,,313,70,,,,Patrick,PILET,,,FRA,,68,70,,,,,,,,,,,,,,,,,,,,,,
11,31,2,3:33.154,+3.258,+0.066,230.1,50,WRT,LMP2,,,Oreca 07 - Gibson,G,62822,5518,3,5626,256,23,,,,,Sean,GELAEL,,,IDN,,1968,113,,,,Robin,FRIJNS,,,NLD,,9871,178,,,,René,RAST,,,DEU,,307,5,,,,Mirko,BORTOLOTTI,,,ITA,,10543,119,,,,,,,,,,,,,,,,
