POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,3,0,,,,,2,DBG MOTORSPORT,991-1,991-1,,991 GT3 Cup phase I,,,,,,,,,,,,Jacques,Beaurain,,,FRA,,,,,,,Daniel,Gérarduzzi,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,0,,,,,2,911 IMPACT,R,R,,991 GT3 R,,,,,,,,,,,,Olivier,Rabot,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,0,,,,,2,PORSCHE ZENTRUM 5 SEEN,R,R,,991 GT3 R,,,,,,,,,,,,Jörg,Dreisow,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,0,,,,,2,PORSCHE ZENTRUM 5 SEEN,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Sebastian,Schmitt,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,0,,,,,2,RACING TECHNOLOGY,992,992,,992 GT3 Cup,,,,,,,,,,,,Denis,Papin,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,0,,,,,0,BERTO MOTEURS,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Vincent,Isavard,,,FRA,,,,,,,François,Thevenet,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,0,,,,,2,RACING TECHNOLOGY,992,992,,992 GT3 Cup,,,,,,,,,,,,Jean Yves,Charge,,,FRA,,,,,,,Roger,Didier,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,0,,,,,2,RACING TECHNOLOGY,991-2,991-2,,991 GT3 Cup phase II,,,,,,,,,,,,Jérôme,Miloé,,,FRA,,,,,,,Jean Louis,Miloé,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,0,,,,,2,BERTO MOTEURS,991-1,991-1,,991 GT3 Cup phase I,,,,,,,,,,,,Jean Marc,Lesage,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14,0,,,,,2,IMSA PERFORMANCE,R,R,,991 GT3 R,,,,,,,,,,,,Arnaud,Pierre,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15,0,,,,,2,911 IMPACT,981,981,,981 Cayman Clubsport,,,,,,,,,,,,Romain,Walheer,,,BEL,,,,,,,Marc-Ed,Crassaerts,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16,0,,,,,2,911 IMPACT,R,R,,991 GT3 R,,,,,,,,,,,,Christophe,Calice,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
