POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,7,45,3:31.626,-,-,231.8,50,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,62814,380,4169,6054,2,121,,,,,Mike,CONWAY,,,GBR,,215,188,,,,Kamui,KOBAYASHI,,,JPN,,210,121,,,,Jose Maria,LOPEZ,,,ARG,,8418,13,,,,Ryo,HIRAKAWA,,,JPN,,8166,121,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,,,,,,,
2,708,19,3:31.735,+0.109,+0.109,231.7,26,Glickenhaus Racing,HYPERCAR,,,Glickenhaus 007 LMH,M,62846,6064,4169,6045,4418,66,,,,,Olivier,PLA,,,FRA,,38,70,,,,Romain,DUMAS,,,FRA,,1,70,,,,Luis Felipe,DERANI,,,BRA,,524,32,,,,,,,,,,,,,,,,,,,,,,
3,8,45,3:31.977,+0.351,+0.242,231.4,53,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,62815,380,4169,6054,2,121,,,,,Sébastien,BUEMI,,,CHE,,138,219,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,Ryo,HIRAKAWA,,,JPN,,8166,121,,,,Mike,CONWAY,,,GBR,,215,188,,,,Kamui,KOBAYASHI,,,JPN,,210,121,,,,,,,,,,
4,709,37,3:32.622,+0.996,+0.645,230.7,39,Glickenhaus Racing,HYPERCAR,,,Glickenhaus 007 LMH,M,62848,6064,4169,6045,4418,66,,,,,Ryan,BRISCOE,,,USA,,231,66,,,,Richard,WESTBROOK,,,GBR,,182,188,,,,Franck,MAILLEUX,,,FRA,,34,70,,,,,,,,,,,,,,,,,,,,,,
5,36,34,3:32.793,+1.167,+0.171,230.5,41,Alpine ELF Team,HYPERCAR,,,Alpine A480 - Gibson,M,62826,6150,4169,6065,21,70,,,,,André,NEGRÃO,,,BRA,,8480,32,,,,Nicolas,LAPIERRE,,,FRA,,96,70,,,,Matthieu,VAXIVIERE,,,FRA,,7798,70,,,,,,,,,,,,,,,,,,,,,,
6,38,27,3:33.964,+2.338,+1.171,229.3,49,JOTA,LMP2,,,Oreca 07 - Gibson,G,62827,27,3,5626,256,188,,,,,Roberto,GONZALEZ,,,MEX,,8268,151,,,,Antonio,FELIX DA COSTA,,,PRT,,9024,184,,,,William,STEVENS,,,GBR,,1882,188,,,,,,,,,,,,,,,,,,,,,,
7,22,17,3:34.111,+2.485,+0.147,229.1,41,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,62819,6078,3,5626,256,66,,,,,Philip,HANSON,,,GBR,,1946,188,,,,Filipe,ALBUQUERQUE,,,PRT,,306,184,,,,Will,OWEN,,,USA,,8390,66,,,,,,,,,,,,,,,,,,,,,,
8,13,34,3:34.132,+2.506,+0.021,229.1,35,TDS Racing x Vaillante,LMP2,P/A,,Oreca 07 - Gibson,G,62850,6198,3,5626,256,70,,,,,Philippe,CIMADOMO,,,FRA,,8818,70,,,,Mathias,BECHE,,,FRA,,151,70,,,,Tijmen,VAN DER HELM,,,NLD,,10228,178,,,,,,,,,,,,,,,,,,,,,,
9,34,42,3:34.252,+2.626,+0.120,229.0,48,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,62824,402,3,5626,256,181,,,,,Jakub,SMIECHOWSKI,,,POL,,1670,181,,,,Alex,BRUNDLE,,,GBR,,143,188,,,,Esteban,GUTIERREZ,,,MEX,,10334,151,,,,,,,,,,,,,,,,,,,,,,
10,5,35,3:34.567,+2.941,+0.315,228.6,36,Team Penske,LMP2,,,Oreca 07 - Gibson,G,62813,6152,3,5626,256,66,,,,,Dane,CAMERON,,,USA,,10328,66,,,,Emmanuel,COLLARD,,,FRA,,24,70,,,,Felipe,NASR,,,BRA,,9287,32,,,,Mathieu,JAMINET,,,FRA,,9415,70,,,,Harrison,NEWEY,,,GBR,,9062,188,,,,,,,,,,
11,48,22,3:34.576,+2.950,+0.009,228.6,40,IDEC Sport,LMP2,,,Oreca 07 - Gibson,G,62858,522,3,5626,256,70,,,,,Paul,LAFARGUE,,,FRA,,1552,70,,,,Paul Loup,CHATIN,,,FRA,,313,70,,,,Patrick,PILET,,,FRA,,68,70,,,,,,,,,,,,,,,,,,,,,,
