POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,48,VDS Panis Racing,Oliver GRAY,Charles MILESI,Esteban MASSON,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:00'50.637,,,37,2'02.517,205.8,,
2,43,Inter Europol Competition,Jakub SMIECHOWSKI,Tom DILLMANN,Nicholas YELLOLY,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:00'54.388,3.751,3.751,38,2'02.466,205.9,,
3,10,Vector Sport,Ryan CULLEN,Vladislav LOMKO,Pietro FITTIPALDI,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:00'58.665,8.028,4.277,4,2'04.199,203.0,,
4,24,Nielsen Racing,Cem BÖLÜKBASI,Ferdinand HABSBURG,Filipe ALBUQUERQUE,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:00'58.878,8.241,0.213,4,2'03.058,204.9,,
5,25,Algarve Pro Racing,Matthias KAISER,Lorenzo FLUXA,Théo POURCHAIRE,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:00'59.325,8.688,0.447,4,2'03.613,204.0,,
6,18,IDEC Sport,Jamie CHADWICK,Mathys JAUBERT,Daniel JUNCADELLA,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:01'00.450,9.813,1.125,4,2'03.859,203.6,,
7,37,CLX - Pure Rxcing,Aliaksandr MALYKHIN,Tristan VAUTIER,Tom BLOMQVIST,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:01'01.208,10.571,0.758,37,2'05.283,201.3,,
8,47,CLX Motorsport,Sebastian ALVAREZ,Enzo FITTIPALDI,,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:01'01.906,11.269,0.698,5,2'04.521,202.5,,
9,30,Duqueine Team,Benjamin PEDERSEN,Roy NISSANY,Reshad DE GÉRUS,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:01'02.376,11.739,0.470,5,2'04.334,202.8,,
10,28,IDEC Sport,Paul LAFARGUE,Job VAN UITERT,Paul-Loup CHATIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:01'02.891,12.254,0.515,37,2'04.244,202.9,,
11,34,Inter Europol Competition,Pedro PERINO,Jean-Baptiste SIMMENAUER,Luca GHIOTTO,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:01'03.418,12.781,0.527,37,2'04.270,202.9,,
12,9,Iron Lynx - Proton,Jonas RIED,Maceo CAPIETTO,Matteo CAIROLI,,Oreca 07 - Gibson,G,LMP2,,,Classified,38,2:01'03.894,13.257,0.476,37,2'02.610,205.6,,
13,21,United Autosports,Daniel SCHNEIDER,Marino SATO,Oliver JARVIS,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,38,2:01'11.994,21.357,8.100,37,2'03.295,204.5,,
14,20,Algarve Pro Racing,Kriton LENTOUDIS,Alexander QUINN,Olli CALDWELL,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,38,2:01'19.446,28.809,7.452,38,2'03.963,203.4,,
15,99,AO by TF,PJ HYETT,Louis DELÉTRAZ,Dane CAMERON,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,38,2:01'22.936,32.299,3.490,38,2'03.762,203.7,,
16,29,TDS Racing,Rodrigo SALES,Mathias BECHE,Clément NOVALAK,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,38,2:01'23.980,33.343,1.044,38,2'03.384,204.4,,
17,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Alessio ROVERA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,38,2:01'29.017,38.380,5.037,38,2'05.353,201.1,,
18,3,DKR Engineering,Georgios KOLOVOS,Laurents HÖRR,Thomas LAURENT,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,38,2:01'37.448,46.811,8.431,38,2'05.796,200.4,,
19,77,Proton Competition,Giorgio RODA,Rene BINDER,Bent VISCAAL,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,38,2:02'01.687,1'11.050,24.239,12,2'05.322,201.2,,
20,17,CLX Motorsport,Paul LANCHERE,Adrien CLOSMENIL,Theodor JENSEN,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,37,2:01'37.469,1 Laps,1 Laps,3,2'14.010,188.2,,
21,11,Eurointernational,Fabien MICHAL,Ian AGUILERA,,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,37,2:01'40.319,1 Laps,2.850,8,2'15.299,186.4,,
22,63,Iron Lynx,Martin BERRY,Lorcan HANAFIN,Fabian SCHILLER,,Mercedes -AMG LMGT3,G,LMGT3,,,Classified,37,2:01'50.238,1 Laps,9.919,36,2'19.425,180.8,,
23,59,Racing Spirit of Leman,Clément MATEU,Erwan BASTARD,Valentin HASSE CLOT,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,37,2:01'50.465,1 Laps,0.227,36,2'19.054,181.3,,
24,85,Iron Dames,Célia MARTIN,Sarah BOVY,Michelle GATTING,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,37,2:01'55.915,1 Laps,5.450,37,2'20.145,179.9,,
25,55,Spirit of Race,Duncan CAMERON,David PEREL,Matthew GRIFFIN,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,37,2:01'56.869,1 Laps,0.954,37,2'20.059,180.0,,
26,4,DKR Engineering,Antti RAMMO,Wyatt BRICHACEK,Mikkel Gaarde PEDERSEN,,Ginetta G61-LT-P325-EVO - Toyota,M,LMP3,,,Classified,37,2:01'57.332,1 Laps,0.463,15,2'16.297,185.0,,
27,12,WTM by Rinaldi Racing,Torsten KRATZ,Leonard WEISS,Griffin PEEBLES,,Duqueine D09 - Toyota,M,LMP3,,,Classified,37,2:01'57.342,1 Laps,0.010,4,2'15.682,185.8,,
28,74,Kessel Racing,Andrew GILBERT,Fran RUEDA,Miguel MOLINA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,37,2:01'58.352,1 Laps,1.010,37,2'21.051,178.8,,
29,66,JMW Motorsport,Scott NOBLE,Jason HART,Gianmaria BRUNI,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,37,2:01'59.331,1 Laps,0.979,36,2'19.642,180.6,,
30,57,Kessel Racing,Takeshi KIMURA,Ben TUCK,James CALADO,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,37,2:02'03.396,1 Laps,4.065,36,2'19.105,181.3,,
31,86,GR Racing,Michael WAINWRIGHT,Riccardo PERA,Tom FLEMING,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,37,2:02'04.189,1 Laps,0.793,37,2'19.712,180.5,,
32,51,AF Corse,Charles-Henri SAMANI,Conrad LAURSEN,Davide RIGON,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,37,2:02'05.017,1 Laps,0.828,36,2'19.946,180.2,,
33,50,Richard Mille AF Corse,Custodio TOLEDO,Lilou WADOUX,Riccardo AGOSTINI,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,37,2:02'05.603,1 Laps,0.586,37,2'20.261,179.8,,
34,82,TF Sport,Hiroshi KOIZUMI,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,37,2:02'07.046,1 Laps,1.443,37,2'19.818,180.3,,
35,15,RLR M Sport,Michael JENSEN,Nick ADCOCK,Gillian HENRION,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,37,2:02'10.530,1 Laps,3.484,7,2'16.817,184.3,,
36,60,Proton Competition,Antares AU,Matteo CRESSONI,Alessio PICARIELLO,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,37,2:02'11.121,1 Laps,0.591,36,2'19.180,181.2,,
37,8,Team Virage,Julien GERBI,Daniel NOGALES,Rik KOEN,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,37,2:02'52.734,1 Laps,41.613,37,2'14.179,187.9,,
38,68,M Racing,Stéphane TRIBAUDINI,Quentin ANTONEL,,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,36,1:59'42.077,2 Laps,1 Laps,9,2'15.456,186.1,,
39,35,Ultimate,Louis STERN,Jean-Baptiste LAHAYE,Matthieu LAHAYE,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,36,1:59'47.423,2 Laps,5.346,5,2'16.946,184.1,,
40,88,Inter Europol Competition,Timothy CRESWICK,Douwe DEDECKER,Reece GOLD,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,36,2:00'46.019,2 Laps,58.596,6,2'15.822,185.6,,
41,31,Racing Spirit of Leman,Jacques WOLFF,Jean-Ludovic FOUBERT,Marius FOSSARD,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,36,2:02'19.745,2 Laps,1'33.726,3,2'16.085,185.3,,
42,23,United Autosports,Michael BIRCH,Garnet PATTERSON,Wayne BOYD,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,33,1:57'30.975,5 Laps,3 Laps,10,2'23.799,175.3,,
43,22,United Autosports,Manuel MALDONADO,Grégoire SAUCY,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,,,Classified,23,1:03'43.546,15 Laps,10 Laps,4,2'04.131,203.1,,
44,27,Nielsen Racing,John FALB,James ALLEN,Sergio SETTE CAMARA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,23,1:03'43.967,15 Laps,0.421,5,2'05.943,200.2,,
