POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,47,CLX Motorsport,Manuel ESPIRITO SANTO,Enzo FITTIPALDI,Luis Felipe DERANI,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'02.286,,,58,1'33.383,179.5,,
2,18,IDEC Sport,Jamie CHADWICK,Mathys JAUBERT,Daniel JUNCADELLA,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'02.674,0.388,0.388,61,1'33.613,179.1,,
3,48,VDS Panis Racing,Oliver GRAY,Charles MILESI,Esteban MASSON,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'03.154,0.868,0.480,61,1'32.991,180.3,,
4,25,Algarve Pro Racing,Matthias KAISER,Lorenzo FLUXA,Théo POURCHAIRE,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'03.573,1.287,0.419,5,1'33.396,179.5,,
5,30,Duqueine Team,Francesco SIMONAZZI,Roy NISSANY,Reshad DE GÉRUS,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'04.123,1.837,0.550,6,1'32.683,180.9,,
6,10,Vector Sport,Ryan CULLEN,Vladislav LOMKO,Pietro FITTIPALDI,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'05.568,3.282,1.445,62,1'33.677,179.0,,
7,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Alessio ROVERA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,99,3:00'06.032,3.746,0.464,48,1'33.012,180.2,,
8,37,CLX - Pure Rxcing,Aliaksandr MALYKHIN,Tristan VAUTIER,Tom BLOMQVIST,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'10.177,7.891,4.145,98,1'34.261,177.9,,
9,24,Nielsen Racing,Cem BÖLÜKBASI,Ferdinand HABSBURG,Filipe ALBUQUERQUE,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'10.949,8.663,0.772,44,1'33.998,178.4,,
10,22,United Autosports,Manuel MALDONADO,Grégoire SAUCY,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,,,Classified,99,3:00'11.399,9.113,0.450,58,1'33.324,179.6,,
11,99,AO by TF,PJ HYETT,Louis DELÉTRAZ,Dane CAMERON,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,99,3:00'25.980,23.694,14.581,99,1'33.295,179.7,,
12,29,TDS Racing,Rodrigo SALES,Mathias BECHE,Clément NOVALAK,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,99,3:00'28.838,26.552,2.858,42,1'33.449,179.4,,
13,77,Proton Competition,Giorgio RODA,René BINDER,Bent VISCAAL,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,99,3:00'31.397,29.111,2.559,7,1'33.462,179.4,,
14,20,Algarve Pro Racing,Kriton LENTOUDIS,Alexander QUINN,Olli CALDWELL,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,99,3:00'34.241,31.955,2.844,57,1'34.316,177.8,,
15,21,United Autosports,Daniel SCHNEIDER,Marino SATO,Oliver JARVIS,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,99,3:00'36.565,34.279,2.324,64,1'33.586,179.1,,
16,3,DKR Engineering,Georgios KOLOVOS,Laurents HÖRR,Thomas LAURENT,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,98,3:00'06.672,1 Laps,1 Laps,5,1'32.396,181.4,,
17,28,IDEC Sport,Paul LAFARGUE,Job VAN UITERT,Paul-Loup CHATIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,98,3:00'08.804,1 Laps,2.132,6,1'33.275,179.7,,
18,27,Nielsen Racing,Anthony WELLS,James ALLEN,Sergio SETTE CAMARA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,98,3:00'09.539,1 Laps,0.735,59,1'32.924,180.4,,
19,34,Inter Europol Competition,Pedro PERINO,Jean-Baptiste SIMMENAUER,Luca GHIOTTO,,Oreca 07 - Gibson,G,LMP2,,,Classified,97,3:00'14.955,2 Laps,1 Laps,97,1'32.082,182.1,,
20,17,CLX Motorsport,Paul LANCHERE,Adrien CLOSMENIL,Theodor JENSEN,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,94,3:00'37.152,5 Laps,3 Laps,73,1'40.235,167.3,,
21,35,Ultimate,Louis ROSSI,Jean-Baptiste LAHAYE,Matthieu LAHAYE,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,94,3:00'37.632,5 Laps,0.480,65,1'40.948,166.1,,
22,15,RLR M Sport,Michael JENSEN,Nick ADCOCK,Gillian HENRION,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,94,3:00'38.959,5 Laps,1.327,68,1'40.594,166.7,,
23,4,DKR Engineering,Antti RAMMO,Wyatt BRICHACEK,Mikkel Gaarde PEDERSEN,,Ginetta G61-LT-P325-EVO - Toyota,M,LMP3,,,Classified,94,3:00'43.494,5 Laps,4.535,6,1'41.736,164.8,,
24,88,Inter Europol Competition,Timothy CRESWICK,Douwe DEDECKER,Reece GOLD,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,94,3:00'43.793,5 Laps,0.299,78,1'41.118,165.8,,
25,68,M Racing,Stéphane TRIBAUDINI,Quentin ANTONEL,,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,94,3:00'46.635,5 Laps,2.842,73,1'41.657,164.9,,
26,11,Eurointernational,Fabien MICHAL,Ian AGUILERA,Sebastian GRAVLUND,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,93,3:00'46.972,6 Laps,1 Laps,57,1'41.316,165.5,,
27,85,Iron Dames,Célia MARTIN,Sarah BOVY,Michelle GATTING,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,92,3:00'36.864,7 Laps,1 Laps,91,1'43.810,161.5,,
28,63,Iron Lynx,Martin BERRY,Lorcan HANAFIN,Fabian SCHILLER,,Mercedes -AMG LMGT3,G,LMGT3,,,Classified,92,3:00'38.014,7 Laps,1.150,90,1'43.692,161.7,,
29,57,Kessel Racing,Takeshi KIMURA,Ben TUCK,Daniel SERRA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,92,3:00'47.954,7 Laps,9.940,68,1'42.715,163.2,,
30,55,Spirit of Race,Duncan CAMERON,David PEREL,Matthew GRIFFIN,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,92,3:00'48.827,7 Laps,0.873,69,1'43.317,162.3,,
31,51,AF Corse,Charles-Henri SAMANI,Conrad LAURSEN,Davide RIGON,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,92,3:00'49.185,7 Laps,0.358,70,1'42.989,162.8,,
32,60,Proton Competition,Claudio SCHIAVONI,Matteo CRESSONI,Alessio PICARIELLO,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,92,3:00'49.977,7 Laps,0.792,56,1'42.934,162.9,,
33,82,TF Sport,Hiroshi KOIZUMI,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,92,3:00'53.515,7 Laps,3.538,92,1'44.215,160.9,,
34,50,Richard Mille AF Corse,Custodio TOLEDO,Lilou WADOUX,Riccardo AGOSTINI,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,92,3:00'57.614,7 Laps,4.099,69,1'43.653,161.7,,
35,59,Racing Spirit of Leman,Clément MATEU,Erwan BASTARD,Valentin HASSE CLOT,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,92,3:01'07.550,7 Laps,9.936,67,1'44.743,160.1,,
36,43,Inter Europol Competition,Jakub SMIECHOWSKI,Tom DILLMANN,Nicholas YELLOLY,,Oreca 07 - Gibson,G,LMP2,,,Classified,91,3:00'08.252,8 Laps,1 Laps,4,1'33.324,179.6,,
37,12,WTM by Rinaldi Racing,Torsten KRATZ,Leonard WEISS,Griffin PEEBLES,,Duqueine D09 - Toyota,M,LMP3,,,Classified,91,3:00'23.947,8 Laps,15.695,70,1'41.327,165.5,,
38,86,GR Racing,Michael WAINWRIGHT,Riccardo PERA,Tom FLEMING,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,91,3:00'43.252,8 Laps,19.305,91,1'43.767,161.6,,
39,74,Kessel Racing,Andrew GILBERT,Fran RUEDA,Miguel MOLINA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,91,3:00'44.586,8 Laps,1.334,91,1'43.758,161.6,,
40,23,United Autosports,Michael BIRCH,Garnet PATTERSON,Wayne BOYD,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,91,3:00'55.490,8 Laps,10.904,89,1'44.338,160.7,,
41,66,JMW Motorsport,Scott NOBLE,Jason HART,Gianmaria BRUNI,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,91,3:00'59.297,8 Laps,3.807,55,1'44.467,160.5,,
42,31,Racing Spirit of Leman,Jacques WOLFF,Jean-Ludovic FOUBERT,Marius FOSSARD,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,84,3:00'55.608,15 Laps,7 Laps,9,1'42.036,164.3,,
43,8,Team Virage,Jacek ZIELONKA,Daniel NOGALES,Rik KOEN,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,82,3:00'53.641,17 Laps,2 Laps,63,1'41.200,165.7,,
44,9,Iron Lynx - Proton,Jonas RIED,Maceo CAPIETTO,Matteo CAIROLI,,Oreca 07 - Gibson,G,LMP2,,,Classified,79,3:01'33.471,20 Laps,3 Laps,48,1'32.555,181.1,,
