NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
17,3,1,1:41.096,0,,32.363,0,41.187,0,27.546,0,149.2,1:41.096,15:31:41.096,0:32.363,0:41.187,0:27.546,182.7,Ryan DALZIEL,0:00:07.858,LMP2,P/A,IDEC Sport,Oreca,
17,3,2,1:22.675,0,,21.162,0,37.241,0,24.272,0,188.0,3:03.771,15:33:03.771,0:21.162,0:37.241,0:24.272,257.1,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
17,3,3,1:22.023,2,,21.094,0,36.760,2,24.169,2,189.5,4:25.794,15:34:25.794,0:21.094,0:36.760,0:24.169,257.8,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
17,3,4,1:27.789,0,B,21.012,2,36.861,0,29.916,0,177.1,5:53.583,15:35:53.583,0:21.012,0:36.861,0:29.916,257.8,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
17,3,5,2:17.573,0,,1:14.072,0,37.734,0,25.767,0,113.0,8:11.156,15:38:11.156,1:14.072,0:37.734,0:25.767,225.0,Ryan DALZIEL,0:00:58.483,LMP2,P/A,IDEC Sport,Oreca,
17,3,6,1:22.316,0,,21.148,0,36.905,0,24.263,0,188.8,9:33.472,15:39:33.472,0:21.148,0:36.905,0:24.263,257.8,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
17,3,7,1:30.170,0,B,21.066,0,36.955,0,32.149,0,172.4,11:03.642,15:41:03.642,0:21.066,0:36.955,0:32.149,256.5,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
21,2,1,2:18.860,0,,1:13.343,0,39.480,0,26.037,0,108.7,2:18.860,15:32:18.860,1:13.343,0:39.480,0:26.037,220.4,Ben HANLEY,0:00:50.584,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,2,1:22.377,0,,21.207,0,36.918,0,24.252,0,188.7,3:41.237,15:33:41.237,0:21.207,0:36.918,0:24.252,255.9,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,3,1:21.659,0,,20.935,0,36.685,0,24.039,0,190.4,5:02.896,15:35:02.896,0:20.935,0:36.685,0:24.039,257.1,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,4,1:22.409,0,,21.197,0,37.106,0,24.106,0,188.6,6:25.305,15:36:25.305,0:21.197,0:37.106,0:24.106,255.3,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,5,1:21.356,2,,20.839,0,36.480,2,24.037,0,191.1,7:46.661,15:37:46.661,0:20.839,0:36.480,0:24.037,259.0,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,6,1:21.388,0,,20.795,2,36.557,0,24.036,2,191.0,9:08.049,15:39:08.049,0:20.795,0:36.557,0:24.036,257.8,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,7,1:29.944,0,B,20.836,0,36.994,0,32.114,0,172.8,10:37.993,15:40:37.993,0:20.836,0:36.994,0:32.114,257.8,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
22,1,1,1:29.982,0,,26.620,0,38.489,0,24.873,0,167.7,1:29.982,15:31:29.982,0:26.620,0:38.489,0:24.873,240.5,Phil HANSON,0:00:04.112,LMP2,,United Autosports,Oreca,
