POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Nyck DE VRIES,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,211,7:00'52.375,,,201,1'51.191,175.2,,
2,50,Ferrari AF Corse,Antonio FUOCO,Miguel MOLINA,Nicklas NIELSEN,,Ferrari 499P,M,HYPERCAR,H,,Classified,211,7:01'32.056,39.681,39.681,3,1'52.164,173.7,,
3,8,Toyota Gazoo Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,211,7:01'39.396,47.021,7.340,109,1'51.263,175.1,,
4,51,Ferrari AF Corse,Alessandro PIER GUIDI,James CALADO,Antonio GIOVINAZZI,,Ferrari 499P,M,HYPERCAR,H,,Classified,211,7:01'51.413,59.038,12.017,172,1'51.556,174.6,,
5,94,Peugeot TotalEnergies,Loïc DUVAL,Malthe JAKOBSEN,Théo POURCHAIRE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,211,7:01'58.846,1'06.471,7.433,2,1'52.352,173.4,,
6,35,Alpine Endurance Team,Paul-Loup CHATIN,Ferdinand HABSBURG,Charles MILESI,,Alpine A424,M,HYPERCAR,H,,Classified,211,7:02'09.650,1'17.275,10.804,164,1'51.971,174.0,,
7,007,Aston Martin Thor Team,Harry TINCKNELL,Tom GAMBLE,Ross GUNN,,Aston Martin Valkyrie,M,HYPERCAR,,,Classified,211,7:02'25.709,1'33.334,16.059,64,1'52.176,173.7,,
8,36,Alpine Endurance Team,Jules GOUNON,Frédéric MAKOWIECKI,Mick SCHUMACHER,,Alpine A424,M,HYPERCAR,H,,Classified,211,7:02'27.520,1'35.145,1.811,192,1'52.448,173.3,,
9,009,Aston Martin Thor Team,Alex RIBERAS,Marco SORENSEN,Roman DE ANGELIS,,Aston Martin Valkyrie,M,HYPERCAR,,,Classified,211,7:02'30.966,1'38.591,3.446,111,1'51.038,175.5,,
10,5,Porsche Penske Motorsport,Julien ANDLAUER,Mathieu JAMINET,Laurin HEINRICH,,Porsche 963,M,HYPERCAR,H,,Classified,211,7:02'31.526,1'39.151,0.560,120,1'52.703,172.9,,
11,83,AF Corse,Robert KUBICA,Yifei YE,Philip HANSON,,Ferrari 499P,M,HYPERCAR,H,,Classified,211,7:02'39.144,1'46.769,7.618,70,1'52.492,173.2,,
12,12,Cadillac Hertz Team JOTA,Alex LYNN,Norman NATO,Will STEVENS,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,211,7:02'39.932,1'47.557,0.788,2,1'52.692,172.9,,
13,93,Peugeot TotalEnergies,Paul DI RESTA,Mikkel JENSEN,Jean-Eric VERGNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,210,7:00'13.743,1 Laps,1 Laps,65,1'52.635,173.0,,
14,6,Porsche Penske Motorsport,Kévin ESTRE,Matt CAMPBELL,Laurens VANTHOOR,,Porsche 963,M,HYPERCAR,H,,Classified,210,7:00'43.148,1 Laps,29.405,118,1'52.156,173.7,,
15,20,BMW M Team WRT,René RAST,Robin FRIJNS,Sheldon VAN DER LINDE,,BMW M Hybrid V8,M,HYPERCAR,H,,Classified,210,7:01'08.316,1 Laps,25.168,204,1'51.631,174.5,,
16,38,Cadillac Hertz Team JOTA,Earl BAMBER,Sébastien BOURDAIS,Jenson BUTTON,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,210,7:02'17.256,1 Laps,1'08.940,65,1'53.021,172.4,,
17,15,BMW M Team WRT,Dries VANTHOOR,Raffaele MARCIELLO,Kevin MAGNUSSEN,,BMW M Hybrid V8,M,HYPERCAR,H,,Classified,209,7:00'24.223,2 Laps,1 Laps,111,1'52.676,172.9,,
18,99,Proton Competition,Neel JANI,Nicolas PINO,Nicolas VARRONE,,Porsche 963,M,HYPERCAR,H,,Classified,209,7:02'11.770,2 Laps,1'47.547,205,1'52.703,172.9,,
19,87,Akkodis ASP Team,Petru UMBRARESCU,Clemens SCHMID,Jose Maria LOPEZ,,Lexus RC F LMGT3,G,LMGT3,,,Classified,192,7:02'18.113,19 Laps,17 Laps,172,2'03.555,157.7,,
20,92,Manthey 1ST Phorm,Ryan HARDWICK,Riccardo PERA,Richard LIETZ,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,192,7:02'29.818,19 Laps,11.705,173,2'03.342,158.0,,
21,61,Iron Lynx,Martin BERRY,Lin HODENIUS,Maxime MARTIN,,Mercedes-AMG LMGT3,G,LMGT3,,,Classified,192,7:02'32.341,19 Laps,2.523,173,2'03.415,157.9,,
22,27,Heart of Racing Team,Ian JAMES,Zacharie ROBICHON,Mattia DRUDI,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,192,7:02'36.458,19 Laps,4.117,172,2'03.384,157.9,,
23,33,TF Sport,Ben KEATING,Jonny EDGAR,Daniel JUNCADELLA,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,191,7:01'23.814,20 Laps,1 Laps,159,2'04.488,156.5,,
24,31,The Bend Team WRT,Yasser SHAHIN,Timur BOGUSLAVSKIY,Augusto FARFUS,,BMW M4 LMGT3,G,LMGT3,,,Classified,191,7:01'28.268,20 Laps,4.454,146,2'04.183,156.9,,
25,21,Vista AF Corse,François HERIAU,Simon MANN,Alessio ROVERA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,191,7:01'28.838,20 Laps,0.570,148,2'04.045,157.1,,
26,77,Proton Competition,Bernardo SOUSA,Ben TUCK,Benjamin BARKER,,Ford Mustang LMGT3,G,LMGT3,,,Classified,191,7:01'36.345,20 Laps,7.507,146,2'03.614,157.6,,
27,81,TF Sport,Tom VAN ROMPUY,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,191,7:01'53.510,20 Laps,17.165,171,2'04.497,156.5,,
28,85,Iron Dames,Celia MARTIN,Rahel FREY,Michelle GATTING,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,191,7:01'54.212,20 Laps,0.702,171,2'04.612,156.4,,
29,95,United Autosports,Darren LEUNG,Sean GELAEL,Marino SATO,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,191,7:02'06.819,20 Laps,12.607,175,2'04.122,157.0,,
30,88,Proton Competition,Stefano GATTUSO,Giammarco LEVORATO,Dennis OLSEN,,Ford Mustang LMGT3,G,LMGT3,,,Classified,191,7:02'27.772,20 Laps,20.953,107,2'03.832,157.3,,
31,60,Iron Lynx,Andrew GILBERT,Lorcan HANAFIN,Fran RUEDA,,Mercedes-AMG LMGT3,G,LMGT3,,,Classified,191,7:02'43.852,20 Laps,16.080,113,2'03.563,157.7,,
32,46,Team WRT,Ahmad AL HARTHY,Valentino ROSSI,Kelvin VAN DER LINDE,,BMW M4 LMGT3,G,LMGT3,,,Classified,190,7:00'51.761,21 Laps,1 Laps,172,2'04.020,157.1,,
33,10,Racing Spirit of Leman,Anthony MCINTOSH,Eduardo BARRICHELLO,Valentin HASSE CLOT,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,190,7:01'04.678,21 Laps,12.917,185,2'03.816,157.4,,
34,59,United Autosports,James COTTINGHAM,Sébastien BAUD,Grégoire SAUCY,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,168,7:00'44.958,43 Laps,22 Laps,159,2'04.011,157.1,,
35,54,Vista AF Corse,Thomas FLOHR,Francesco CASTELLACCI,Davide RIGON,,Ferrari 296 LMGT3,G,LMGT3,,,Retired,90,3:15'56.351,121 Laps,78 Laps,30,2'05.470,155.3,,
36,78,Akkodis ASP Team,Arnold ROBIN,Finn GEHRSITZ,Ben BARNICOAT,,Lexus RC F LMGT3,G,LMGT3,,,Retired,50,1:48'07.721,161 Laps,40 Laps,2,2'04.556,156.4,,
