POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,99,6,1:58.155,-,-,168.0,6,Proton Competition,HYPERCAR,H,,Porsche 963,M,102523,45,4167,6176,4368,5,,HWC,PROTON,HWC,Neel,JANI,P,,SUI,,16,219,,00:45:00,None,Nicolas,PINO,S,,CHI,,10281,42,,00:45:00,None,Nicolas,VARRONE,G,,ARG,,9853,13,,00:45:00,None,,,,,,,,,,,,,,,,,,,
2,83,6,1:58.405,+0.250,+0.250,167.6,6,AF Corse,HYPERCAR,H,,Ferrari 499P,M,102515,16,4167,6192,3,119,,HWC,AF CORSE,HWC,Robert,KUBICA,P,,POL,,8438,181,,00:45:00,None,Yifei,YE,G,,CHN,,10068,43,,00:45:00,None,Philip,HANSON,G,,GBR,,1946,188,,00:45:00,None,,,,,,,,,,,,,,,,,,,
3,6,6,1:58.801,+0.646,+0.396,167.1,6,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,102489,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Kévin,ESTRE,P,,FRA,,1292,70,,00:45:00,None,Laurens,VANTHOOR,P,,BEL,,1124,23,,00:45:00,None,Matt,CAMPBELL,P,,AUS,,8944,16,,,,,,,,,,,,,,,,,,,,,,
4,50,6,1:59.035,+0.880,+0.234,166.7,6,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,102506,6293,4167,6192,3,119,,,FERRARI AF,,Antonio,FUOCO,P,,ITA,,10091,119,,00:45:00,None,Miguel,MOLINA,P,,ESP,,8526,64,,00:45:00,None,Nicklas,NIELSEN,P,,DEN,,9432,57,,00:45:00,None,,,,,,,,,,,,,,,,,,,
5,51,6,1:59.261,+1.106,+0.226,166.4,6,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,102507,6293,4167,6192,3,119,,,FERRARI AF,,Alessandro,PIER GUIDI,P,,ITA,PGU,340,119,,00:45:00,None,James,CALADO,P,,GBR,,300,188,,00:45:00,None,Antonio,GIOVINAZZI,P,,ITA,,1976,119,,00:45:00,None,,,,,,,,,,,,,,,,,,,
6,15,6,1:59.676,+1.521,+0.415,165.8,6,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,102496,6359,4167,6188,4354,5,,,BMW M TEAM WRT,,Dries,VANTHOOR,P,,BEL,,8292,23,,00:45:00,None,Raffaele,MARCIELLO,P,,SUI,,10402,219,,00:45:00,None,Kevin,MAGNUSSEN,P,,DEN,,10211,57,,00:45:00,None,,,,,,,,,,,,,,,,,,,
7,35,6,1:59.727,+1.572,+0.051,165.8,6,Alpine Endurance Team,HYPERCAR,H,,Alpine A424,M,102502,6360,4167,6237,21,70,,,ALPINE,,Paul-Loup,CHATIN,G,,FRA,,313,70,,00:45:00,None,Ferdinand,HABSBURG,G,,AUT,,10000,17,,00:45:00,None,Charles,MILESI,G,,FRA,,9594,70,,00:45:00,None,,,,,,,,,,,,,,,,,,,
8,009,6,1:59.751,+1.596,+0.024,165.7,6,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,102493,6427,4167,6273,260,66,,,ASTON MARTIN,,Alex,RIBERAS,G,,ESP,,10376,64,,00:45:00,None,Marco,SORENSEN,P,,DEN,,11446,57,,00:45:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,6,2:00.467,+2.312,+0.716,164.7,6,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 - Hybrid,M,102492,380,4167,6206,2,121,,,TOYOTA GAZOO,,Sébastien,BUEMI,P,,SUI,,138,219,,,,Brendon,HARTLEY,P,,NZL,,152,168,,00:45:00,None,Ryo,HIRAKAWA,P,,JPN,,8166,121,,00:45:00,None,,,,,,,,,,,,,,,,,,,
10,5,6,2:00.731,+2.576,+0.264,164.4,6,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,102488,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Julien,ANDLAUER,G,,FRA,,9192,70,,00:45:00,None,Michael,CHRISTENSEN,P,,DEN,,532,57,,00:45:00,None,Mathieu,JAMINET,P,,FRA,,9415,70,,,,,,,,,,,,,,,,,,,,,,
11,94,6,2:00.744,+2.589,+0.013,164.4,6,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,102521,6151,4167,6112,4014,70,,,PEUGEOT TE,,Loïc,DUVAL,P,,FRA,,14,70,,00:45:00,None,Malthe,JAKOBSEN,G,,DEN,,9610,57,,00:45:00,None,Stoffel,VANDOORNE,P,,BEL,,9520,23,,,,,,,,,,,,,,,,,,,,,,
12,36,6,2:00.763,+2.608,+0.019,164.3,6,Alpine Endurance Team,HYPERCAR,H,,Alpine A424,M,102503,6360,4167,6237,21,70,,,ALPINE,,Jules,GOUNON,P,,FRA,,9500,70,,00:45:00,None,Frédéric,MAKOWIECKI,P,,FRA,,61,70,,00:45:00,None,Mick,SCHUMACHER,P,,GER,,11362,5,,00:45:00,None,,,,,,,,,,,,,,,,,,,
13,20,6,2:01.034,+2.879,+0.271,164.0,6,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,102497,6359,4167,6188,4354,5,,,BMW M TEAM WRT,,René,RAST,P,,GER,,307,5,,00:45:00,None,Robin,FRIJNS,P,,NED,,9871,178,,00:45:00,None,Sheldon,VAN DER LINDE,P,,RSA,VDL,11274,2,,00:45:00,None,,,,,,,,,,,,,,,,,,,
14,007,6,2:01.100,+2.945,+0.066,163.9,6,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,102490,6427,4167,6273,260,66,,,ASTON MARTIN,,Harry,TINCKNELL,P,,GBR,,303,188,,00:45:00,None,Tom,GAMBLE,G,,GBR,,9549,188,,00:45:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
15,38,5,2:03.382,+5.227,+2.282,160.9,5,Cadillac Hertz Team JOTA,HYPERCAR,H,,Cadillac V-Series.R,M,102504,6429,4167,6203,4097,66,,,CADILLAC HTJ,,Earl,BAMBER,P,,NZL,,1290,168,,00:45:00,None,Sébastien,BOURDAIS,P,,FRA,,98,70,,00:45:00,None,Jenson,BUTTON,P,,GBR,,9180,188,,00:45:00,None,,,,,,,,,,,,,,,,,,,
16,12,4,2:03.952,+5.797,+0.570,160.1,5,Cadillac Hertz Team JOTA,HYPERCAR,H,,Cadillac V-Series.R,M,102495,6429,4167,6203,4097,66,,,CADILLAC HTJ,,Alex,LYNN,P,,GBR,,11043,188,,00:45:00,None,Norman,NATO,G,,FRA,,9032,70,,00:45:00,None,Will,STEVENS,P,,GBR,,11044,188,,00:45:00,None,,,,,,,,,,,,,,,,,,,
17,7,5,2:05.282,+7.127,+1.330,158.4,5,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 - Hybrid,M,102491,380,4167,6206,2,121,,,TOYOTA GAZOO,,Jose Maria,LOPEZ,P,,ARG,,8418,13,,00:45:00,None,Kamui,KOBAYASHI,P,,JPN,,210,121,,00:45:00,None,Nyck,DE VRIES,P,,NED,DEV,9152,178,,00:45:00,None,,,,,,,,,,,,,,,,,,,
18,93,0,,,,,6,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,102520,6151,4167,6112,4014,70,,,PEUGEOT TE,,Paul,DI RESTA,P,,GBR,DIR,9293,188,,00:45:00,None,Mikkel,JENSEN,P,,DEN,,8276,57,,00:45:00,None,Jean-Eric,VERGNE,P,,FRA,,8528,70,,,,,,,,,,,,,,,,,,,,,,
