POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,36,Alpine ELF Team,André NEGRÃO,Nicolas LAPIERRE,Matthieu VAXIVIERE,,Alpine A480 - Gibson,M,HYPERCAR,,,Classified,32,1:00'23.435,,,4,1'49.033,198.7,,
2,8,Toyota Gazoo Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota GR010 HYBRID,M,HYPERCAR,H,,Classified,32,1:00'39.601,16.166,16.166,4,1'50.355,196.4,,
3,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ,,Toyota GR010 HYBRID,M,HYPERCAR,H,,Classified,32,1:00'41.170,17.735,1.569,15,1'50.276,196.5,,
4,708,Glickenhaus Racing,Olivier PLA,Romain DUMAS,Ryan BRISCOE,,Glickenhaus 007 LMH,M,HYPERCAR,,,Classified,32,1:00'58.421,34.986,17.251,6,1'50.116,196.8,,
5,22,United Autosports USA,Philip HANSON,Filipe ALBUQUERQUE,William OWEN,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:01'17.485,54.050,19.064,6,1'51.251,194.8,,
6,23,United Autosports USA,Paul DI RESTA,Oliver JARVIS,Joshua PIERSON,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:01'18.109,54.674,0.624,8,1'51.451,194.4,,
7,83,AF Corse,François PERRODO,Nicklas NIELSEN,Alessio ROVERA,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,32,1:01'23.739,1'00.304,5.630,6,1'51.128,195.0,,
8,9,Prema Orlen Team,Robert KUBICA,Louis DELETRAZ,Lorenzo COLOMBO,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:01'24.341,1'00.906,0.602,14,1'51.422,194.5,,
9,5,Team Penske,Dane CAMERON,Emmanuel COLLARD,Felipe NASR,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:01'34.661,1'11.226,10.320,14,1'51.616,194.1,,
10,41,Realteam by WRT,Rui ANDRADE,Ferdinand HABSBURG,Norman NATO,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:01'52.199,1'28.764,17.538,5,1'52.316,192.9,,
11,1,Richard Mille Racing Team,Lilou WADOUX,Sébastien OGIER,Charles MILESI,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:01'55.242,1'31.807,3.043,5,1'52.332,192.9,,
12,28,JOTA,Oliver RASMUSSEN,Edward JONES,Jonathan ABERDEIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:02'02.079,1'38.644,6.837,5,1'52.223,193.1,,
13,35,Ultimate,Jean-Baptiste LAHAYE,Matthieu LAHAYE,François HERIAU,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,32,1:02'02.666,1'39.231,0.587,7,1'52.338,192.9,,
14,34,Inter Europol Competition,Jakub SMIECHOWSKI,Fabio SCHERER,Esteban GUTIERREZ,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:02'03.549,1'40.114,0.883,9,1'52.086,193.3,,
15,31,WRT,Sean GELAEL,Robin FRIJNS,René RAST,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:02'04.813,1'41.378,1.264,8,1'52.188,193.1,,
16,38,JOTA,Roberto GONZALEZ,Antonio Felix DA COSTA,William STEVENS,,Oreca 07 - Gibson,G,LMP2,,,Classified,32,1:02'13.679,1'50.244,8.866,8,1'52.515,192.6,,
