POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,22,60,1:48.439,-,-,199.8,67,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,59154,6078,3,5626,256,66,,,United,,Philip,HANSON,G,,GBR,,1946,188,,,,Filipe,ALBUQUERQUE,P,,PRT,,306,184,,,,William,OWEN,S,,USA,,8390,66,,,,,,,,,,,,,,,,,,,,,,
2,36,30,1:48.617,+0.178,+0.178,199.5,57,Alpine ELF Team,HYPERCAR,,,Alpine A480 - Gibson,M,59161,6150,4169,6065,21,70,,,Alpine,,André,NEGRÃO,G,,BRA,,8480,32,,,,Nicolas,LAPIERRE,P,,FRA,,96,70,,,,Matthieu,VAXIVIERE,G,,FRA,,7798,70,,,,,,,,,,,,,,,,,,,,,,
3,31,9,1:48.709,+0.270,+0.092,199.3,59,WRT,LMP2,,,Oreca 07 - Gibson,G,59157,6156,3,5626,256,23,,,WRT,,Sean,GELAEL,S,,IDN,,1968,113,,,,Robin,FRIJNS,P,,NLD,,9871,178,,,,René,RAST,P,,DEU,,307,5,,,,,,,,,,,,,,,,,,,,,,
4,9,52,1:48.954,+0.515,+0.245,198.9,54,Prema Orlen Team,LMP2,,,Oreca 07 - Gibson,G,59151,6153,3,5626,256,119,,,Prema Orlen,,Robert,KUBICA,P,,POL,,8438,181,,,,Louis,DELETRAZ,G,,CHE,,9621,219,,,,Lorenzo,COLOMBO,S,,ITA,,10329,119,,,,,,,,,,,,,,,,,,,,,,
5,23,52,1:49.044,+0.605,+0.090,198.7,53,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,59155,6078,3,5626,256,66,,,United,,Paul,DI RESTA,P,,GBR,,9293,188,,,,Oliver,JARVIS,P,,GBR,,93,188,,,,Joshua,PIERSON,S,,USA,,10331,66,,,,,,,,,,,,,,,,,,,,,,
6,708,34,1:49.538,+1.099,+0.494,197.8,59,Glickenhaus Racing,HYPERCAR,,,Glickenhaus 007 LMH,M,59180,6064,4169,6045,4418,66,,,Glickenhaus,,Olivier,PLA,P,,FRA,,38,70,,,,Romain,DUMAS,P,,FRA,,1,70,,,,Ryan,BRISCOE,P,,AUS,,231,16,,,,,,,,,,,,,,,,,,,,,,
7,10,18,1:49.594,+1.155,+0.056,197.7,35,Vector Sport,LMP2,,,Oreca 07 - Gibson,G,59152,6154,3,5626,256,188,,,Vector Sport,,Nico,MÜLLER,P,,CHE,,10330,219,,,,Ryan,CULLEN,S,,GBR,,492,188,,,,Mike,ROCKENFELLER,P,,DEU,,136,5,,,,,,,,,,,,,,,,,,,,,,
8,8,28,1:49.595,+1.156,+0.001,197.7,74,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,59150,380,4169,6054,2,121,,,Toyota GR,,Sébastien,BUEMI,P,,CHE,,138,219,,,,Brendon,HARTLEY,P,,NZL,,152,168,,,,Ryo,HIRAKAWA,P,,JPN,,8166,121,,,,,,,,,,,,,,,,,,,,,,
9,41,65,1:49.603,+1.164,+0.008,197.7,66,Realteam by WRT,LMP2,,,Oreca 07 - Gibson,G,59163,6157,3,5626,256,23,,,Realteam by WRT,,Rui,ANDRADE,S,,PRT,,9873,184,,,,Ferdinand,HABSBURG,G,,AUT,,10000,17,,,,Norman,NATO,G,,FRA,,9032,70,,,,,,,,,,,,,,,,,,,,,,
10,45,43,1:49.679,+1.240,+0.076,197.6,61,Algarve Pro Racing,LMP2,P/A,,Oreca 07 - Gibson,G,59182,92,3,5626,256,184,,,APR,,Steven,THOMAS,B,,USA,,10223,66,,,,James,ALLEN,G,,AUS,,8384,16,,,,René,BINDER,S,,AUT,,9190,17,,,,,,,,,,,,,,,,,,,,,,
