POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,36,Alpine Endurance Team,Jules GOUNON,Frédéric MAKOWIECKI,Mick SCHUMACHER,,Alpine A424,M,HYPERCAR,H,,Classified,77,3:04'55.931,,,21,2'04.889,201.9,,
2,50,Ferrari AF Corse,Antonio FUOCO,Miguel MOLINA,Nicklas NIELSEN,,Ferrari 499P,M,HYPERCAR,H,,Classified,77,3:04'57.383,1.452,1.452,2,2'04.156,203.1,,
3,51,Ferrari AF Corse,Alessandro PIER GUIDI,James CALADO,Antonio GIOVINAZZI,,Ferrari 499P,M,HYPERCAR,H,,Classified,77,3:04'58.155,2.224,0.772,2,2'04.470,202.6,,
4,20,BMW M Team WRT,Robin FRIJNS,René RAST,,,BMW M Hybrid V8,M,HYPERCAR,H,,Classified,77,3:04'59.358,3.427,1.203,20,2'05.116,201.5,,
5,93,Peugeot TotalEnergies,Paul DI RESTA,Mikkel JENSEN,Jean-Eric VERGNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,77,3:05'00.366,4.435,1.008,2,2'05.288,201.2,,
6,94,Peugeot TotalEnergies,Loïc DUVAL,Malthe JAKOBSEN,Stoffel VANDOORNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,77,3:05'01.462,5.531,1.096,2,2'04.632,202.3,,
7,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Nyck DE VRIES,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,77,3:05'02.864,6.933,1.402,2,2'04.796,202.0,,
8,38,Cadillac Hertz Team JOTA,Earl BAMBER,Sébastien BOURDAIS,Jenson BUTTON,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,77,3:05'04.179,8.248,1.315,4,2'05.243,201.3,,
9,5,Porsche Penske Motorsport,Julien ANDLAUER,Michael CHRISTENSEN,Nico MÜLLER,,Porsche 963,M,HYPERCAR,H,,Classified,77,3:05'05.150,9.219,0.971,2,2'04.109,203.2,,
10,12,Cadillac Hertz Team JOTA,Alex LYNN,Norman NATO,Will STEVENS,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,77,3:05'05.983,10.052,0.833,3,2'05.250,201.3,,
