POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,6,29,1:46.206,-,-,194.2,29,Porsche Penske Motorsports,GTP,,,Porsche 963,M,2189,200,27,193,112,3,44,14084,,,Matthieu,Jaminet,Platinum,,FRA,,1449,2,Platinum,,,Nick,Tandy,Platinum,,GBR,,124,1,Platinum,,,Dane,Cameron,Platinum,,USA,,54,3,Platinum,,,,,,,,,,,,,,,,,,,,,
2,31,17,1:48.804,+2.598,+2.598,189.6,18,Whelen Engineering Racing Cadillac V-LMDh,GTP,,,Cadillac V-LMDh,M,2196,344,27,200,7646,3,66,14087,,,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,Alexander,Sims,Platinum,,GBR,,1261,2,Platinum,,,Jack,Aitken,Gold,,GBR,,2986,4,Gold,,,,,,,,,,,,,,,,,,,,,
3,18,14,1:50.756,+4.550,+1.952,186.2,30,Era Motorsport,LMP2,,,ORECA LMP2 07,M,761,291,28,85,7637,3,74,14088,,,Dwight,Merriman,Bronze,,USA,,1930,1,Bronze,,,Ryan,Dalziel,Gold,,GBR,,192,2,Gold,,,Christian,Rasmussen,Silver,,DNK,,2966,3,Silver,,,Oliver,Jarvis,Platinum,,GBR,,1999,4,Platinum,,,,,,,,,,,,,,,
4,8,20,1:51.960,+5.754,+1.204,184.2,36,Tower Motorsports,LMP2,,,ORECA LMP2 07,M,2164,460,28,85,7637,3,90,14090,,,John,Farano,Bronze,,CAN,,441,1,Bronze,,,Scott,McLaughlin,Gold,,NZL,,2996,4,Gold,,,Josef,Newgarden,Platinum,,USA,,2982,3,Platinum,,,Kyffin,Simpson,Silver,,IOT,,2779,2,Silver,,,,,,,,,,,,,,,
5,51,20,1:51.978,+5.772,+0.018,184.2,23,Rick Ware Racing,LMP2,,,ORECA LMP2 07,M,2197,307,28,85,7637,3,146,14097,,,Eric,Lux,Bronze,,USA,,96,1,Bronze,,,Devlin,Defrancesco,Silver,,CAN,,1625,2,Silver,,,Austin,Cindric,Gold,,USA,,878,3,Gold,,,Pietro,Fittipaldi,Gold,,BRA,,3048,4,Gold,,,,,,,,,,,,,,,
6,88,27,1:52.213,+6.007,+0.235,183.8,39,AF Corse,LMP2,,,ORECA LMP2 07,M,2173,333,28,85,7637,3,130,14095,,,Francois,Perrodo,Bronze,,GBR,,1296,1,Bronze,,,Matthieu,Vaxiviere,Gold,,FRA,,3024,2,Gold,,,Julien,Canal,Silver,,FRA,,1229,3,Silver,,,Nicklas,Nielsen,Platinum,,DNK,,2065,4,Platinum,,,,,,,,,,,,,,,
7,04,29,1:52.293,+6.087,+0.080,183.7,30,Crowdstrike Racing by APR,LMP2,,,ORECA LMP2 07,M,2160,459,28,85,7637,3,82,14089,,,George,Kurtz,Bronze,,USA,,1612,1,Bronze,,,Ben,Hanley,Gold,,GBR,,1275,2,Gold,,,Matt,McMurry,Silver,,USA,,393,3,Silver,,,Esteban,Gutierrez,Platinum,,MEX,,3042,4,Platinum,,,,,,,,,,,,,,,
8,52,22,1:52.604,+6.398,+0.311,183.2,27,PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,776,16,28,85,7637,3,114,14093,,,Ben,Keating,Bronze,,USA,,378,1,Bronze,,,Paul-Loup,Chatin,Gold,,FRA,,2401,2,Gold,,,Alex,Quinn,Silver,,GBR,,2983,3,Silver,,,Nicolas,Lapierre,Platinum,,CHE,,1143,4,Platinum,,,,,,,,,,,,,,,
9,35,12,1:52.691,+6.485,+0.087,183.0,13,TDS Racing,LMP2,,,ORECA LMP2 07,M,2167,335,28,85,7637,3,106,14092,,,Francois,Heriau,Bronze,,FRA,,2749,1,Bronze,,,Giedo,van der Garde,Platinum,,NLD,,3001,2,Platinum,,,Josh,Pierson,Silver,,USA,,2761,3,Silver,,,Job,Van Uitert,Gold,,NLD,,3013,4,Gold,,,,,,,,,,,,,,,
10,87,13,1:55.387,+9.181,+2.696,178.7,30,FastMD Racing,LMP3,,,Duqueine D08,M,2174,267,36,105,7665,3,202,14104,,,Yu,Kanamaru,Silver,,JPN,,3040,2,Silver,,,Antonio,Serravalle,Silver,,CAN,,3049,3,Silver,,,Nick,Boulle,Silver,,USA,,1091,4,Silver,,,James,Vance,Silver,,CAN,,486,1,Silver,,,,,,,,,,,,,,,
11,43,31,1:56.585,+10.379,+1.198,176.9,39,MRS GT-Racing,LMP3,,,Ligier JS P320,M,2163,374,36,96,7650,3,178,14101,,,Sebastian,Alvarez,Silver,,MEX,,3052,2,Silver,,,James,French,Silver,"Sheboygan, WI",USA,,2945,4,Bronze,,,Guilherme,de Oliveira,Silver,,PRT,,3027,3,Silver,,,Danial,Frost,Silver,,CHN,,3063,1,Silver,,,,,,,,,,,,,,,
12,79,10,1:57.084,+10.878,+0.499,176.2,21,WeatherTech Racing,GTDPro,,,Mercedes-AMG GT3,M,2244,360,41,204,7643,3,233,14108,,,Cooper,MacNeil,Silver,,USA,,113,1,Silver,,,Daniel,Juncadella,Platinum,,ESP,,1584,2,Platinum,,,Jules,Gounon,Platinum,,FRA,,,,,,,Maro,Engel,Platinum,,DEU,,3055,4,Platinum,,,,,,,,,,,,,,,
