POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,43,Inter Europol Competition,Jakub SMIECHOWSKI,Tom DILLMANN,Nicholas YELLOLY,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:00'48.643,,,34,1'44.520,202.9,,
2,47,CLX Motorsport,Manuel ESPIRITO SANTO,Enzo FITTIPALDI,,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'15.897,27.254,27.254,34,1'44.633,202.7,,
3,24,Nielsen Racing,Cem BÖLÜKBASI,Ferdinand HABSBURG,Filipe ALBUQUERQUE,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'17.113,28.470,1.216,22,1'44.416,203.1,,
4,25,Algarve Pro Racing,Matthias KAISER,Lorenzo FLUXA,Théo POURCHAIRE,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'18.331,29.688,1.218,35,1'45.596,200.8,,
5,99,AO by TF,PJ HYETT,Louis DELÉTRAZ,Dane CAMERON,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,60,3:01'22.070,33.427,3.739,48,1'45.489,201.0,,
6,9,Iron Lynx - Proton,Jonas RIED,Maceo CAPIETTO,Matteo CAIROLI,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'22.774,34.131,0.704,22,1'45.466,201.1,,
7,10,Vector Sport,Ryan CULLEN,Vladislav LOMKO,Pietro FITTIPALDI,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'22.943,34.300,0.169,40,1'44.966,202.0,,
8,22,United Autosports,Manuel MALDONADO,Grégoire SAUCY,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'23.196,34.553,0.253,22,1'45.165,201.7,,
9,18,IDEC Sport,Jamie CHADWICK,Mathys JAUBERT,Daniel JUNCADELLA,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'24.255,35.612,1.059,48,1'45.186,201.6,,
10,28,IDEC Sport,Paul LAFARGUE,Job VAN UITERT,Paul-Loup CHATIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'25.598,36.955,1.343,22,1'45.647,200.7,,
11,29,TDS Racing,Rodrigo SALES,Mathias BECHE,Clément NOVALAK,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,60,3:01'27.379,38.736,1.781,34,1'45.440,201.1,,
12,34,Inter Europol Competition,Pedro PERINO,Jean-Baptiste SIMMENAUER,Luca GHIOTTO,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'32.012,43.369,4.633,22,1'45.390,201.2,,
13,48,VDS Panis Racing,Oliver GRAY,Charles MILESI,Esteban MASSON,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'33.950,45.307,1.938,21,1'43.116,205.7,,
14,30,Duqueine Team,Benjamin PEDERSEN,Roy NISSANY,Reshad DE GÉRUS,,Oreca 07 - Gibson,G,LMP2,,,Classified,60,3:01'42.989,54.346,9.039,35,1'44.413,203.1,,
15,20,Algarve Pro Racing,Kriton LENTOUDIS,Alexander QUINN,Olli CALDWELL,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,60,3:01'44.512,55.869,1.523,35,1'46.112,199.9,,
16,21,United Autosports,Daniel SCHNEIDER,Marino SATO,Oliver JARVIS,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,60,3:01'45.163,56.520,0.651,35,1'44.999,202.0,,
17,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Alessio ROVERA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,60,3:01'50.071,1'01.428,4.908,35,1'45.455,201.1,,
18,4,DKR Engineering,Antti RAMMO,Wyatt BRICHACEK,Mikkel Gaarde PEDERSEN,,Ginetta G61-LT-P325-EVO - Toyota,M,LMP3,,,Classified,57,3:02'34.254,3 Laps,3 Laps,14,1'58.078,179.6,,
19,11,Eurointernational,Fabien MICHAL,Ian AGUILERA,,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,56,3:00'48.069,4 Laps,1 Laps,36,1'56.588,181.9,,
20,88,Inter Europol Competition,Timothy CRESWICK,Douwe DEDECKER,Reece GOLD,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,56,3:01'32.414,4 Laps,44.345,49,1'57.333,180.7,,
21,68,M Racing,Stéphane TRIBAUDINI,Quentin ANTONEL,,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,56,3:01'49.239,4 Laps,16.825,52,1'56.307,182.3,,
22,17,CLX Motorsport,Paul LANCHERE,Adrien CLOSMENIL,Theodor JENSEN,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,56,3:01'51.074,4 Laps,1.835,54,1'56.124,182.6,,
23,35,Ultimate,Louis STERN,Jean-Baptiste LAHAYE,Matthieu LAHAYE,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,56,3:02'02.099,4 Laps,11.025,50,1'57.812,180.0,,
24,8,Team Virage,Julien GERBI,Daniel NOGALES,Rik KOEN,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,56,3:02'03.129,4 Laps,1.030,41,1'56.998,181.3,,
25,82,TF Sport,Hiroshi KOIZUMI,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,56,3:02'15.943,4 Laps,12.814,45,2'01.138,175.1,,
26,50,Richard Mille AF Corse,Custodio TOLEDO,Lilou WADOUX,Riccardo AGOSTINI,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,56,3:02'31.579,4 Laps,15.636,44,2'01.312,174.8,,
27,86,GR Racing,Michael WAINWRIGHT,Riccardo PERA,Tom FLEMING,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,56,3:02'31.961,4 Laps,0.382,43,2'00.443,176.1,,
28,85,Iron Dames,Célia MARTIN,Sarah BOVY,Michelle GATTING,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,55,3:00'27.304,5 Laps,1 Laps,7,2'02.292,173.4,,
29,60,Proton Competition,Horst FELBERMAYR,Matteo CRESSONI,Horst Felix FELBERMAYR,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,55,3:00'42.289,5 Laps,14.985,44,2'01.604,174.4,,
30,59,Racing Spirit of Leman,Clément MATEU,Erwan BASTARD,Valentin HASSE CLOT,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,55,3:00'48.865,5 Laps,6.576,48,2'02.094,173.7,,
31,23,United Autosports,Michael BIRCH,Garnet PATTERSON,Wayne BOYD,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,55,3:01'08.714,5 Laps,19.849,37,1'59.467,177.5,,
32,57,Kessel Racing,Takeshi KIMURA,Ben TUCK,Daniel SERRA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,55,3:01'38.509,5 Laps,29.795,54,2'02.728,172.8,,
33,31,Racing Spirit of Leman,Jacques WOLFF,Jean-Ludovic FOUBERT,Marius FOSSARD,,Ligier JS P325 - Toyota,M,LMP3,,,Classified,55,3:01'41.082,5 Laps,2.573,41,2'00.166,176.5,,
34,66,JMW Motorsport,Scott NOBLE,Jason HART,Gianmaria BRUNI,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,55,3:01'45.112,5 Laps,4.030,49,2'01.466,174.6,,
35,74,Kessel Racing,Andrew GILBERT,Fran RUEDA,Miguel MOLINA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,55,3:01'48.188,5 Laps,3.076,53,2'00.749,175.6,,
36,55,Spirit of Race,Duncan CAMERON,David PEREL,Matthew GRIFFIN,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,55,3:02'26.539,5 Laps,38.351,32,2'02.905,172.6,,
37,51,AF Corse,Charles-Henri SAMANI,Conrad LAURSEN,Davide RIGON,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,54,3:01'46.666,6 Laps,1 Laps,37,2'00.527,176.0,,
