POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,43,5,1:43.381,-,-,205.1,35,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,102667,402,3,5626,256,181,,,INTER EUROPOL,,Jakub,SMIECHOWSKI,S,,POL,,1670,181,,01:00:00,None,Tom,DILLMANN,G,,FRA,,1352,70,,01:00:00,None,Nicholas,YELLOLY,P,,GBR,,8790,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
2,22,5,1:43.825,+0.444,+0.444,204.3,39,United Autosports,LMP2,,,Oreca 07 - Gibson,G,102655,532,3,5626,256,188,,,UNITED,,Manuel,MALDONADO,S,,GBR,,9880,188,,01:00:00,None,Grégoire,SAUCY,G,,SUI,,11255,219,,01:00:00,None,Benjamin,HANLEY,G,,GBR,,1972,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
3,25,4,1:43.849,+0.468,+0.024,204.2,40,Algarve Pro Racing,LMP2,,,Oreca 07 - Gibson,G,102658,92,3,5626,256,184,,,APR,,Matthias,KAISER,S,,SUI,,9546,219,,01:00:00,None,Lorenzo,FLUXA,G,,ESP,,11246,64,,01:00:00,None,Théo,POURCHAIRE,P,,FRA,,11672,70,,01:00:00,None,,,,,,,,,,,,,,,,,,,
4,9,4,1:43.855,+0.474,+0.006,204.2,42,Iron Lynx - Proton,LMP2,,,Oreca 07 - Gibson,G,102646,6371,3,5626,256,5,,,IRONLYNX-PROTON,,Jonas,RIED,S,,GER,,10879,5,,01:00:00,None,Maceo,CAPIETTO,S,,FRA,,11469,70,,01:00:00,None,Matteo,CAIROLI,P,,ITA,,8252,119,,01:00:00,None,,,,,,,,,,,,,,,,,,,
5,30,5,1:44.053,+0.672,+0.198,203.8,42,Duqueine Team,LMP2,,,Oreca 07 - Gibson,G,102662,5981,3,5626,256,70,,,DUQUEINE,,Benjamin,PEDERSEN,S,,USA,,11618,66,,01:00:00,None,Roy,NISSANY,G,,ISR,,11645,118,,01:00:00,None,Reshad,DE GÉRUS,G,,FRA,,10416,70,,01:00:00,None,,,,,,,,,,,,,,,,,,,
6,10,4,1:44.075,+0.694,+0.022,203.8,40,Vector Sport,LMP2,,,Oreca 07 - Gibson,G,102647,6154,3,5626,256,188,,,VECTOR SPORT,,Ryan,CULLEN,S,,GBR,,492,188,,01:00:00,None,Vladislav,LOMKO,G,,FRA,,10868,70,,01:00:00,None,Pietro,FITTIPALDI,G,,BRA,,9171,32,,01:00:00,None,,,,,,,,,,,,,,,,,,,
7,47,7,1:44.084,+0.703,+0.009,203.8,37,CLX Motorsport,LMP2,,,Oreca 07 - Gibson,G,102668,6421,3,5626,256,219,,,CLX MOTORSPORT,,Manuel,ESPIRITO SANTO,S,,POR,,10888,184,,01:00:00,None,Enzo,FITTIPALDI,G,,BRA,,11865,32,,01:00:00,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
8,34,6,1:44.503,+1.122,+0.419,202.9,42,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,102664,402,3,5626,256,181,,,INTER EUROPOL,,Pedro,PERINO,S,,POR,,10862,184,,01:00:00,None,Jean-Baptiste,SIMMENAUER,G,,FRA,,9342,70,,01:00:00,None,Luca,GHIOTTO,P,,ITA,,9577,119,,01:00:00,None,,,,,,,,,,,,,,,,,,,
9,18,6,1:44.592,+1.211,+0.089,202.8,38,IDEC Sport,LMP2,,,Oreca 07 - Gibson,G,102652,522,3,5626,256,70,,,IDEC SPORT,,Jamie,CHADWICK,S,,GBR,,10298,188,,01:00:00,None,Mathys,JAUBERT,S,,FRA,,10748,70,,01:00:00,None,Daniel,JUNCADELLA,P,,ESP,,11275,64,,01:00:00,None,,,,,,,,,,,,,,,,,,,
10,28,7,1:44.878,+1.497,+0.286,202.2,39,IDEC Sport,LMP2,,,Oreca 07 - Gibson,G,102660,522,3,5626,256,70,,,IDEC SPORT,,Paul,LAFARGUE,S,,FRA,,1552,70,,01:00:00,None,Job,VAN UITERT,G,,NED,,8984,178,,01:00:00,None,Paul-Loup,CHATIN,G,,FRA,,313,70,,01:00:00,None,,,,,,,,,,,,,,,,,,,
11,24,4,1:45.083,+1.702,+0.205,201.8,35,Nielsen Racing,LMP2,,,Oreca 07 - Gibson,G,102657,5670,3,5626,256,188,,,NIELSEN RACING,,Cem,BÖLÜKBASI,S,,TUR,,10133,240,,01:00:00,None,Ferdinand,HABSBURG,G,,AUT,,10000,17,,01:00:00,None,Filipe,ALBUQUERQUE,P,,POR,,306,184,,01:00:00,None,,,,,,,,,,,,,,,,,,,
12,99,31,1:45.158,+1.777,+0.075,201.7,37,AO by TF,LMP2 Pro/Am,,,Oreca 07 - Gibson,G,102686,6369,4166,5626,256,66,,,AO BY TF,,PJ,HYETT,B,,USA,,10826,66,,01:00:00,None,Louis,DELÉTRAZ,G,,SUI,,9621,219,,01:00:00,None,Dane,CAMERON,P,,USA,,10328,66,,01:00:00,None,,,,,,,,,,,,,,,,,,,
13,48,20,1:45.207,+1.826,+0.049,201.6,41,VDS Panis Racing,LMP2,,,Oreca 07 - Gibson,G,102669,6426,3,5626,256,70,,,VDS PANIS,,Oliver,GRAY,S,,GBR,,11468,188,,01:00:00,None,Charles,MILESI,G,,FRA,,9594,70,,01:00:00,None,Esteban,MASSON,G,,FRA,,11272,70,,01:00:00,None,,,,,,,,,,,,,,,,,,,
14,21,22,1:45.311,+1.930,+0.104,201.4,37,United Autosports,LMP2 Pro/Am,,,Oreca 07 - Gibson,G,102654,532,4166,5626,256,188,,,UNITED,,Daniel,SCHNEIDER,B,,BRA,,9601,32,,01:00:00,None,Marino,SATO,G,,JPN,,10971,121,,01:00:00,None,Oliver,JARVIS,P,,GBR,,93,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
15,83,11,1:45.526,+2.145,+0.215,201.0,40,AF Corse,LMP2 Pro/Am,,,Oreca 07 - Gibson,G,102682,16,4166,5626,256,119,,,AF CORSE,,François,PERRODO,B,,FRA,,260,70,,01:00:00,None,Matthieu,VAXIVIERE,G,,FRA,,7798,70,,01:00:00,None,Alessio,ROVERA,P,,ITA,,9837,119,,01:00:00,None,,,,,,,,,,,,,,,,,,,
16,37,5,1:45.640,+2.259,+0.114,200.8,36,CLX - Pure Rxcing,LMP2,,,Oreca 07 - Gibson,G,102666,6425,3,5626,256,137,,,CLX PURE RXCING,,Aliaksandr,MALYKHIN,S,,GBR,,10938,188,,01:00:00,None,Tristan,VAUTIER,G,,FRA,,530,70,,01:00:00,None,Tom,BLOMQVIST,P,,GBR,,8318,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
17,77,39,1:45.679,+2.298,+0.039,200.7,39,Proton Competition,LMP2 Pro/Am,,,Oreca 07 - Gibson,G,102680,45,4166,5626,256,5,,,PROTON,,Giorgio,RODA,B,,ITA,,458,119,,01:00:00,None,Rene,BINDER,G,,AUT,,9190,17,,01:00:00,None,Bent,VISCAAL,G,,NED,,10541,178,,01:00:00,None,,,,,,,,,,,,,,,,,,,
18,20,3,1:45.870,+2.489,+0.191,200.3,39,Algarve Pro Racing,LMP2 Pro/Am,,,Oreca 07 - Gibson,G,102653,92,4166,5626,256,184,,,APR,,Kriton,LENTOUDIS,B,,GRE,,9529,79,,01:00:00,None,Alexander,QUINN,G,,GBR,,11463,188,,01:00:00,None,Olli,CALDWELL,G,,GBR,,10295,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
19,27,22,1:46.217,+2.836,+0.347,199.7,36,Nielsen Racing,LMP2 Pro/Am,,,Oreca 07 - Gibson,G,102659,5670,4166,5626,256,188,,,NIELSEN RACING,,John,FALB,B,,USA,,1536,66,,01:00:00,None,James,ALLEN,G,,AUS,,8384,16,,01:00:00,None,Sergio,SETTE CAMARA,G,,BRA,,11964,32,,01:00:00,None,,,,,,,,,,,,,,,,,,,
20,3,34,1:46.786,+3.405,+0.569,198.6,37,DKR Engineering,LMP2 Pro/Am,,,Oreca 07 - Gibson,G,102643,49,4166,5626,256,138,,,DKR ENGINEERING,,Georgios,KOLOVOS,B,,GRE,,11063,79,,01:00:00,None,Laurents,HÖRR,G,,GER,,9124,5,,01:00:00,None,Felipe,FRAGA,G,,BRA,,9540,32,,01:00:00,None,,,,,,,,,,,,,,,,,,,
21,11,6,1:54.617,+11.236,+7.831,185.0,20,Eurointernational,LMP3,,,Ligier JS P325 - Toyota,M,102648,512,6,6268,258,119,,,EUROINTER,,Fabien,MICHAL,B,,FRA,,9756,70,,01:45:00,None,Ian,AGUILERA,S,,GBR,,11035,188,,00:40:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
22,12,18,1:54.741,+11.360,+0.124,184.8,32,WTM by Rinaldi Racing,LMP3,,,Duqueine D09 - Toyota,M,102649,6287,6,6271,4408,5,,,WTM BY RINALDI,,Torsten,KRATZ,B,,GER,,10077,5,,01:45:00,None,Leonard,WEISS,S,,GER,,9872,5,,00:40:00,None,Griffin,PEEBLES,S,,AUS,,11640,16,,00:40:00,None,,,,,,,,,,,,,,,,,,,
23,15,9,1:54.872,+11.491,+0.131,184.6,37,RLR M Sport,LMP3,,,Ligier JS P325 - Toyota,M,102650,530,6,6268,258,188,,,RLR M SPORT,,Michael,JENSEN,B,,DEN,,9543,57,,00:50:00,None,Nick,ADCOCK,B,,RSA,,9534,2,,00:50:00,None,Gillian,HENRION,S,,FRA,,10628,70,,00:40:00,None,,,,,,,,,,,,,,,,,,,
24,8,5,1:55.688,+12.307,+0.816,183.3,34,Team Virage,LMP3,,,Ligier JS P325 - Toyota,M,102645,5892,6,6268,258,181,,,TEAM VIRAGE,,Julien,GERBI,B,,ESP,,9862,64,,01:45:00,None,Daniel,NOGALES,S,,ESP,,11686,64,,00:40:00,None,Rik,KOEN,S,,NED,,11365,178,,00:40:00,None,,,,,,,,,,,,,,,,,,,
25,31,27,1:55.895,+12.514,+0.207,183.0,34,Racing Spirit of Leman,LMP3,,,Ligier JS P325 - Toyota,M,102663,6194,6,6268,258,70,,,RSL,,Jacques,WOLFF,B,,FRA,,8848,70,,00:50:00,None,Jean-Ludovic,FOUBERT,B,,FRA,,9122,70,,00:50:00,None,Marius,FOSSARD,S,,FRA,,11250,70,,00:40:00,None,,,,,,,,,,,,,,,,,,,
26,68,14,1:55.908,+12.527,+0.013,183.0,31,M Racing,LMP3,,,Ligier JS P325 - Toyota,M,102678,6203,6,6268,258,70,,,M RACING,,Stéphane,TRIBAUDINI,B,,FRA,,8880,70,,01:45:00,None,Quentin,ANTONEL,S,,FRA,,11656,70,,00:40:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
