POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,17,Classified,114,4:03:06.143,5 Laps,+16.489,95,1:57.623,165.0,AF Corse,GT,,,Ferrari 488 GT3,M,57872,16,4083,5578,3,119,,,,,Louis,Prette,S,,MCO,,9501,119,,,Min 00:55:00,Vincent,Abril,G,,FRA,,9542,70,,,None,Conrad,Grunewald,B,,USA,,10447,66,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
12,42,Classified,114,4:03:07.441,5 Laps,+1.298,59,1:56.857,166.0,Optimum Motorsport,GT,,,McLaren 720S GT3,M,57877,5576,4083,6044,60,188,,,,,Nicholas,Moss,B,,GBR,,10434,188,,,Min 00:55:00,Andrew,Watson,S,,GBR,,9573,188,,,Min 00:55:00,Joseph,Osborne,G,,GBR,,8256,188,,,None,,,,,,,,,,,,,,,,,,,
13,13,Classified,114,4:03:11.616,5 Laps,+4.175,67,1:55.818,167.5,Inter Europol Competition,LMP3,,,Ligier JS P320-Nissan,M,57863,402,6,6102,,181,,,,,Alexander,Bukhantsov,B,,RUS,,10453,189,,,Min 01:45:00-Max 02:20:00,Nicolas,Pino,S,,CHL,,10281,42,,,Min 00:50:00-Max 01:25:00,Guilherme,Moura de Oliveira,S,,PRT,,10443,184,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
14,26,Classified,114,4:03:31.895,5 Laps,+20.279,107,1:54.401,169.6,G-Drive Racing,LMP3,,,Ligier JS P320-Nissan,M,57866,524,6,6102,,254,,,,,Fabrice,Rossello,B,,FRA,,10431,70,,,Min 01:45:00-Max 02:20:00,Xavier,Lloveras,S,,ESP,,10438,64,,,Min 00:50:00-Max 01:25:00,Viacheslav,Gutak,S,,RUS,,10444,189,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
15,69,Classified,114,4:03:52.573,5 Laps,+20.678,59,1:57.789,164.7,Oman Racing,GT,,,Aston Martin Vantage AMR GT3,M,57884,6129,4083,6085,260,170,,,,,Ahmad,AL Harthy,B,,OMN,,8810,170,,,Min 00:55:00,Samuel,de Haan,S,,GBR,,10441,188,,,Min 00:55:00,Charles,Eastwood,G,,IRL,,9016,116,,,None,,,,,,,,,,,,,,,,,,,
16,91,Classified,113,4:02:13.818,6 Laps,1 Lap,89,1:58.419,163.9,Herberth Motorsport,GT,,,Porsche 911 GT3 R,M,57888,6083,4083,4343,4368,5,,,,,Alfred,Renauer,S,,DEU,,10071,5,,,Min 00:55:00,Robert,Renauer,G,,DEU,,10207,5,,,None,Ralf,Bohn,B,,DEU,,10137,5,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
17,2,Classified,113,4:02:29.861,6 Laps,+16.043,99,1:55.041,168.7,DKR Engineering,LMP3,,,Duqueine M30-D08-Nissan,M,57860,49,6,5979,4408,138,,,,,Laurents,Hoerr,S,,DEU,,9124,5,,,Min 00:50:00-Max 01:25:00,Sebastian,Alvarez,S,,MEX,,10425,64,,,Min 00:50:00-Max 01:25:00,Mathieu,de Barbuat,B,,FRA,,10155,70,,,Min 01:45:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
18,34,Classified,113,4:02:32.229,6 Laps,+2.368,89,1:57.183,165.6,Walkenhorst Motorsport,GT,,,BMW M4 GT3,M,57875,6177,4083,6128,4433,5,,,,,Chandler,Hull,B,,USA,,10403,66,,,Min 00:55:00,Jonathan,Miller,S,,USA,,10405,66,,,Min 00:55:00,Nicky,Catsburg,P,,NLD,,9020,178,,,None,,,,,,,,,,,,,,,,,,,
19,88,Classified,113,4:02:43.017,6 Laps,+10.788,59,1:57.231,165.5,Garage 59,GT,,,McLaren 720S GT3,M,57887,5770,4083,6044,60,188,,,,,Alexander,West,B,,SWE,,8800,221,,,Min 00:55:00,Frankie,Bird,S,,GBR,,10442,188,,,Min 00:55:00,Marvin,Kirchofer,G,,DEU,,10451,5,,,None,,,,,,,,,,,,,,,,,,,
20,6,Classified,113,4:03:31.449,6 Laps,+48.432,63,1:58.066,164.3,Haupt Racing Team,GT,,,Mercedes AMG GT3,M,57869,6182,4083,5592,4314,5,,,,,Hubert,Haupt,S,,DEU,,6986,5,,,Min 00:55:00,Rory,Penttinen,B,,FIN,,9628,69,,,Min 00:55:00,Arjun,Maini,G,,IND,,9355,112,,,None,,,,,,,,,,,,,,,,,,,
