POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,4,21,1:48.625,-,-,178.6,34,Nielsen Racing,LMP2,,,Oreca 07-Gibson,M,57856,5670,3,5626,256,188,,,,,Rodrigo,Sales,B,,USA,,9754,66,,,,Matthew,Bell,S,,GBR,,204,188,,,,Benjamin,Hanley,G,,GBR,,1972,188,,,,,,,,,,,,,,,,,,,,,,
2,49,28,1:49.273,+0.648,+0.648,177.6,30,High Class Racing,LMP2,AM,LMP2-AM,Oreca 07-Gibson,M,57859,5578,3,5626,256,57,,,,,Dennis,Andersen,B,,DNK,,8406,57,,,,Anders,Fjordbach,S,,DNK,,8420,57,,,,Kevin,Weeda,B,,USA,,112,66,,,,,,,,,,,,,,,,,,,,,,
3,39,27,1:50.348,+1.723,+1.075,175.8,33,Graff Racing,LMP2,AM,LMP2-AM,Oreca 07-Gibson,M,57857,4378,3,5626,256,70,,,,,David,Droux,S,,CHE,,1612,219,,,,Eric,Trouillet,B,,FRA,,1542,70,,,,Sebastien,Page,B,,CHE,,9545,219,,,,,,,,,,,,,,,,,,,,,,
4,2,6,1:52.660,+4.035,+2.312,172.2,32,DKR Engineering,LMP3,,,Duqueine M30-D08-Nissan,M,57860,49,6,5979,4408,138,,,,,Laurents,Hoerr,S,,DEU,,9124,5,,,,Sebastian,Alvarez,S,,MEX,,10425,,,,,Mathieu,de Barbuat,B,,FRA,,10155,70,,,,,,,,,,,,,,,,,,,,,,
5,26,3,1:52.965,+4.340,+0.305,171.8,28,G-Drive Racing,LMP3,,,Ligier JS P320-Nissan,M,57866,524,6,6102,,254,,,,,Fabrice,Rossello,B,,FRA,,10431,70,,,,Xavier,Lloveras,S,,ESP,,10438,64,,,,Viacheslav,Gutak,S,,RUS,,10444,189,,,,,,,,,,,,,,,,,,,,,,
6,13,11,1:54.024,+5.399,+1.059,170.2,32,Inter Europol Competition,LMP3,,,Ligier JS P320-Nissan,M,57863,402,6,6102,,181,,,,,Alexander,Bukhantsov,B,,RUS,,8852,40,,,,Nicolas,Pino,S,,CHL,,10281,42,,,,Guilherme,Moura de Oliveira,S,,PRT,,10443,184,,,,,,,,,,,,,,,,,,,,,,
7,8,7,1:55.261,+6.636,+1.237,168.3,24,Nielsen Racing,LMP3,,,Ligier JS P320-Nissan,M,57862,5670,6,6102,,188,,,,,Anthony,Wells,B,,GBR,,582,188,,,,Colin,Noble,S,,GBR,,8474,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,27,5,1:55.335,+6.710,+0.074,168.2,17,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,57867,5840,6,6102,,64,,,,,Christophe,Cresp,B,,FRA,,9632,70,,,,Antoine,Doquin,B,,FRA,,9884,70,,,,Steven,Palette,S,,FRA,,7600,70,,,,,,,,,,,,,,,,,,,,,,
9,3,6,1:55.522,+6.897,+0.187,168.0,17,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,57861,5840,6,6102,,64,,,,,Michael,Jensen,B,,DNK,,9543,57,,,,Nicholas,Adcock,B,,GBR,,9627,,,,,Edouard,Cauhaupe,S,,FRA,,9652,70,,,,,,,,,,,,,,,,,,,,,,
10,44,14,1:55.779,+7.154,+0.257,167.6,24,ARC Bratislava,LMP2,AM,LMP2-AM,Ligier JSP217-Gibson,M,57858,562,3,5628,258,213,,,,,Miroslav,Konopka,B,,SVK,,786,213,,,,Neale,Muston,B,,AUS,,8864,16,,,,John,Corbett,B,,AUS,,8816,16,,,,,,,,,,,,,,,,,,,,,,
11,21,6,1:55.876,+7.251,+0.097,167.5,35,Konrad Motorsport,LMP3,,,Ginetta G61-LT-P315-EVO-Nissan,M,57864,212,6,6130,64,5,,,,,Gabriele,Rindone,B,,LUX,,,,,,,Jordan,Grogor,S,,ZAF,,1180,2,,,,Shaun,Thong,S,,HKG,,,,,,,,,,,,,,,,,,,,,,,,,
12,22,5,1:56.194,+7.569,+0.318,167.0,30,Rinaldi Racing,LMP3,,,Duqueine M30-D08-Nissan,M,57865,6020,6,5979,4408,5,,,,,Leonard,Weiss,S,,DEU,,9872,5,,,,Torsten,Kratz,B,,DEU,,10315,,,,,Hendrik,Still,S,,DEU,,8998,5,,,,,,,,,,,,,,,,,,,,,,
