POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,4,25,1:47.016,-,-,181.3,43,Nielsen Racing,LMP2,,,Oreca 07-Gibson,M,57856,5670,3,5626,256,188,,,,,Rodrigo,Sales,B,,USA,,9754,66,,,,Matthew,Bell,S,,GBR,,204,188,,,,Benjamin,Hanley,G,,GBR,,1972,188,,,,,,,,,,,,,,,,,,,,,,
2,39,21,1:48.639,+1.623,+1.623,178.6,32,Graff Racing,LMP2,AM,LMP2-AM,Oreca 07-Gibson,M,57857,4378,3,5626,256,70,,,,,David,Droux,,,CHE,,1612,219,,,,Eric,Trouillet,,,FRA,,1542,70,,,,Sebastien,Page,,,CHE,,9545,219,,,,,,,,,,,,,,,,,,,,,,
3,49,2,1:49.182,+2.166,+0.543,177.7,35,High Class Racing,LMP2,AM,LMP2-AM,Oreca 07-Gibson,M,57859,5578,3,5626,256,57,,,,,Dennis,Andersen,B,,DNK,,8406,57,,,,Anders,Fjordbach,S,,DNK,,8420,57,,,,Kevin,Weeda,B,,USA,,112,66,,,,,,,,,,,,,,,,,,,,,,
4,44,34,1:51.777,+4.761,+2.595,173.6,37,ARC Bratislava,LMP2,AM,LMP2-AM,Ligier JSP217-Gibson,M,57858,562,3,5628,258,213,,,,,Miro,Konopka,B,,SVK,,786,213,,,,Neale,Muston,B,,AUS,,8864,16,,,,John,Corbett,B,,AUS,,8816,16,,,,,,,,,,,,,,,,,,,,,,
5,2,25,1:51.951,+4.935,+0.174,173.3,38,DKR Engineering,LMP3,,,Duqueine M30-D08-Nissan,M,57860,49,6,5979,4408,138,,,,,Laurents,Hoerr,S,,DEU,,9124,5,,,,Sebastian,Alvarez,S,,MEX,,10425,,,,,Mathieu,de Barbuat,B,,FRA,,10155,70,,,,,,,,,,,,,,,,,,,,,,
6,13,31,1:52.437,+5.421,+0.486,172.6,32,Inter Europol Competition,LMP3,,,Ligier JS P320-Nissan,M,57863,402,6,6102,,181,,,,,Alexander,Bukhantsov,B,,RUS,,8852,40,,,,Nicolas,Pino,S,,CHL,,10281,42,,,,Guilherme,Moura de Oliveira,S,,PRT,,10443,184,,,,,,,,,,,,,,,,,,,,,,
7,3,13,1:53.511,+6.495,+1.074,170.9,38,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,57861,5840,6,6102,,64,,,,,Michael,Jensen,B,,DNK,,9543,57,,,,Nicholas,Adcock,B,,GBR,,9627,,,,,Edouard,Cauhaupe,S,,FRA,,9652,70,,,,,,,,,,,,,,,,,,,,,,
8,8,25,1:54.313,+7.297,+0.802,169.7,31,Nielsen Racing,LMP3,,,Ligier JS P320-Nissan,M,57862,5670,6,6102,,188,,,,,Anthony,Wells,B,,GBR,,582,188,,,,Colin,Noble,S,,GBR,,8474,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26,33,1:54.369,+7.353,+0.056,169.7,38,G-Drive Racing,LMP3,,,Ligier JS P320-Nissan,M,57866,524,6,6102,,254,,,,,Fabrice,Rossello,B,,FRA,,10431,70,,,,Xavier,Lloveras,S,,ESP,,10438,64,,,,Viacheslav,Gutak,S,,RUS,,10444,189,,,,,,,,,,,,,,,,,,,,,,
10,21,9,1:54.618,+7.602,+0.249,169.3,35,Konrad Motorsport,LMP3,,,Ginetta G61-LT-P315-EVO-Nissan,M,57864,212,6,6130,64,5,,,,,Franz,Konrad,B,,AUT,,909,17,,,,Jordan,Grogor,S,,ZAF,,1180,2,,,,Shaun,Thong,S,,HKG,,,,,,,,,,,,,,,,,,,,,,,,,
