POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,52,Classified,435,10:01:42.652,8 Laps,+4.693,356,1:13.709,199.6,Inter Europol by PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Tom,Dillmann,Gold,"Mulhouse, France",FRA,,,,,,,Jakub,Smiechowski,Silver,"Warsaw, Poland",POL,,,,,,,Nick,Boulle,Bronze,"Dallas, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,
12,8,Classified,435,10:01:45.431,8 Laps,+2.779,428,1:13.707,199.7,Tower Motorsports,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Sebastian,Alvarez,Silver,"Mexico City, Mexico",MEX,,,,,,,John,Farano,Bronze,"Toronto, ON",CAN,,,,,,,Frederik,Vesti,Platinium,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,
13,88,Classified,434,10:01:01.410,9 Laps,1 Lap,414,1:13.564,200.0,Richard Mille AF Corse,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Lilou,Wadoux Ducellier,Silver,"Amiens, France",FRA,,,,,,,Nicklas,Nielsen,Platinum,"Uldum, Denmark",DNK,,,,,,,Luis,Perez Companc,Bronze,"Buenos Aires, Argentina",ARG,,,,,,,,,,,,,,,,,,,,,,,,,
14,99,Classified,432,10:01:51.854,11 Laps,2 Laps,411,1:13.999,198.9,AO Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Matt,Brabham,Silver,"Indianapolis, IN",USA,,,,,,,Paul-Loup,Chatin,Gold,"Chartres, France",FRA,,,,,,,PJ,Hyett,Bronze,"West Chicago, IL",USA,,,,,,,,,,,,,,,,,,,,,,,,,
15,63,Classified,430,10:01:33.639,13 Laps,2 Laps,415,1:11.981,204.4,Lamborghini Iron Lynx,GTP,,,Lamborghini SC63,M,,,,,,,,,,,Romain,Grosjean,Platinum,"Geneva, Switzerland",CHE,,,,,,,Andrea,Caldarelli,Platinum,"Pescara, Italy",ITA,,,,,,,Matteo,Cairoli,Platinum,"Como, Italy",ITA,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,Classified,417,10:00:37.042,26 Laps,13 Laps,190,1:14.082,198.6,MDK by High Class Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Scott,Huffaker,Gold,"Menlo Park, CA",USA,,,,,,,Seth,Lucas,Silver,"Powell, OH",USA,,,,,,,Dennis,Andersen,Bronze,"Vejle, Denmark",DNK,,,,,,,,,,,,,,,,,,,,,,,,,
17,19,Classified,413,10:01:14.785,30 Laps,4 Laps,394,1:19.476,185.2,Iron Lynx,GTDPRO,,,Lamborghini Huracan GT3 EVO2,M,,,,,,,,,,,Mirko,Bortolotti,Platinum,"Riva del Garda, Italy",ITA,,,,,,,Jordan,Pepper,Platinum,"Midrand, South Africa",ZAF,,,,,,,Franck,Perera,Platinum,"Montpellier, France",FRA,,,,,,,,,,,,,,,,,,,,,,,,,
18,62,Classified,413,10:01:17.146,30 Laps,+2.361,388,1:19.424,185.3,Risi Competizione,GTDPRO,,,Ferrari 296 GT3,M,,,,,,,,,,,Alessandro,Pier Guidi,Platinum,"Tortona, Italy",ITA,,,,,,,Davide,Rigon,Platinum,"Cervia, Italy",ITA,,,,,,,Daniel,Serra,Platinum,"Sao Paulo, Brazil",BRA,,,,,,,,,,,,,,,,,,,,,,,,,
19,23,Classified,413,10:01:18.991,30 Laps,+1.845,389,1:18.954,186.4,Heart of Racing Team,GTDPRO,,,Aston Martin Vantage GT3 Evo,M,,,,,,,,,,,Roman,De Angelis,Gold,"Windsor , ON",CAN,,,,,,,Alex,Riberas,Gold,"Barcelona, Spain",ESP,,,,,,,Ross,Gunn,Platinum,"Great Missenden, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,
20,027,Classified,413,10:01:42.130,30 Laps,+23.139,389,1:19.955,184.1,Heart of Racing Team,GTDPRO,,,Aston Martin Vantage GT3 Evo,M,,,,,,,,,,,Zacharie,Robichon,Silver,"Ottawa, ON",CAN,,,,,,,Marco,Sorensen,Platinum,"Godthaab, Denmark",DNK,,,,,,,Mario,Farnbacher,Gold,"Ansbach, Germany",DEU,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,Classified,413,10:01:48.961,30 Laps,+6.831,406,1:19.779,184.5,Corvette Racing by Pratt Miller Motorsports,GTDPRO,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Daniel,Juncadella,Platinum,"Barcelona, Spain",ESP,,,,,,,Alexander,Sims,Platinum,"Alcester, United Kingdom",GBR,,,,,,,Antonio,Garcia,Platinum,"Madrid, Spain",ESP,,,,,,,,,,,,,,,,,,,,,,,,,
22,65,Classified,412,10:01:44.092,31 Laps,1 Lap,147,1:19.824,184.4,Ford Multimatic Motorsports,GTDPRO,,,Ford Mustang GT3,M,,,,,,,,,,,Frederic,Vervisch,Gold,"Middelkerke, Belgium",BEL,,,,,,,Dirk,Mueller,Platinum,"Taegerwilen, Switzerland",CHE,,,,,,,Joey,Hand,Gold,"Wilton, CA",USA,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,Classified,412,10:01:54.231,31 Laps,+10.139,337,1:20.365,183.1,Paul Miller Racing,GTDPRO,,,BMW M4 GT3,M,,,,,,,,,,,Neil,Verhagen,Gold,"Mooresville, NC",USA,,,,,,,Madison,Snow,Gold,"Salt Lake City, UT",USA,,,,,,,Bryan,Sellers,Gold,"Flowery Branch, GA",USA,,,,,,,,,,,,,,,,,,,,,,,,,
24,64,Classified,411,10:01:44.880,32 Laps,1 Lap,26,1:19.687,184.7,Ford Multimatic Motorsports,GTDPRO,,,Ford Mustang GT3,M,,,,,,,,,,,Christopher,Mies,Platinum,"Erkrath, Germany",DEU,,,,,,,Mike,Rockenfeller,Platinum,"Landschlacht, Switzerland",CHE,,,,,,,Harry,Tincknell,Platinum,"London, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,
25,34,Classified,411,10:01:47.779,32 Laps,+2.899,222,1:19.893,184.2,Conquest Racing,GTD,,,Ferrari 296 GT3,M,,,,,,,,,,,Cedric,Sbirrazzuoli,Silver,Monaco,MCO,,,,,,,Albert,Costa Balboa,Platinum,"Barcelona, Spain",ESP,,,,,,,Manny,Franco,Silver,"Milwaukee, WI",USA,,,,,,,,,,,,,,,,,,,,,,,,,
26,78,Classified,411,10:01:48.497,32 Laps,+0.718,338,1:19.812,184.4,Forte Racing,GTD,,,Lamborghini Huracan GT3 EVO2,M,,,,,,,,,,,Devlin,Defrancesco,Silver,"Miami, FL",USA,,,,,,,Loris,Spinelli,Gold,"Montesilvano, Italy",ITA,,,,,,,Misha,Goikhberg,Silver,"Woodbridge, ON",CAN,,,,,,,,,,,,,,,,,,,,,,,,,
27,12,Classified,410,10:00:39.068,33 Laps,1 Lap,353,1:19.929,184.1,VasserSullivan,GTD,,,Lexus RC F GT3,M,,,,,,,,,,,Aaron,Telitz,Gold,"Birchwood, WI",USA,,,,,,,Parker,Thompson,Silver,"Red Deer, AB",CAN,,,,,,,Frankie,Montecalvo,Silver,"Highlands, NJ",USA,,,,,,,,,,,,,,,,,,,,,,,,,
28,32,Classified,410,10:00:42.431,33 Laps,+3.363,255,1:20.504,182.8,Korthoff/Preston Motorsports,GTD,,,Mercedes-AMG GT3,M,,,,,,,,,,,Mike,Skeen,Silver,"Charlotte, NC",USA,,,,,,,Kenton,Koch,Silver,"Charlotte, NC",USA,,,,,,,Mikael,Grenier,Gold,"Québec, QC",CAN,,,,,,,,,,,,,,,,,,,,,,,,,
29,023,Classified,410,10:00:43.286,33 Laps,+0.855,358,1:19.683,184.7,Triarsi Competizione,GTD,B,,Ferrari 296 GT3,M,,,,,,,,,,,Alessio,Rovera,Platinum,"Varese, Italy",ITA,,,,,,,Charles,Scardina,Bronze,"Miami, FL",USA,,,,,,,Onofrio,Triarsi,Silver,"Orlando, FL",USA,,,,,,,,,,,,,,,,,,,,,,,,,
30,45,Classified,410,10:00:47.882,33 Laps,+4.596,221,1:19.999,183.9,Wayne Taylor Racing with Andretti,GTD,,,Lamborghini Huracan GT3 EVO2,M,,,,,,,,,,,Graham,Doyle,Silver,"Belleair, FL",USA,,,,,,,Danny,Formal,Silver,"San Jose, Costa Rica",CRI,,,,,,,Kyle,Marcelli,Gold,"Toronto, ON",CAN,,,,,,,,,,,,,,,,,,,,,,,,,
31,21,Classified,410,10:00:48.509,33 Laps,+0.627,265,1:20.256,183.4,AF Corse,GTD,B,,Ferrari 296 GT3,M,,,,,,,,,,,Miguel,Molina,Platinum,"Lloret de Mar, Spain",ESP,,,,,,,Francois,Heriau,Bronze,"Rennes, France",FRA,,,,,,,Simon,Mann,Silver,"Lausanne, Switzerland",CHE,,,,,,,,,,,,,,,,,,,,,,,,,
32,70,Classified,410,10:01:18.084,33 Laps,+29.575,294,1:20.237,183.4,Inception Racing,GTD,B,,Ferrari 296 GT3,M,,,,,,,,,,,Ollie,Millroy,Silver,"Reading, United Kingdom",GBR,,,,,,,Frederik,Schandorff,Gold,"Aarhus, Denmark",DNK,,,,,,,Brendan,Iribe,Bronze,"Los Angeles, CA",USA,,,,,,,,,,,,,,,,,,,,,,,,,
33,57,Classified,410,10:01:46.482,33 Laps,+28.398,387,1:20.459,182.9,WINWARD RACING,GTD,,,Mercedes-AMG GT3,M,,,,,,,,,,,Indy,Dontje,Silver,"Amsterdam, Netherlands",NLD,,,,,,,Philip,Ellis,Gold,"Munich, Germany",GBR,,,,,,,Russell,Ward,Silver,"Seabrook, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,
34,96,Classified,409,10:00:47.169,34 Laps,1 Lap,334,1:19.924,184.1,Turner Motorsport,GTD,,,BMW M4 GT3,M,,,,,,,,,,,Jake,Walker,Silver,"Phoenixville, PA",USA,,,,,,,Patrick,Gallagher,Silver,"Thornville, OH",USA,,,,,,,Robby,Foley,Gold,"Randolph, NJ",USA,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,Classified,408,10:00:44.857,35 Laps,1 Lap,358,1:19.866,184.3,Pfaff Motorsports,GTDPRO,,,McLaren 720S GT3 EVO,M,,,,,,,,,,,James,Hinchcliffe,Gold,"Oakville, ON",CAN,,,,,,,Oliver,Jarvis,Platinum,"Newmarket, United Kingdom",GBR,,,,,,,Marvin,Kirchhöfer,Platinum,"Leipzig, Switzerland",CHE,,,,,,,,,,,,,,,,,,,,,,,,,
36,80,Classified,408,10:00:58.802,35 Laps,+13.945,54,1:19.768,184.5,Lone Star Racing,GTD,,,Mercedes-AMG GT3,M,,,,,,,,,,,Scott,Andrews,Gold,"Torquay, Australia",AUS,,,,,,,Rui,Pinto de Andrade,Silver,"Luanda, Portugal",AGO,,,,,,,Salih,Yoluc,Silver,"London, United Kingdom",TUR,,,,,,,,,,,,,,,,,,,,,,,,,
37,82,Classified,408,10:01:04.013,35 Laps,+5.211,257,1:20.086,183.8,DragonSpeed,GTDPRO,,,Ferrari 296 GT3,M,,,,,,,,,,,Vincent,Abril,Gold,Monaco,MCO,,,,,,,Thomas,Neubauer,Gold,Paris,FRA,,,,,,,Toni,Vilander,Platinum,"Kankaanpää, Finland",FIN,,,,,,,,,,,,,,,,,,,,,,,,,
38,77,Classified,408,10:01:43.458,35 Laps,+39.445,4,1:19.447,185.2,AO Racing,GTDPRO,,,Porsche 911 GT3 R (992),M,,,,,,,,,,,Julien,Andlauer,Gold,"Lyon, France",FRA,,,,,,,Michael,Christensen,Platinum,"Copenhagen, Denmark",DNK,,,,,,,Laurin,Heinrich,Gold,"Würzburg, Germany",DEU,,,,,,,,,,,,,,,,,,,,,,,,,
39,13,Classified,407,10:00:51.100,36 Laps,1 Lap,400,1:20.575,182.6,AWA,GTD,B,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Lars,Kern,Silver,"Wiernsheim, Germany",DEU,,,,,,,Matthew,Bell,Gold,"Newcastle Upon Tyne, United Kingdom",GBR,,,,,,,Orey,Fidani,Bronze,"Toronto, ON",CAN,,,,,,,,,,,,,,,,,,,,,,,,,
40,66,Classified,406,10:01:03.454,37 Laps,1 Lap,262,1:20.692,182.4,Gradient Racing,GTD,B,,Acura NSX GT3,M,,,,,,,,,,,Stevan,McAleer,Gold,"Glasgow, Scotland",GBR,,,,,,,Tati,Calderon,Silver,"Bogota City, Colombia",COL,,,,,,,Sheena,Monk,Bronze,"Newtown, PA",USA,,,,,,,,,,,,,,,,,,,,,,,,,
41,10,Classified,405,9:04:52.234,38 Laps,1 Lap,400,1:12.422,203.2,Wayne Taylor Racing with Andretti,GTP,,,Acura ARX-06,M,,,,,,,,,,,Brendon,Hartley,Platinum,"Palmerston North, New Zealand",NZL,,,,,,,Filipe,Albuquerque,Platinum,"Coimbra, Portugal",PRT,,,,,,,Ricky,Taylor,Platinum,"Lake Mary, FL",USA,,,,,,,,,,,,,,,,,,,,,,,,,
42,83,Classified,404,10:01:04.595,39 Laps,1 Lap,381,1:20.384,183.1,Iron Dames,GTD,B,,Lamborghini Huracan GT3 EVO2,M,,,,,,,,,,,Sarah,Bovy,Bronze,"Brussels, Belgium",BEL,,,,,,,Michelle,Gatting,Gold,"Vedbaek, Denmark",DNK,,,,,,,Rahel,Frey,Silver,"Aedermannsdorf, Switzerland",CHE,,,,,,,,,,,,,,,,,,,,,,,,,
43,47,Classified,402,10:01:05.115,41 Laps,2 Laps,243,1:20.474,182.9,CETILAR RACING,GTD,B,,Ferrari 296 GT3,M,,,,,,,,,,,Antonio,Fuoco,Platinum,Monaco,MCO,,,,,,,Giorgio,Sernagiotto,Silver,"Asolo, Italy",ITA,,,,,,,Roberto,Lacorte,Bronze,"Pisa, Italy",ITA,,,,,,,,,,,,,,,,,,,,,,,,,
44,86,Classified,397,9:44:39.836,46 Laps,5 Laps,145,1:20.113,183.7,MDK Motorsports,GTD,,,Porsche 911 GT3 R (992),M,,,,,,,,,,,Klaus,Bachler,Platinum,"Unzmarkt, Austria",AUT,,,,,,,Anders,Fjordbach,Silver,"Aalborg, Denmark",DNK,,,,,,,Kerong,Li,Silver,"Xian, China",CHN,,,,,,,,,,,,,,,,,,,,,,,,,
45,120,Classified,373,9:04:24.581,70 Laps,24 Laps,99,1:20.106,183.7,Wright Motorsports,GTD,,,Porsche 911 GT3 R (992),M,,,,,,,,,,,Jan,Heylen,Gold,"Dunedin, FL",USA,,,,,,,Elliott,Skeer,Silver,"San Diego, CA",USA,,,,,,,Adam,Adelson,Silver,"Los Angeles, CA",USA,,,,,,,,,,,,,,,,,,,,,,,,,
46,55,Classified,372,9:01:09.687,71 Laps,1 Lap,222,1:20.499,182.8,Proton Competition,GTD,B,,Ford Mustang GT3,M,,,,,,,,,,,Corey,Lewis,Silver,"Nazareth, PA",USA,,,,,,,Giammarco,Levorato,Silver,"Padua, Italy",ITA,,,,,,,Ryan,Hardwick,Bronze,"Atlanta, GA",USA,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,Classified,357,10:01:41.000,86 Laps,15 Laps,5,1:19.703,184.6,Corvette Racing by Pratt Miller Motorsports,GTDPRO,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Earl,Bamber,Platinum,"Wanganui, New Zealand",NZL,,,,,,,Nicky,Catsburg,Platinum,"Amersfoort, Netherlands",NLD,,,,,,,Tommy,Milner,Platinum,"Middleburg, VA",USA,,,,,,,,,,,,,,,,,,,,,,,,,
48,22,Classified,248,6:21:53.487,195 Laps,109 Laps,203,1:14.006,198.8,United Autosports USA,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Bijoy,Garg,Silver,"Atherton, CA",USA,,,,,,,Paul,Di Resta,Platinum,Monaco,MCO,,,,,,,Daniel,Goldburg,Bronze,"Delray Beach, FL",USA,,,,,,,,,,,,,,,,,,,,,,,,,
49,25,Classified,170,3:53:54.936,273 Laps,78 Laps,2,1:12.408,203.2,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,,,,,,,,,,,Maxime,Martin,Platinum,"Brussels, Belgium",BEL,,,,,,,Nick,Yelloly,Platinum,"Solihull, United Kingdom",GBR,,,,,,,Connor,De Phillippi,Gold,"Cornelius, NC",USA,,,,,,,,,,,,,,,,,,,,,,,,,
50,85,Classified,160,3:41:09.393,283 Laps,10 Laps,72,1:12.501,203.0,JDC-Miller MotorSports,GTP,,,Porsche 963,M,,,,,,,,,,,Phil,Hanson,Gold,"London, United Kingdom",GBR,,,,,,,Richard,Westbrook,Platinum,"Bath, United Kingdom",GBR,,,,,,,Tijmen,van der Helm,Gold,"Den Hoorn, Netherlands",NLD,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,Classified,116,3:59:37.507,327 Laps,44 Laps,4,1:14.358,197.9,United Autosports USA,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Nico,Pino,Silver,"Santiago, Chile",CHL,,,,,,,Ben,Hanley,Gold,"Accrington, United Kingdom",GBR,,,,,,,Ben,Keating,Bronze,"Victoria, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,
52,14,Classified,113,2:50:14.815,330 Laps,3 Laps,84,1:20.612,182.6,VasserSullivan,GTDPRO,,,Lexus RC F GT3,M,,,,,,,,,,,Kyle,Kirkwood,Gold,"Jupiter, FL",USA,,,,,,,Ben,Barnicoat,Platinum,"Chesterfield, United Kingdom",GBR,,,,,,,Jack,Hawksworth,Gold,"Bradford, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,
53,44,Classified,14,20:17.424,429 Laps,99 Laps,13,1:21.384,180.8,Magnus Racing,GTD,B,,Aston Martin Vantage GT3 Evo,M,,,,,,,,,,,Spencer,Pumpelly,Silver,"Atlanta, GA",USA,,,,,,,Andy,Lally,Gold,"Northport, NY",USA,,,,,,,John,Potter,Bronze,"Salt Lake City, UT",USA,,,,,,,,,,,,,,,,,,,,,,,,,
