POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;7;Classified;705;24:01:20.108;-;-;493;1:36.414;213.9;Porsche Penske Motorsport;GTP;;;Porsche 963;M;;;;;;;;;;;Felipe;Nasr;Platinum;Brasilia;BRA;;;;;;;Julien;Andlauer;Gold;Lyon, France;FRA;;;;;;;Laurin;Heinrich;Gold;Würzburg, Germany;DEU;;;;;;;;;;;;;;;;;;;;;;;;;
2;31;Classified;705;24:01:21.677;+1.569;+1.569;493;1:36.236;214.3;Cadillac Whelen;GTP;;;Cadillac V-Series.R;M;;;;;;;;;;;Jack;Aitken;Platinum;London, United Kingdom;GBR;;;;;;;Earl;Bamber;Platinum;Wanganui, New Zealand;NZL;;;;;;;Frederik;Vesti;Platinum;Billund, Denmark;DNK;;;;;;;Connor;Zilisch;Gold;Mooresville, NC;USA;;;;;;;;;;;;;;;;;;;
3;24;Classified;705;24:01:41.494;+21.386;+19.817;519;1:36.584;213.5;BMW M Team WRT;GTP;;;BMW M Hybrid V8;M;;;;;;;;;;;Sheldon;van der Linde;Platinum;Johannesburg, South Africa;ZAF;;;;;;;Dries;Vanthoor;Platinum;Zolder, Belgium;BEL;;;;;;;Robin;Frijns;Platinum;Kreuzlingen;NLD;;;;;;;Rene;Rast;Platinum;Bregenz, Austria;AUT;;;;;;;;;;;;;;;;;;;
4;6;Classified;705;24:01:51.930;+31.822;+10.436;491;1:35.826;215.2;Porsche Penske Motorsport;GTP;;;Porsche 963;M;;;;;;;;;;;Laurens;Vanthoor;Platinum;Heusden-Zolder, Belgium;BEL;;;;;;;Kevin;Estre;Platinum;Lyon, France;FRA;;;;;;;Matt;Campbell;Platinum;Warwick, Queensland;AUS;;;;;;;;;;;;;;;;;;;;;;;;;
5;93;Classified;705;24:02:05.785;+45.677;+13.855;522;1:36.058;214.7;Acura Meyer Shank Racing w/Curb Agajanian;GTP;;;Acura ARX-06;M;;;;;;;;;;;Renger;van der Zande;Platinum;Amsterdam, Netherlands;NLD;;;;;;;Nick;Yelloly;Platinum;Solihull, United Kingdom;GBR;;;;;;;Alex;Palou;Platinum;Barcelona, Spain;ESP;;;;;;;Kaku;Ohta;Gold;Kyoto,Japan;JPN;;;;;;;;;;;;;;;;;;;
6;40;Classified;705;24:02:14.125;+54.017;+8.340;491;1:36.401;214.0;Cadillac Wayne Taylor Racing;GTP;;;Cadillac V-Series.R;M;;;;;;;;;;;Jordan;Taylor;Platinum;Orlando, FL;USA;;;;;;;Louis;Deletraz;Gold;Geneva, Switzerland;CHE;;;;;;;Colton;Herta;Platinum;Valencia, CA;USA;;;;;;;;;;;;;;;;;;;;;;;;;
7;85;Classified;705;24:02:30.844;+1:10.736;+16.719;495;1:36.761;213.2;JDC-Miller MotorSports;GTP;;;Porsche 963;M;;;;;;;;;;;Tijmen;van der Helm;Gold;Den Hoorn;NLD;;;;;;;Nico;Pino;Silver;Santiago, Chile;CHL;;;;;;;Kaylen;Frederick;Gold;Potomac, MD;USA;;;;;;;;;;;;;;;;;;;;;;;;;
8;25;Classified;705;24:02:33.551;+1:13.443;+2.707;491;1:36.664;213.4;BMW M Team WRT;GTP;;;BMW M Hybrid V8;M;;;;;;;;;;;Raffaele;Marciello;Platinum;Breganzona, Switzerland;ITA;;;;;;;Philipp;Eng;Platinum;Sankt Lorenz, Austria;AUT;;;;;;;Marco;Wittmann;Platinum;Fuerth, Germany;DEU;;;;;;;Kevin;Magnussen;Platinum;Roskilde, Denmark;DNK;;;;;;;;;;;;;;;;;;;
9;60;Classified;705;24:02:42.671;+1:22.563;+9.120;492;1:36.677;213.3;Acura Meyer Shank Racing w/Curb Agajanian;GTP;;;Acura ARX-06;M;;;;;;;;;;;Tom;Blomqvist;Platinum;Cambridge, UK;GBR;;;;;;;Colin;Braun;Gold;Ovalo, TX;USA;;;;;;;Scott;Dixon;Platinum;Auckland, New Zealand;NZL;;;;;;;AJ;Allmendinger;Gold;San Jose, CA;USA;;;;;;;;;;;;;;;;;;;
10;04;Classified;686;24:02:51.332;19 Laps;19 Laps;501;1:39.387;207.5;Crowdstrike Racing by APR;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;George;Kurtz;Bronze;Scottsdale, AZ;USA;;;;;;;Alex;Quinn;Gold;Cornwall, UK;GBR;;;;;;;Toby;Sowery;Silver;Cambridge, United Kingdom;GBR;;;;;;;Malthe;Jakobsen;Gold;Sennels, Denmark;DNK;;;;;;;;;;;;;;;;;;;
11;43;Classified;686;24:02:56.922;19 Laps;+5.590;526;1:40.150;205.9;Inter Europol Competition;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;Tom;Dillmann;Gold;Mulhouse, France;FRA;;;;;;;Bijoy;Garg;Silver;Atherton, CA;USA;;;;;;;Antonio;Felix da Costa;Platinum;cascais, Portugal;PRT;;;;;;;Jeremy;Clarke;Bronze;Manhattan Beach, CA;USA;;;;;;;;;;;;;;;;;;;
12;343;Classified;685;24:01:41.793;20 Laps;1 Lap;483;1:40.148;205.9;Inter Europol Competition;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;Jakub;Smiechowski;Silver;;POL;;;;;;;George;Kolovos;Bronze;ATHENS;GRC;;;;;;;Nolan;Siegel;Gold;Palo Alto, CA;USA;;;;;;;Nick;Cassidy;Platinum;Auckland;NZL;;;;;;;;;;;;;;;;;;;
13;22;Classified;685;24:01:51.119;20 Laps;+9.326;498;1:40.179;205.9;United Autosports USA;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;Daniel;Goldburg;Bronze;Delray Beach, FL;USA;;;;;;;Paul;Di Resta;Platinum;Monaco;GBR;;;;;;;Rasmus;Lindh;Silver;Gothenburg, Sweden;SWE;;;;;;;Grégoire;Saucy;Gold;Develier;CHE;;;;;;;;;;;;;;;;;;;
14;99;Classified;685;24:01:57.883;20 Laps;+6.764;188;1:40.348;205.5;AO Racing;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;PJ;Hyett;Bronze;St Charles, IL;USA;;;;;;;Dane;Cameron;Platinum;Glen Ellen, CA;USA;;;;;;;Jonny;Edgar;Silver;Asby, United Kingdom;GBR;;;;;;;Christian;Rasmussen;Gold;Copenhagen;DNK;;;;;;;;;;;;;;;;;;;
15;52;Classified;685;24:02:05.297;20 Laps;+7.414;210;1:40.713;204.8;Bryan Herta Autosport with PR1/Mathiasen;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;Misha;Goikhberg;Bronze;Woodbridge, ON;CAN;;;;;;;Ben;Keating;Bronze;Victoria, TX;USA;;;;;;;Parker;Thompson;Silver;Red Deer, AB;CAN;;;;;;;Harry;Tincknell;Platinum;London, United Kingdom;GBR;;;;;;;;;;;;;;;;;;;
16;37;Classified;684;24:01:58.285;21 Laps;1 Lap;479;1:40.309;205.6;Intersport Racing;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;Jon;Field;Bronze;Nashville, TN;USA;;;;;;;Oliver;Jarvis;Platinum;Newmarket, United Kingdom;GBR;;;;;;;Seth;Lucas;Silver;Powell, OH;USA;;;;;;;Job;Van Uitert;Gold;Dongen, Netherlands;NLD;;;;;;;;;;;;;;;;;;;
17;8;Classified;676;24:02:26.621;29 Laps;8 Laps;481;1:40.621;205.0;Tower Motorsports;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;John;Farano;Bronze;Toronto, ON;CAN;;;;;;;Sebastien;Bourdais;Platinum;Le Mans, France;FRA;;;;;;;Sebastian;Alvarez;Silver;Mexico City, Mexico;MEX;;;;;;;Kyffin;Simpson;Gold;Cayman Islands;CYM;;;;;;;;;;;;;;;;;;;
18;18;Classified;670;24:02:57.693;35 Laps;6 Laps;476;1:40.476;205.3;Era Motorsport;LMP2;;;ORECA LMP2 07;M;;;;;;;;;;;Naveen;Rao;Bronze;San Diego, CA;USA;;;;;;;Ferdinand;Habsburg;Gold;Vienna, Austria;AUT;;;;;;;Jacob;Abel;Silver;Louisville, KY;USA;;;;;;;Logan;Sargeant;Platinum;Boca Raton, FL;USA;;;;;;;;;;;;;;;;;;;
19;1;Classified;662;24:01:56.314;43 Laps;8 Laps;465;1:46.459;193.7;Paul Miller Racing;GTDPRO;;;BMW M4 GT3 EVO;M;;;;;;;;;;;Neil;Verhagen;Gold;Mooresville, NC;USA;;;;;;;Connor;De Phillippi;Gold;Cornelius, NC;USA;;;;;;;Max;Hesse;Gold;Munich, Germany;DEU;;;;;;;Dan;Harper;Platinum;Hillsborough, United Kingdom;GBR;;;;;;;;;;;;;;;;;;;
20;75;Classified;662;24:01:58.537;43 Laps;+2.223;465;1:46.495;193.7;75 Express;GTDPRO;;;Mercedes-AMG GT3;M;;;;;;;;;;;Kenny;Habul;Bronze;Sydney;AUS;;;;;;;Maro;Engel;Platinum;Monaco;DEU;;;;;;;Will;Power;Platinum;Charlotte, NC;USA;;;;;;;Chaz;Mostert;Platinum;Gold Coast, Australia;AUS;;;;;;;;;;;;;;;;;;;
21;48;Classified;662;24:02:24.674;43 Laps;+26.137;491;1:46.593;193.5;WINWARD RACING;GTDPRO;;;Mercedes-AMG GT3;M;;;;;;;;;;;Scott;Noble;Bronze;Dallas, TX;USA;;;;;;;Jason;Hart;Silver;Flower Mound, TX;USA;;;;;;;Maxime;Martin;Platinum;Brussels, Belgium;BEL;;;;;;;Luca;Stolz;Platinum;Brachbach, Germany;DEU;;;;;;;;;;;;;;;;;;;
