POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,74,1,13.340,-,-,324.8,1,Kessel Racing,LMGT3,,,Ferrari 296 LMGT3,G,,,,,,,,,KESSEL RACING,,Maxime,ESTEVE,,,,,,,,,,Daniele,RAINOLDI,,,,,,,,,,Mattia,IENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,57,1,13.920,+0.580,+0.580,269.6,1,Kessel Racing,LMGT3,,,Ferrari 296 LMGT3,G,,,,,,,,,KESSEL RACING,,Alessandro,FRANCI,,,,,,,,,,Manuel,PIZZUTTO,,,,,,,,,,Thomas,RAMPOLDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55,1,14.855,+1.515,+0.935,189.7,1,Spirit of Race,LMGT3,,,Ferrari 296 LMGT3,G,,,,,,,,,SPIRIT OF RACE,,Victor,SORIANO,,,,,,,,,,Michael,FONTAINE,,,,,,,,,,Alex,MARKHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,63,1,14.905,+1.565,+0.050,185.7,1,Iron Lynx,LMGT3,,,Mercedes-AMG LMGT3,G,,,,,,,,,IRON LYNX,,Thomas,KYRIAKIDES,,,,,,,,,,Sergio,CONTARINO,,,,,,,,,,Andrea,LAINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,1,15.425,+2.085,+0.520,145.7,1,Iron Lynx - Proton,LMP2,,,Oreca 07 - Gibson,G,,,,,,,,,IRONLYNX-PROTON,,Gilles,DIERYCK,,,,,,,,,,Denis,DIBENEDETTO,,,,,,,,,,Stefano,SOSIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,48,1,16.030,+2.690,+0.605,102.5,1,VDS Panis Racing,LMP2,,,Oreca 07 - Gibson,G,,,,,,,,,VDS PANIS,,Nicolas,LETENDARD,,,,,,,,,,Christophe,VICENTE,,,,,,,,,,Flavien,BAURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30,1,16.435,+3.095,+0.405,075.3,1,Duqueine Team,LMP2,,,Oreca 07 - Gibson,G,,,,,,,,,DUQUEINE,,Mickaël,DUTERQUE,,,,,,,,,,Kévin,DEDERICHS,,,,,,,,,,Jaouen,FRONTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18,1,16.720,+3.380,+0.285,057.0,1,IDEC Sport,LMP2,,,Oreca 07 - Gibson,G,,,,,,,,,IDEC SPORT,,Jérémy,VALBON,,,,,,,,,,Loris,CHAGNY,,,,,,,,,,Dylan,LOOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,68,1,17.500,+4.160,+0.780,009.9,1,M Racing,LMP3,,,Ligier JS P325 - Toyota,M,,,,,,,,,M RACING,,Romain,BERNARD,,,,,,,,,,Corentin,SIMON,,,,,,,,,,Evan,DE MATOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,35,1,17.640,+4.300,+0.140,001.8,1,Ultimate,LMP3,,,Ligier JS P325 - Toyota,M,,,,,,,,,ULTIMATE,,Nikolas,LEMEE,,,,,,,,,,Thibaud,DASTE,,,,,,,,,,Pierre,CARPUAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,1,19.060,+5.720,+1.420,927.2,1,DKR Engineering,LMP3,,,Ginetta G61-LT-P325-Evo - Toyota,M,,,,,,,,,DKR ENGINEERING,,Alexandre,GARY,,,,,,,,,,Pierre,LEGAILLARD,,,,,,,,,,Manu,REVIRIAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,31,1,20.685,+7.345,+1.625,854.4,1,Racing Spirit of Leman,LMP3,,,Ligier JS P325 - Toyota,M,,,,,,,,,RSL,,Mattéo,LABARRE,,,,,,,,,,Laurent,CHAPEL,,,,,,,,,,Thomas,DUGARRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
