POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,101,9,2:03.684,-,-,142.9,9,GTDRIVE RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,Romain,DAMIANI,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,11,2:04.182,+0.498,+0.498,142.3,11,AV RACING,,,,MITJET 2L,,,,,,,,,,,,Arnaud,MALIZIA,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,9,2:04.250,+0.566,+0.068,142.2,12,WOLFHOUND,J,J,,MITJET 2L,,,,,,,,,,,,Gabriel,MORETTO,,,ITA,,,,,,,Alberto,ANTONUCCI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,115,11,2:04.399,+0.715,+0.149,142.1,11,DC RACING,,,,MITJET 2L,,,,,,,,,,,,Alessandro,FERLONI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,86,8,2:04.688,+1.004,+0.289,141.7,10,DC RACING,,,,MITJET 2L,,,,,,,,,,,,Jody,LAMBRUGHI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34,9,2:04.865,+1.181,+0.177,141.5,10,ITALCAR,,,,MITJET 2L,,,,,,,,,,,,Alessandro,GIROTTI,,,ITA,,,,,,,Simone,FORNASARI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16,8,2:05.212,+1.528,+0.347,141.1,12,GTDRIVE RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,Lorenzo,GATTI,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,64,12,2:05.239,+1.555,+0.027,141.1,12,MV2S,G,G,,MITJET 2L,,,,,,,,,,,,Thomas,LAISNE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,245,8,2:05.564,+1.880,+0.325,140.7,12,JBJ RACING,G,G,,MITJET 2L,,,,,,,,,,,,B. Jensen,JESPER,,,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22,12,2:05.611,+1.927,+0.047,140.7,12,GRT MOTORSPORT,,S,,MITJET 2L,,,,,,,,,,,,Alessandro,CREMONA,,,ITA,,,,,,,Giampiero,PAPARUSSO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,12,2:05.722,+2.038,+0.111,140.6,12,NOT ONLY MOTORSPORT,J,J,,MITJET 2L,,,,,,,,,,,,Filippo,TORNAGHI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,128,10,2:06.501,+2.817,+0.779,139.7,11,GTDRIVE RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,Sebastien,GINEYS,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,59,12,2:07.212,+3.528,+0.711,138.9,12,COSTA OVEST,,J,,MITJET 2L,,,,,,,,,,,,Leonardo,STEFANI,,,ITA,,,,,,,Luigi,COZZOLINO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,80,9,2:07.320,+3.636,+0.108,138.8,11,GRT MOTORSPORT,J,J,,MITJET 2L,,,,,,,,,,,,Luigi,FERRARI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,10,2:07.734,+4.050,+0.414,138.4,11,GTDRIVE  RACING TEAM,S,S,,MITJET 2L,,,,,,,,,,,,Jean-Marc,BOURGINEAU,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,9,2:09.161,+5.477,+1.427,136.8,10,BD RACING,S,S,,MITJET 2L,,,,,,,,,,,,Corrado,COSTA,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,9,2:09.565,+5.881,+0.404,136.4,10,NOT ONLY MOTORSPORT,J,J,,MITJET 2L,,,,,,,,,,,,Maia,MENEGHIN,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,6,2:09.806,+6.122,+0.241,136.1,7,GRT MOTORSPORT,G,G,,MITJET 2L,,,,,,,,,,,,Danilo,MEDICI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,99,9,2:10.384,+6.700,+0.578,135.5,11,MV2S,,,,MITJET 2L,,,,,,,,,,,,Bastien,OSTIAN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,133,6,2:10.532,+6.848,+0.148,135.4,6,FARO RACING,,,,MITJET 2L,,,,,,,,,,,,Alessandro,BRIGATTI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,41,6,2:12.330,+8.646,+1.798,133.5,8,FARO RACING,,,,MITJET 2L,,,,,,,,,,,,Andrea,BAIGUERA,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,2,2:13.255,+9.571,+0.925,132.6,5,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,Andrea,BRISTOT,,,ITA,,,,,,,Gianpaolo,ORLANDI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5,2,2:17.207,+13.523,+3.952,128.8,3,BD RACING,J,J,,MITJET 2L,,,,,,,,,,,,Gherardo,SCARABEL,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
